Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MIRKO DUSPARA;DRAGAN JELIĆ
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;001;MJESNI ODBOR LUTVINKA;RADNIČKI DOM SLAVONSKI BROD;SLAVONSKI BROD RADNIČKI TRG 5;572;268;268;260;8;95;165
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;002;MJESNI ODBOR LUTVINKA;OBRTNIČKA ŠKOLA SLAVONSKI BROD;SLAVONSKI BROD, VLADIMIRA NAZORA 9;641;255;255;246;9;109;137
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;003;MJESNI ODBOR LUTVINKA;OSNOVNA ŠKOLA MILAN AMRUŠ SLAVONSKI BROD;SLAVONSKI BROD,  NIKOLE ZRINSKOG 100;531;228;228;222;6;96;126
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;004;MJESNI ODBOR LUTVINKA;MJESNI ODBOR LUTVINKA SLAVONSKI BROD;SLAVONSKI BROD,  NIKOLE ZRINSKOG 86;545;205;205;195;10;105;90
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;005;MJESNI ODBOR LUTVINKA;HRVATSKE CESTE SLAVONSKI BROD;SLAVONSKI BROD, IVANA GORANA KOVAČIĆA 58;363;119;119;118;1;62;56
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;006;MJESNI ODBOR ANDRIJA HEBRANG;MJESNI ODBOR ANDRIJA HEBRANG, DOM, SLAVONSKI BROD;SLAVONSKI BROD,  NASELJE ANDRIJA HEBRANG BLOK 6/1;1003;426;426;416;10;193;223
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;007;MJESNI ODBOR ANDRIJA HEBRANG;OSNOVNA ŠKOLA DRAGUTIN TADIJANOVIĆ SLAVONSKI BROD;SLAVONSKI BROD,  NASELJE ANDRIJA HEBRANG  12/1;708;311;311;299;12;158;141
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;008;MJESNI ODBOR ANDRIJA HEBRANG;OSNOVNA ŠKOLA DRAGUTIN TADIJANOVIĆ SLAVONSKI BROD;SLAVONSKI BROD,  NASELJE ANDRIJA HEBRANG  12/1;1110;454;454;443;11;217;226
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;009;MJESNI ODBOR CENTAR;ŠUMARIJA SLAVONSKI BROD, P. KREŠIMIRA IV BR. 22/A - PRIZEMLJE, SOBA BR.11;SLAVONSKI BROD, ULICA PETRA KREŠIMIRA IV 22/A;710;292;292;280;12;104;176
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;010;MJESNI ODBOR CENTAR;ŽUPANIJSKI SUD SLAVONSKI BROD;SLAVONSKI BROD,  TOME SKALICE 2;1135;455;455;447;8;179;268
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;011;MJESNI ODBOR CENTAR;MJESNI ODBOR CENTAR, SUTEREN, SLAVONSKI BROD;SLAVONSKI BROD,  PETRA KREŠIMIRA IV 2;432;159;159;157;2;66;91
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;012;MJESNI ODBOR PLAVO POLJE;OSNOVNA ŠKOLA HUGO BADALIĆ SLAVONSKI BROD;SLAVONSKI BROD,  BOROVSKA 1;977;357;357;343;14;152;191
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;013;MJESNI ODBOR PLAVO POLJE;GIMNAZIJA MATIJA MESIĆ SLAVONSKI BROD;SLAVONSKI BROD,  NASELJE SLAVONIJA I 8;911;353;353;343;10;148;195
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;014;MJESNI ODBOR PLAVO POLJE;OPĆINSKI SUD SLAVONSKI BROD;SLAVONSKI BROD,  TRG POBJEDE 15;791;293;293;286;7;136;150
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;015;MJESNI ODBOR ANTUN MIHANOVIĆ;OSNOVNA ŠKOLA ANTUN MIHANOVIĆ SLAVONSKI BROD;SLAVONSKI BROD, ANTUNA MIHANOVIĆA 35;350;133;133;129;4;50;79
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;016;MJESNI ODBOR ANTUN MIHANOVIĆ;MJESNI ODBORA ANTUN MIHANOVIĆ, DOM, SLAVONSKI BROD;SLAVONSKI BROD, PAVLEKA MIŠKINA 6;826;356;356;344;12;123;221
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;017;MJESNI ODBOR ANTUN MIHANOVIĆ;VODOVOD SLAVONSKI BROD, NIKOLE ZRINSKOG 25;SLAVONSKI BROD, NIKOLE ZRINSKOG 25;430;162;162;158;4;72;86
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;018;MJESNI ODBOR ANTUN MIHANOVIĆ;OSNOVNA ŠKOLA IVAN GORAN KOVAČIĆ SLAVONSKI BROD;SLAVONSKI BROD, HUGE BADALIĆA 8;531;258;258;256;2;80;176
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;019;MJESNI ODBOR ANTUN MIHANOVIĆ;OBRTNIČKA ŠKOLA SLAVONSKI BROD - DVORANA;VLADIMIRA NAZORA 9;673;288;288;277;11;93;184
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;020;MJESNI ODBOR ANTUN MIHANOVIĆ;OSNOVNA ŠKOLA ANTUN MIHANOVIĆ SLAVONSKI BROD;SLAVONSKI BROD, MIHANOVIĆEVA 35;616;251;251;248;3;108;140
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;021;MJESNI ODBOR KOLONIJA;MJESNI DOM, VELIKA DVORANA SLAVONSKI BROD;SLAVONSKI BROD, VINOGRADSKA CESTA;565;215;215;211;4;118;93
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;022;MJESNI ODBOR KOLONIJA;"MJESNI DOM; MALA DVORANA SLAVONSKI BROD";SLAVONSKI BROD, VINOGRADSKA CESTA;693;268;268;261;7;167;94
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;023;MJESNI ODBOR KOLONIJA;PODRUČNA ŠKOLA ĐURO PILAR SLAVONSKI BROD;SLAVONSKI BROD, ULICA VINOGRADSKA CESTA 84;538;214;214;213;1;112;101
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;024;MJESNI ODBOR KOLONIJA;PODRUČNA ŠKOLA ĐURO PILAR SLAVONSKI BROD;SLAVONSKI BROD, ULICA VINOGRADSKA CESTA 84;1014;422;422;416;6;199;217
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;025;MJESNI ODBOR KOLONIJA;PODRUČNA ŠKOLA ĐURO PILAR SLAVONSKI BROD;SLAVONSKI BROD, ULICA VINOGRADSKA CESTA 84;963;319;319;317;2;169;148
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;026;MJESNI ODBOR BRODSKO VINOGORJE;OSNOVNA ŠKOLA ĐURO PILAR SLAVONSKI BROD;SLAVONSKI BROD, ULICA ZLATKA BALOKOVIĆA  1;1075;371;371;362;9;213;149
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;027;MJESNI ODBOR BRODSKO VINOGORJE;OSNOVNA ŠKOLA ĐURO PILAR SLAVONSKI BROD;SLAVONSKI BROD, ULICA ZLATKA BALOKOVIĆA 1;840;261;261;250;11;114;136
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;028;MJESNI ODBOR BRODSKO VINOGORJE;OSNOVNA ŠKOLA ĐURO PILAR SLAVONSKI BROD;SLAVONSKI BROD, ULICA ZLATKA BALOKOVIĆA 1;628;196;196;193;3;103;90
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;029;MJESNI ODBOR BRODSKO VINOGORJE;OSNOVNA ŠKOLA ĐURO PILAR SLAVONSKI BROD;SLAVONSKI BROD, ULICA ZLATKA BALOKOVIĆA 1;355;153;153;151;2;68;83
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;030;MJESNI ODBOR PODVINJE;MJESNI ODBOR PODVINJE, DOM;PODVINJE, TRG SVETOG ANTUNA 4;1114;393;393;385;8;195;190
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;031;MJESNI ODBOR PODVINJE;MJESNI ODBOR PODVINJE, DOM;PODVINJE, TRG SVETOG ANTUNA KBR. 4;469;165;165;164;1;75;89
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;032;MJESNI ODBOR PODVINJE;OSNOVNA ŠKOLA BLAŽ TADIJANOVIĆ PODVINJE;PODVINJE, PODVINJSKA ULICA  25;763;259;259;254;5;164;90
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;033;MJESNI ODBOR PODVINJE;OSNOVNA ŠKOLA BLAŽ TADIJANOVIĆ PODVINJE;PODVINJE, PODVINJSKA ULICA 25;927;368;368;359;9;163;196
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;034;MJESNI ODOBOR JOSIP RIMAC;MJESNI ODBOR JOSIP RIMAC, DOM-PRIZEMLJE,  SLAVONSKI BROD;SLAVONSKI BROD, AUGUSTINA JARIĆA 6;597;238;238;230;8;121;109
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;035;MJESNI ODBOR JOSIP RIMAC;MJESNI ODBOR JOSIP RIMAC, DOM - KAT, SLAVONSKI BROD;SLAVONSKI BROD, AUGUSTINA JARIĆA 6;492;246;246;243;3;148;95
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;036;MJESNI ODOBOR JOSIP RIMAC;MJESNI ODBOR JOSIP RIMAC, DOM - KAT, SLAVONSKI BROD;SLAVONSKI BROD, AUGUSTINA JARIĆA 6;947;437;437;435;2;307;128
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;037;MJESNI ODBOR JELAS;PODRUČNA ŠKOLA HUGO BADALIĆ SLAVONSKI BROD;SLAVONSKI BROD, FRANJE KUHAČA 23;780;262;262;259;3;132;127
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;038;MJESNI ODBOR JELAS;PODRUČNA ŠKOLA HUGO BADALIĆ SLAVONSKI BROD;SLAVONSKI BROD, FRANJE KUHAČA  23;553;206;206;204;2;106;98
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;039;MJESNI ODBOR JELAS;PODRUČNA ŠKOLA HUGO BADALIĆ SLAVONSKI BROD;SLAVONSKI BROD, FRANJE KUHAČA 23;722;269;269;266;3;161;105
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;040;MJESNI ODBOR JELAS;PODRUČNA ŠKOLA HUGO BADALIĆ SLAVONSKI BROD;SLAVONSKI BROD, FRANJE KUHAČA 23;642;244;244;235;9;146;89
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;041;MJESNI ODBOR BUDAINKA;MJESNI ODBOR BUDAINKA, DOM, SLAVONSKI BROD;SLAVONSKI BROD, ZAGREBAČKA 51;1120;413;412;406;6;224;182
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;042;MJESNI ODBOR BUDAINKA;OSNOVNA ŠKOLA IVANA BRLIĆ MAŽURANIĆ SLAVONSKI BROD;SLAVONSKI BROD, ZAGREBAČKA 78;1113;411;411;407;4;237;170
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;043;MJESNI ODBOR BUDAINKA;OSNOVNA ŠKOLA IVANA BRLIĆ MAŽURANIĆ SLAVONSKI BROD;SLAVONSKI BROD, ZAGREBAČKA 78;542;207;207;199;8;103;96
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;044;MJESNI ODBOR BUDAINKA;OSNOVNA ŠKOLA IVANA BRLIĆ MAŽURANIĆ SLAVONSKI BROD;SLAVONSKI BROD, ZAGREBAČKA 78;301;144;144;143;1;103;40
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;045;MJESNI ODBOR BRODSKI VAROŠ;MJESNI ODBOR BRODSKI VAROŠ, DOM-VELIKA DVORANA;BRODSKI VAROŠ, ZAGREBAČKA 338;597;258;258;254;4;128;126
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;046;MJESNI ODBOR BRODSKI VAROŠ;MJESNI ODBOR BRODSKI VAROŠ, DOM-MALA SALA;BRODSKI VAROŠ, ZAGREBAČKA 338;570;265;265;260;5;117;143
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;047;MJESNI ODBOR BRODSKI VAROŠ;PODRUČNA ŠKOLA IVANA BRLIĆ MAŽURANIĆ BRODSKI VAROŠ;BRODSKI VAROŠ, ZAGREBAČKA 290;473;203;203;202;1;134;68
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;048;MJESNI ODBOR ZRINSKI FRANKOPAN;MJESNI ODBOR ZRINSKI FRANKOPAN, DOM, SLAVONSKI BROD;SLAVONSKI BROD, ANASTASA POPOVIĆA 37;912;323;323;319;4;177;142
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;049;MJESNI ODBOR ZRINSKI FRANKOPAN;MJESNI ODBOR ZRINSKI FRANKOPAN, DOM SLAVONSKI BROD;SLAVONSKI BROD, ANASTASA POPOVIĆA 37;1179;438;438;426;12;222;204
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;050;MJESNI ODBOR MALI PARIZ;MJESNI ODBOR MALI PARIZ, DOM, SLAVONSKI BROD;SLAVONSKI BROD, EUGENA KVATERNIKA 7;1202;497;497;483;14;179;304
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;051;MJESNI ODBOR MALI PARIZ;INDUSTRIJSKO-OBRTNIČKA ŠKOLA SLAVONSKI BROD;SLAVONSKI BROD, EUGENA KUMIČIĆEVA 55;1195;481;481;472;9;257;215
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;052;MJESNI ODBOR ANDRIJA HEBRANG;MJESNI DOM - VELIKA SALA;SLAVONSKI BROD, OSJEČKA 24;398;162;162;157;5;78;79
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;053;MJESNI ODBOR DR. ANTE STARČEVIĆ;OSNOVNA ŠKOLA BOGOSLAV ŠULEK SLAVONSKI BROD;SLAVONSKI BROD, ALEJA MIROSLAVA KRLEŽE 2;1041;433;433;428;5;310;118
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;054;MJESNI ODBOR DR. ANTE STARČEVIĆ;OSNOVNA ŠKOLA BOGOSLAV ŠULEK SLAVONSKI BROD;SLAVONSKI BROD, ALEJA MIROSLAVA KRLEŽE  2;1358;575;575;564;11;358;206
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;055;MJESNI ODBOR DR. ANTE STARČEVIĆ;OSNOVNA ŠKOLA BOGOSLAV ŠULEK;SLAVONSKI BROD, ALEJA MIROSLAVA KRLEŽE 2;1090;433;433;428;5;197;231
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;056;MJESNI ODBOR DR. ANTE STARČEVIĆ;DJEČJI VRTIĆ KOSJENKA SLAVONSKI BROD;SLAVONSKI BROD, ALEJA MIROSLAVA KRLEŽE 3;783;315;315;313;2;211;102
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;057;MJESNI ODBOR DR. ANTE STARČEVIĆ;HRVATSKE ŠUME SLAVONSKI BROD;SLAVONSKI BROD, OSJEČKA 282;804;340;340;339;1;259;80
