Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;VITOMIR ŽAKIĆ
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;CERNIK;001;OPATOVAC;DRUŠTVENI DOM OPATOVAC;OPATOVAC;262;110;110;94;16;94
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;CERNIK;002;PODVRŠKO;DRUŠTVENI DOM PODVRŠKO;PODVRŠKO;237;122;122;114;8;114
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;CERNIK;003;BANIĆEVAC;DRUŠTVENI DOM BANIĆEVAC;BANIĆEVAC;161;63;63;57;6;57
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;CERNIK;004;BAĆIN DOL;DRUŠTVENI DOM BAĆIN DOL;BAĆIN DOL;297;103;103;89;14;89
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;CERNIK;005;ŠUMETLICA;DRUŠTVENI DOM ŠUMETLICA;ŠUMETLICA;233;48;48;43;5;43
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;CERNIK;006;CERNIČKA ŠAGOVINA;DRUŠTVENI DOM CERNIČKA ŠAGOVINA;CERNIČKA ŠAGOVINA;249;71;71;60;11;60
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;CERNIK;007;GILETINCI;DRUŠTVENI DOM GILETINCI;GILETINCI;214;63;63;60;3;60
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;CERNIK;008;CERNIK;ZGRADA OPĆINE CERNIK;CERNIK;456;140;140;121;19;121
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;CERNIK;009;CERNIK;"OŠ ""MATIJA GUBEC""";CERNIK;522;171;170;145;25;145
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;CERNIK;010;CERNIK;ZGRADA OPĆINE CERNIK;CERNIK;405;104;104;95;9;95
