Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DANIJEL MARUŠIÆ;ROBERT MATIÆ;TEA TOMAS;MARIO VUÈINIÆ;RUŽICA VUKOVAC
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;001;NOVA GRADIŠKA;UPRAVA ŠUMA;J.J. STROSSMAYERA 9;962;471;471;433;38;264;13;29;83;44
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;002;NOVA GRADIŠKA;OŠ MATO LOVRAK;M.BENKOVIÆA 39;839;400;400;375;25;242;18;33;56;26
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;003;NOVA GRADIŠKA;KUÆA VLASNIŠTVO GRADA NOVA GRADIŠKA - ULAZ BR. 1;NOVA GRADIŠKA, KRALJA DMITRA ZVONIMIRA 106;883;345;345;317;28;227;10;19;44;17
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;004;NOVA GRADIŠKA;KUÆA VLASNIŠTVO GRADA NOVA GRADIŠKA - ULAZ BR. 2;KRALJA DMITRA ZVONIMIRA 106;697;267;267;248;19;181;9;15;21;22
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;005;NOVA GRADIŠKA;PRIVATNA KUÆA MIROSLAVA STRINAVIÆA;I.G. KOVAÈIÆA 30;1101;377;377;346;31;243;16;26;40;21
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;006;NOVA GRADIŠKA;"OŠ ""LJUDEVIT GAJ""";LJUDEVITA GAJA 24;1110;514;513;483;30;288;24;47;83;41
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;007;NOVA GRADIŠKA;"""SLAVÈA"" D.O.O.";LJUDEVITA GAJA 56;796;365;365;340;25;219;18;21;60;22
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;008;NOVA GRADIŠKA;DRUŠTVENI DOM;TRG DR. FRANJE TUÐMANA 1;1009;516;516;478;38;297;24;25;104;28
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;009;NOVA GRADIŠKA;DOM KULTURE;RELKOVIÆEVA 4;604;279;279;260;19;165;3;14;57;21
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;010;NOVA GRADIŠKA;DOM MALA;MALA 92;929;452;452;418;34;306;13;23;53;23
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;011;NOVA GRADIŠKA;GRADSKA VIJEÆNICA;TRG K. TOMISLAVA 1;974;425;425;406;19;255;28;21;71;31
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;012;NOVA GRADIŠKA;"PROGNANIÈKO NASELJE ""KOVAÈEVAC""";UPRAVNA ZGRADA BB;584;249;249;230;19;162;9;9;27;23
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;013;NOVA GRADIŠKA;PODRUÈNA ŠKOLA LJUPINA;LJUPINA;774;388;387;347;40;248;16;30;33;20
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;014;NOVA GRADIŠKA;DRUŠTVENI DOM PRVÈA;PRVÈA BB;611;275;275;264;11;182;7;19;44;12
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;001;MJESNI ODBOR LUTVINKA;RADNIÈKI DOM SLAVONSKI BROD;SLAVONSKI BROD RADNIÈKI TRG 5;572;284;284;273;11;126;19;57;40;31
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;002;MJESNI ODBOR LUTVINKA;OBRTNIÈKA ŠKOLA SLAVONSKI BROD;SLAVONSKI BROD, VLADIMIRA NAZORA 9;641;285;285;278;7;134;19;58;37;30
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;003;MJESNI ODBOR LUTVINKA;OSNOVNA ŠKOLA MILAN AMRUŠ SLAVONSKI BROD;SLAVONSKI BROD,  NIKOLE ZRINSKOG 100;530;235;235;227;8;91;17;50;31;38
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;004;MJESNI ODBOR LUTVINKA;MJESNI ODBOR LUTVINKA SLAVONSKI BROD;SLAVONSKI BROD,  NIKOLE ZRINSKOG 86;545;232;232;221;11;89;18;62;32;20
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;005;MJESNI ODBOR LUTVINKA;HRVATSKE CESTE SLAVONSKI BROD;SLAVONSKI BROD, IVANA GORANA KOVAÈIÆA 58;363;125;125;123;2;48;9;40;13;13
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;006;MJESNI ODBOR ANDRIJA HEBRANG;MJESNI ODBOR ANDRIJA HEBRANG, DOM, SLAVONSKI BROD;SLAVONSKI BROD,  NASELJE ANDRIJA HEBRANG BLOK 6/1;1001;455;455;440;15;213;22;100;43;62
