Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;KANDIDACIJSKA LISTA GRUPE BIRAČA -  VINKO GRGIĆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA DEMOKRŠĆANSKA STRANKA - HDS;HRVATSKA SELJAČKA STRANKA - HSS, STRANKA UMIROVLJENIKA - SU;HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, MOST;KANDIDACIJSKA LISTA GRUPE BIRAČA -  MIRELA RELKOVIĆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;001;NOVA GRADIŠKA;UPRAVA ŠUMA;J.J. STROSSMAYERA 9;962;473;473;461;12;20;269;72;9;13;4;17;57
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;002;NOVA GRADIŠKA;OŠ MATO LOVRAK;M.BENKOVIĆA 39;839;407;407;391;16;9;187;88;8;6;6;21;66
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;003;NOVA GRADIŠKA;KUĆA VLASNIŠTVO GRADA NOVA GRADIŠKA - ULAZ BR. 1;NOVA GRADIŠKA, KRALJA DMITRA ZVONIMIRA 106;883;348;348;339;9;17;196;55;9;6;7;9;40
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;004;NOVA GRADIŠKA;KUĆA VLASNIŠTVO GRADA NOVA GRADIŠKA - ULAZ BR. 2;KRALJA DMITRA ZVONIMIRA 106;697;276;276;269;7;9;122;90;6;9;5;8;20
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;005;NOVA GRADIŠKA;PRIVATNA KUĆA MIROSLAVA STRINAVIĆA;I.G. KOVAČIĆA 30;1101;377;377;363;14;18;181;78;5;7;14;8;52
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;006;NOVA GRADIŠKA;"OŠ ""LJUDEVIT GAJ""";LJUDEVITA GAJA 24;1110;514;514;499;15;19;243;90;8;12;20;37;70
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;007;NOVA GRADIŠKA;"""SLAVČA"" D.O.O.";LJUDEVITA GAJA 56;796;367;367;357;10;10;154;77;7;7;19;11;72
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;008;NOVA GRADIŠKA;DRUŠTVENI DOM;TRG DR. FRANJE TUĐMANA 1;1009;518;518;504;14;15;241;96;4;23;9;17;99
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;009;NOVA GRADIŠKA;DOM KULTURE;RELKOVIĆEVA 4;604;279;279;269;10;8;138;39;2;10;1;24;47
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;010;NOVA GRADIŠKA;DOM MALA;MALA 92;929;449;449;433;16;17;204;98;10;17;15;24;48
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;011;NOVA GRADIŠKA;GRADSKA VIJEĆNICA;TRG K. TOMISLAVA 1;974;431;431;415;16;19;210;86;9;21;12;7;51
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;012;NOVA GRADIŠKA;"PROGNANIČKO NASELJE ""KOVAČEVAC""";UPRAVNA ZGRADA BB;584;251;251;236;15;11;90;75;8;7;3;12;30
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;013;NOVA GRADIŠKA;PODRUČNA ŠKOLA LJUPINA;LJUPINA;774;388;387;369;18;17;219;67;3;18;7;12;26
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;014;NOVA GRADIŠKA;DRUŠTVENI DOM PRVČA;PRVČA BB;611;275;275;272;3;4;143;71;2;7;6;7;32
