Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;MIRKO DUSPARA;DRAGAN JELIÆ;MATO KLARIÆ;MARTINA KRALJEVIÆ;SLAVICA LEMAIÆ;MATEJ PUDIÆ
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;001;MJESNI ODBOR LUTVINKA;RADNIÈKI DOM SLAVONSKI BROD;SLAVONSKI BROD RADNIÈKI TRG 5;572;284;283;282;1;77;114;3;15;54;19
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;002;MJESNI ODBOR LUTVINKA;OBRTNIÈKA ŠKOLA SLAVONSKI BROD;SLAVONSKI BROD, VLADIMIRA NAZORA 9;641;285;285;280;5;88;114;4;12;46;16
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;003;MJESNI ODBOR LUTVINKA;OSNOVNA ŠKOLA MILAN AMRUŠ SLAVONSKI BROD;SLAVONSKI BROD,  NIKOLE ZRINSKOG 100;530;235;235;231;4;74;85;2;12;39;19
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;004;MJESNI ODBOR LUTVINKA;MJESNI ODBOR LUTVINKA SLAVONSKI BROD;SLAVONSKI BROD,  NIKOLE ZRINSKOG 86;545;232;232;222;10;99;60;3;12;36;12
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;005;MJESNI ODBOR LUTVINKA;HRVATSKE CESTE SLAVONSKI BROD;SLAVONSKI BROD, IVANA GORANA KOVAÈIÆA 58;363;125;125;122;3;59;38;3;1;16;5
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;006;MJESNI ODBOR ANDRIJA HEBRANG;MJESNI ODBOR ANDRIJA HEBRANG, DOM, SLAVONSKI BROD;SLAVONSKI BROD,  NASELJE ANDRIJA HEBRANG BLOK 6/1;1001;455;455;450;5;151;173;11;18;81;16
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;007;MJESNI ODBOR ANDRIJA HEBRANG;OSNOVNA ŠKOLA DRAGUTIN TADIJANOVIÆ SLAVONSKI BROD;SLAVONSKI BROD,  NASELJE ANDRIJA HEBRANG  12/1;707;326;326;323;3;123;111;8;19;45;17
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;008;MJESNI ODBOR ANDRIJA HEBRANG;OSNOVNA ŠKOLA DRAGUTIN TADIJANOVIÆ SLAVONSKI BROD;SLAVONSKI BROD,  NASELJE ANDRIJA HEBRANG  12/1;1110;438;438;424;14;159;141;9;25;74;16
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;009;MJESNI ODBOR CENTAR;ŠUMARIJA SLAVONSKI BROD, P. KREŠIMIRA IV BR. 22/A - PRIZEMLJE, SOBA BR.11;SLAVONSKI BROD, ULICA PETRA KREŠIMIRA IV 22/A;711;306;306;295;11;96;121;0;19;39;20
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;010;MJESNI ODBOR CENTAR;ŽUPANIJSKI SUD SLAVONSKI BROD;SLAVONSKI BROD,  TOME SKALICE 2;1136;458;458;449;9;149;190;6;19;64;21
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;011;MJESNI ODBOR CENTAR;MJESNI ODBOR CENTAR, SUTEREN, SLAVONSKI BROD;SLAVONSKI BROD,  PETRA KREŠIMIRA IV 2;433;168;168;167;1;61;70;0;11;19;6
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;012;MJESNI ODBOR PLAVO POLJE;OSNOVNA ŠKOLA HUGO BADALIÆ SLAVONSKI BROD;SLAVONSKI BROD,  BOROVSKA 1;977;374;374;358;16;125;112;4;19;76;22
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;013;MJESNI ODBOR PLAVO POLJE;GIMNAZIJA MATIJA MESIÆ SLAVONSKI BROD;SLAVONSKI BROD,  NASELJE SLAVONIJA I 8;911;382;382;366;16;110;146;4;28;62;16
