Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MARKO HORVATOVIĆ;JOSIP PAVIĆ
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;SIBINJ;001;SIBINJ;"OSNOVNA ŠKOLA ""SIBINJSKIH ŽRTAVA"" SIBINJ";SIBINJ, 108. BRIGADE ZNG 4;805;350;350;335;15;27;308
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;SIBINJ;002;SIBINJ;"OSNOVNA ŠKOLA ""SIBINJSKIH ŽRTAVA"" SIBINJ";SIBINJ, 108. BRIGADE ZNG 4;829;404;404;397;7;72;325
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;SIBINJ;003;SIBINJ;"OSNOVNA ŠKOLA ""SIBINJSKIH ŽRTAVA"" SIBINJ";SIBINJ, 108. BRIGADE ZNG 4;759;348;348;338;10;45;293
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;SIBINJ;004;GROMAČNIK;DRUŠTVENI DOM GROMAČNIK;GROMAČNIK, DR. FRANJE TUĐMANA 98;456;179;179;164;15;37;127
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;SIBINJ;005;BARTOLOVCI;DRUŠTVENI DOM BARTOLOVCI;BARTOLOVCI, HRVATSKIH BRANITELJA 86/C;613;252;252;246;6;23;223
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;SIBINJ;006;SLOBODNICA;"OSNOVNA ŠKOLA ""SIBINJSKIH ŽRTAVA"" SIBINJ";SLOBODNICA, TRG SVETOG MARKA 4;608;231;231;218;13;96;122
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;SIBINJ;007;SLOBODNICA;VATROGASNI DOM U SLOBODNICI;SLOBODNICA, TRG SVETOG MARKA 11;750;303;303;285;18;137;148
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;SIBINJ;008;JAKAČINA;DRUŠTVENI DOM JAKAČINA;JAKAČINA MALA 37;105;55;55;53;2;3;50
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;SIBINJ;009;GRGUREVIĆI;OSNOVNA ŠKOLA GRGUREVIĆI;GRGUREVIĆI 29;146;76;76;73;3;7;66
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;SIBINJ;010;RAVAN;OSNOVNA ŠKOLA RAVAN;RAVAN BR. 30;226;95;95;92;3;6;86
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;SIBINJ;011;GORNJI ANDRIJEVCI;DRUŠTVENI DOM GORNJI ANDRIJEVCI;GORNJI ANDRIJEVCI 81;392;189;189;186;3;12;174
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;SIBINJ;012;GRIŽIĆI;OSNOVNA ŠKOLA GRIŽIĆI;GRIŽIĆI BR. 9;94;38;38;38;0;6;32
