Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;DUSPARA MIRKO - NEZAVISNA LISTA - DUSPARA MIRKO - NL;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA KONZERVATIVNA STRANKA - HKS, HRVATSKA STRANKA PRAVA - HSP;HRVATSKA DEMOKRŠĆANSKA STRANKA - HDS;HRVATSKA SELJAČKA STRANKA - HSS, STRANKA UMIROVLJENIKA - SU;HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;MOST;SNAGA SLAVONIJE I BARANJE - Snaga SiB;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;001;NOVA GRADIŠKA;UPRAVA ŠUMA;J.J. STROSSMAYERA 9;962;470;470;425;45;35;28;161;5;34;67;15;4;76
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;002;NOVA GRADIŠKA;OŠ MATO LOVRAK;M.BENKOVIĆA 39;839;398;398;365;33;32;22;173;7;18;36;12;6;59
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;003;NOVA GRADIŠKA;KUĆA VLASNIŠTVO GRADA NOVA GRADIŠKA - ULAZ BR. 1;NOVA GRADIŠKA, KRALJA DMITRA ZVONIMIRA 106;883;346;346;322;24;22;17;171;4;9;37;13;3;46
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;004;NOVA GRADIŠKA;KUĆA VLASNIŠTVO GRADA NOVA GRADIŠKA - ULAZ BR. 2;KRALJA DMITRA ZVONIMIRA 106;697;257;257;239;18;21;15;133;2;16;29;0;1;22
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;005;NOVA GRADIŠKA;PRIVATNA KUĆA MIROSLAVA STRINAVIĆA;I.G. KOVAČIĆA 30;1101;377;377;350;27;24;24;185;5;30;37;10;3;32
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;006;NOVA GRADIŠKA;"OŠ ""LJUDEVIT GAJ""";LJUDEVITA GAJA 24;1110;514;514;486;28;42;35;212;7;26;50;24;2;88
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;007;NOVA GRADIŠKA;"""SLAVČA"" D.O.O.";LJUDEVITA GAJA 56;796;365;365;331;34;20;25;146;5;25;35;15;3;57
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;008;NOVA GRADIŠKA;DRUŠTVENI DOM;TRG DR. FRANJE TUĐMANA 1;1009;516;516;480;36;30;28;186;8;49;50;14;2;113
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;009;NOVA GRADIŠKA;DOM KULTURE;RELKOVIĆEVA 4;604;279;279;264;15;30;14;96;4;24;24;8;1;63
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;010;NOVA GRADIŠKA;DOM MALA;MALA 92;929;449;449;417;32;27;18;208;10;41;30;13;4;66
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;011;NOVA GRADIŠKA;GRADSKA VIJEĆNICA;TRG K. TOMISLAVA 1;974;419;419;400;19;36;23;180;13;33;25;20;0;70
12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;012;NOVA GRADIŠKA;"PROGNANIČKO NASELJE ""KOVAČEVAC""";UPRAVNA ZGRADA BB;584;249;249;221;28;30;10;108;4;16;16;10;0;27
