Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SELJAÈKA STRANKA - HSS;MOST, DOMOVINSKI POKRET - DP;KANDIDACIJSKA LISTA GRUPE BIRAÈA - ANTUN PAVETIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;ORIOVAC;001;RADOVANJE;DRUŠTVENI DOM RADOVANJE;RADOVANJE  BB;237;136;136;136;0;75;10;23;24;4
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;ORIOVAC;002;ORIOVAC;PROSTORIJE KUD-A L. I. ORIOVÈANIN ORIOVAC;ORIOVAC, FRANKOPANSKA 20;976;508;508;494;14;129;4;190;154;17
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;ORIOVAC;003;SLAVONSKI KOBAŠ;PODRUÈNA ŠKOLA DR. STJEPAN ILIJAŠEVIÆ SLAVONSKI KOBAŠ;SLAVONSKI KOBAŠ, ULICA ZNG BB;935;457;457;446;11;198;77;80;77;14
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;ORIOVAC;004;LUŽANI;DRUŠTVENI DOM LUŽANI;LUŽANI, VLADIMIRA NAZORA BB;826;316;313;303;10;97;14;56;94;42
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;ORIOVAC;005;CIGLENIK;DRUŠTVENI DOM;CIGLENIK B.B.;128;74;74;72;2;9;7;8;46;2
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;ORIOVAC;006;BEÈIC;PRIVATNA KUÆA;BEÈIC 49;85;56;56;54;2;13;7;3;28;3
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;ORIOVAC;007;ŽIVIKE;DRUŠTVENI DOM;ŽIVIKE B.B.;179;83;83;83;0;38;4;6;34;1
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;ORIOVAC;008;PRIÈAC;DRUŠTVENI DOM PRIÈAC;PRIÈAC BB;82;34;34;34;0;15;0;1;18;0
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;ORIOVAC;009;ORIOVAC;DRUŠTVENI DOM ORIOVAC;ORIOVAC, TRG HRVATSKOG PREPORODA 1;557;267;267;262;5;77;3;83;86;13
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;ORIOVAC;010;KUJNIK;DRUŠTVENI DOM KUJNIK;KUJNIK BB;259;131;131;129;2;39;5;37;37;11
12;BRODSKO-POSAVSKA ŽUPANIJA;opæina;ORIOVAC;011;MALINO;DRUŠTVENI DOM MALINO;MALINO, MATIJE GUPCA BB;419;192;192;188;4;90;7;26;39;26
