Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;SRĐAN KOLAR;SRĐAN MILAKOVIĆ
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;001;SOTIN;DOM KULTURE;ULICA DR. FRANJE TUĐMANA BR. 2;108;20;20;17;3;11;6
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;002;VUKOVAR;"OSNOVNA ŠKOLA ""MITNICA""";FRUŠKOGORSKA BR. 2;53;2;2;2;0;1;1
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;003;VUKOVAR;"OSNOVNA ŠKOLA ""MITNICA""";FRUŠKOGORSKA BR. 2;70;6;6;6;0;4;2
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;004;VUKOVAR;"OSNOVNA ŠKOLA ""MITNICA""";FRUŠKOGORSKA BR. 2;105;23;23;23;0;10;13
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;005;VUKOVAR;OSNOVNA ŠKOLA MITNICA;FRUŠKOGORSKA BR. 2;60;7;7;7;0;7;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;006;VUKOVAR;"OSNOVNA ŠKOLA ""ANTUNA BAUERA""";TRG MATIJE GUPCA 19;219;82;82;82;0;48;34
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;007;VUKOVAR;"OSNOVNA ŠKOLA ""ANTUNA BAUERA""";TRG MATIJE GUPCA 19;183;51;51;51;0;35;16
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;008;VUKOVAR;"OSNOVNA ŠKOLA ""ANTUNA BAUERA""";TRG MATIJE GUPCA 19;230;62;62;61;1;38;23
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;009;VUKOVAR;"OSNOVNA ŠKOLA ""ANTUNA BAUERA""";TRG MATIJE GUPCA 19;233;61;61;60;1;26;34
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;010;VUKOVAR;GIMNAZIJA VUKOVAR;ŠAMAC 2;215;58;53;53;0;30;23
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;011;VUKOVAR;GIMNAZIJA VUKOVAR;ŠAMAC 2;204;48;48;43;5;18;25
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;012;VUKOVAR;"OSNOVNA ŠKOLA ""JOSIPA MATOŠA""";PRERADOVIĆEVA BR. 40;285;90;90;89;1;59;30
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;013;VUKOVAR;"OSNOVNA ŠKOLA ""JOSIPA MATOŠA""";PRERADOVIĆEVA BR. 40;328;87;87;83;4;52;31
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;014;VUKOVAR;"OSNOVNA ŠKOLA ""JOSIPA MATOŠA""";PRERADOVIĆEVA BR. 40;323;99;98;95;3;58;37
