Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;IVAN BOSANČIĆ;GORAN KAJKIĆ;TIHOMIR POSAVČIĆ;DAVOR RAIĆ
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;001;VINKOVCI;"MJESNI ODBOR ""LENIJE"" VINKOVCI";H.V.HRVATINIĆA 10;1037;535;534;515;19;329;84;44;58
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;002;VINKOVCI;SREDNJA STRUKOVNA ŠKOLA;STANKA VRAZA 15;794;399;399;384;15;247;59;43;35
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;003;VINKOVCI;SREDNJA STRUKOVNA ŠKOLA;STANKA VRAZA 15;1103;661;661;647;14;413;99;63;72
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;004;VINKOVCI;"II.MJESNI ODBOR ""S.RADIĆ"" VINKOVCI";M. GUPCA 21A;1035;550;550;538;12;334;96;55;53
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;005;VINKOVCI;"DJEČJI VRTIĆ ""NAŠA RADOST""";P.MIŠKINE 69;662;317;317;308;9;200;59;25;24
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;006;VINKOVCI;"DJEČJI VRTIĆ ""EDEN""";ERVENIČKA 1;1029;429;429;419;10;284;63;38;34
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;007;VINKOVCI;CRVENI KRIŽ;TRG BANA J.ŠOKČEVIĆA 2;510;221;221;209;12;128;32;23;26
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;008;VINKOVCI;ZAVOD ZA ZAPOŠLJAVANJE VINKOVCI;J.DALMATINCA 27;688;381;381;365;16;244;38;40;43
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;009;VINKOVCI;"III MJESNI ODBOR ""CENTAR"" VINKOVCI";GLAGOLJAŠKA 13;1020;510;510;494;16;294;90;34;76
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;010;VINKOVCI;GRADSKA UPRAVA GRADA VINKOVACA;BANA J.JELAČIĆA 1;799;404;404;395;9;236;77;41;41
