Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SELJAČKA STRANKA - HSS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;001;DRUŠTVENO VATROGASNI DOM;KAPTOL;TRG VILIMA KORAJCA 1;517;151;151;139;12;101;38
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;002;OSNOVNA ŠKOLA VILIMA KORAJCA;KAPTOL;TRG DR. FRANJE TUĐMANA 3;621;211;211;199;12;150;49
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;003;OBITELJSKA KUĆA MATE JURIĆA;KOMAROVCI;KOMAROVCI 15;146;45;45;44;1;34;10
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;004;VATROGASNI DOM;ALILOVCI;ALILOVCI 56;350;128;128;123;5;108;15
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;005;DRUŠTVENI DOM;ČEŠLJAKOVCI;ČEŠLJAKOVCI 56;231;105;105;97;8;88;9
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;006;VATROGASNI DOM;GOLO BRDO;GOLO BRDO 34;256;78;78;74;4;63;11
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;007;DRUŠTVENI DOM;RAMANOVCI;RAMANOVCI 13;160;83;83;77;6;52;25
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;008;DRUŠTVENI DOM;NOVI BEŠINCI;NOVI BEŠINCI BB;69;26;26;24;2;17;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;009;OBITELJSKA KUĆA ZDRAVKA LOVRIĆA;BEŠINCI;BEŠINCI 17;69;23;23;23;0;21;2
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;010;VATROGASNI DOM;PODGORJE;PODGORJE 58;184;76;76;68;8;60;8
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;KAPTOL;011;VATROGASNI DOM;DOLJANOVCI;DOLJANOVCI 6;207;93;93;87;6;64;23
