Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;JOSIP BUDIMIR;MAGDALENA KRIŽANOVIÆ;DAMIR RAZUMOVIÆ
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;001;ZGRADA KOMUNALNOG DRUŠTVA;KUTJEVO;REPUBLIKE HRVATSKE 74;581;271;271;261;10;189;36;36
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;002;GRADSKA VIJEÆNICA;KUTJEVO;TRG GRAŠEVINE 1;413;212;212;207;5;161;16;30
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;003;"ŠRC ""KUTJEVO"" - ŠAHOVSKA DVORANA";KUTJEVO;BANA JOSIPA JELAÈIÆA 2A;456;220;220;213;7;157;13;43
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;004;OSNOVNA ŠKOLA ZDENKA TURKOVIÆA;KUTJEVO;REPUBLIKE HRVATSKE 26;626;304;304;300;4;222;22;56
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;005;PODRUÈNA ŠKOLA;BEKTEŽ;BEKTEŽ 6;309;135;135;133;2;96;2;35
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;006;DRUŠTVENI DOM;BJELIŠEVAC;BJELIŠEVAC 29;77;53;53;50;3;37;5;8
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;007;PODRUÈNA ŠKOLA;CIGLENIK;CIGLENIK 21;126;33;33;33;0;20;4;9
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;008;DRUŠTVENI DOM;FEROVAC;FEROVAC 6;71;42;42;42;0;29;7;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;009;PODRUÈNA ŠKOLA;GRABARJE;KRALJA TOMISLAVA 44;362;204;204;201;3;160;8;33
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;010;PODRUÈNA ŠKOLA;GRADIŠTE;GRADIŠTE 86;122;26;26;26;0;21;4;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;011;PRIVATNA KUÆA DEJANA PREVIŠIÆA;HRNJEVAC;HRNJEVAC 7A;137;85;85;81;4;65;9;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;012;DRUŠTVENI DOM;KULA;STJEPANA RADIÆA 2;282;106;106;101;5;60;29;12
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;013;DRUŠTVENI DOM;LUKAÈ;LUKAÈ 10A;121;75;75;72;3;61;4;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;014;PODRUÈNA ŠKOLA MITROVAC;MITROVAC;MITROVAC 59;97;58;58;56;2;44;1;11
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;015;DRUŠTVENI DOM;OVÈARE;OVÈARE 2;100;60;60;60;0;46;8;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;016;PODRUÈNA ŠKOLA;POREÈ;POREÈ 78;88;19;19;19;0;10;5;4
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;017;VATROGASNI DOM;ŠUMANOVCI;ŠUMANOVCI BB;115;63;63;60;3;51;5;4
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;018;PODRUÈNA ŠKOLA;TOMINOVAC;TOMINOVAC 29;126;61;61;60;1;53;3;4
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;019;DRUŠTVENI DOM;VENJE;VENJE 16A;82;41;41;41;0;37;2;2
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;020;DRUŠTVENI DOM;VETOVO;ZAGREBAÈKA 1;400;123;123;120;3;102;4;14
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;021;PODRUÈNA ŠKOLA;VETOVO;MATIJE GUPCA 7A;468;167;167;162;5;119;17;26
