Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;VINKO KASANA;TOMISLAV LNENIČEK
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;001;OSNOVNA ŠKOLA LIPIK;LIPIK;ŠKOLSKA 25;684;312;312;300;12;217;83
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;002;DRUŠTVENI DOM U LIPIKU;LIPIK;SLAVONSKA 45;461;224;224;218;6;146;72
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;003;GRADSKA UPRAVA U LIPIKU;LIPIK;MARIJE TEREZIJE 27;652;290;289;275;14;204;71
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;004;DRUŠTVENI DOM U ANTUNOVCU;ANTUNOVAC;POLJANSKA 79;286;116;116;112;4;88;24
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;005;DRUŠTVENI DOM U BREKINSKOJ;BREKINSKA;BREKINSKA 65;108;77;77;73;4;61;12
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;006;DRUŠTVENI DOM U BREZINAMA;BREZINE;BREZINE 49;175;81;81;76;5;49;27
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;007;BUJAVICA (BIVŠI LAKTOFRIZ);BUJAVICA;BUJAVICA BB;24;7;7;7;0;7;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;008;OSNOVNA ŠKOLA U DOBROVCU;DOBROVAC;STJEPANA RADIĆA 54;325;153;153;150;3;102;48
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;009;KUĆA BORISA KOPA, DONJI ČAGLIĆ;DONJI ČAGLIĆ;UL. ROBERTA ŽILIJA 96;316;143;143;128;15;82;46
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;010;DRUŠTVENI DOM U FILIPOVCU;FILIPOVAC;TABOR 14;311;142;142;133;9;86;47
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;011;DRUŠTVENI DOM U GAJU;GAJ;SLAVKA SUDRE 2;228;144;144;140;4;93;47
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;012;DRUŠTVENI DOM U JAPAGI;JAPAGA;PSUNJSKA 11;141;54;54;49;5;44;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;013;JAGMA (BIVŠI LAKTOFRIZ);JAGMA;JAGMA 52 A;36;16;16;16;0;13;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;014;DRUŠTVENI DOM U KLISI;KLISA;KLISA 42;65;43;43;43;0;33;10
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;015;DRUŠTVENI DOM U KUKUNJEVCU;KUKUNJEVAC;FRANJE FILIPOVIĆA 106;211;96;96;93;3;60;33
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;016;DRUŠTVENI DOM U MARINOM SELU;MARINO SELO;MARINO SELO 55 A;218;110;110;108;2;72;36
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;017;OSNOVNA ŠKOLA U POLJANI;POLJANA;ANTUNOVAČKA 23;426;177;177;171;6;137;34
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;LIPIK;018;DRUŠTVENI DOM U ŠEOVICI;ŠEOVICA;OMANOVAČKA 93;211;76;76;69;7;54;15
