Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP, MOST;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA STRANKA PRAVA - HSP;HRVATSKA STRANKA UMIROVLJENIKA - HSU;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;001;ZGRADA KOMUNALNOG DRUŠTVA;KUTJEVO;REPUBLIKE HRVATSKE 74;581;271;271;264;7;36;143;22;32;31
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;002;GRADSKA VIJEĆNICA;KUTJEVO;TRG GRAŠEVINE 1;413;212;212;209;3;38;119;18;15;19
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;003;"ŠRC ""KUTJEVO"" - ŠAHOVSKA DVORANA";KUTJEVO;BANA JOSIPA JELAČIĆA 2A;456;216;216;210;6;35;129;17;19;10
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;004;OSNOVNA ŠKOLA ZDENKA TURKOVIĆA;KUTJEVO;REPUBLIKE HRVATSKE 26;626;304;304;293;11;64;147;25;31;26
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;005;PODRUČNA ŠKOLA;BEKTEŽ;BEKTEŽ 6;309;135;135;131;4;39;82;1;7;2
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;006;DRUŠTVENI DOM;BJELIŠEVAC;BJELIŠEVAC 29;77;53;53;50;3;9;26;0;10;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;007;PODRUČNA ŠKOLA;CIGLENIK;CIGLENIK 21;126;33;33;33;0;9;20;2;0;2
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;008;DRUŠTVENI DOM;FEROVAC;FEROVAC 6;71;42;42;42;0;4;27;0;2;9
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;009;PODRUČNA ŠKOLA;GRABARJE;KRALJA TOMISLAVA 44;362;204;204;199;5;38;144;5;8;4
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;010;PODRUČNA ŠKOLA;GRADIŠTE;GRADIŠTE 86;122;26;26;26;0;0;15;2;6;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;011;PRIVATNA KUĆA DEJANA PREVIŠIĆA;HRNJEVAC;HRNJEVAC 7A;137;85;85;83;2;12;59;1;4;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;012;DRUŠTVENI DOM;KULA;STJEPANA RADIĆA 2;282;106;106;101;5;13;56;2;3;27
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;013;DRUŠTVENI DOM;LUKAČ;LUKAČ 10A;121;75;75;72;3;7;49;6;4;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;014;PODRUČNA ŠKOLA MITROVAC;MITROVAC;MITROVAC 59;97;58;58;54;4;13;34;4;2;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;015;DRUŠTVENI DOM;OVČARE;OVČARE 2;100;60;60;59;1;8;28;2;11;10
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;016;PODRUČNA ŠKOLA;POREČ;POREČ 78;88;19;19;19;0;3;10;2;0;4
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;017;VATROGASNI DOM;ŠUMANOVCI;ŠUMANOVCI BB;115;63;63;61;2;3;47;5;2;4
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;018;PODRUČNA ŠKOLA;TOMINOVAC;TOMINOVAC 29;126;61;61;60;1;6;48;1;0;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;019;DRUŠTVENI DOM;VENJE;VENJE 16A;82;41;41;40;1;3;31;0;6;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;020;DRUŠTVENI DOM;VETOVO;ZAGREBAČKA 1;400;120;120;116;4;20;87;0;1;8
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;021;PODRUČNA ŠKOLA;VETOVO;MATIJE GUPCA 7A;468;167;167;160;7;23;105;7;9;16
