Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;KANDIDACIJSKA LISTA GRUPE BIRAČA -  ROBERT HOFMAN;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SELJAČKA STRANKA - HSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;001;DRUŠTVENO VATROGASNI DOM;VELIKA;S. RADIĆA 18;552;297;297;292;5;46;132;97;5;12
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;002;KNJIŽNICA VELIKA;VELIKA;TRG BANA J. JELAČIĆA 36;1109;537;537;522;15;67;213;200;11;31
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;003;DRUŠTVENI DOM;RADOVANCI;RADOVANCI 20;404;227;227;225;2;45;49;121;3;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;004;HRVATSKI SELJAČKI DOM;TRENKOVO;TRENKOVA 13;668;309;309;303;6;21;136;112;16;18
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;005;DRUŠTVENI DOM;ANTUNOVAC;ANTUNOVAC 5;126;35;35;32;3;9;4;10;0;9
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;006;DRUŠTVENI DOM;POTOČANI;POTOČANI BB;147;65;65;61;4;10;18;25;3;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;007;DRUŠTVENI DOM;TRNOVAC;TRNOVAC 12;340;150;150;148;2;35;34;25;4;50
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;008;DRUŠTVENO-VATROGASNI DOM;TORANJ;TORANJ BB;147;54;54;53;1;11;3;30;7;2
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;009;DRUŠTVENI DOM;DRAGA;DRAGA 34;198;115;115;114;1;25;27;55;2;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;010;"OŠ ""I. G. KOVAČIĆA"", PODRUČNI ODJEL BIŠKUPCI";BIŠKUPCI;BIŠKUPCI BB;293;131;131;127;4;9;37;58;8;15
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;011;DRUŠTVENI DOM;STRAŽEMAN;STRAŽEMAN 11;188;81;81;77;4;9;14;43;5;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;012;DRUŠTVENI DOM;LUČINCI;LUČINCI 26;94;30;30;30;0;3;6;11;1;9
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;013;DRUŠTVENI DOM;DOLJANCI;DOLJANCI BB;62;15;15;14;1;0;1;6;0;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;014;DRUŠTVENI DOM;OLJASI;OLJASI 13A;62;25;25;23;2;5;3;9;4;2
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;015;DRUŠTVENI DOM;MILANOVAC;MILANOVAC 20;30;21;21;21;0;2;9;5;0;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;016;DRUŠTVENI DOM;POLJANSKA;POLJANSKA BB;124;40;40;38;2;3;4;17;7;7
