Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA UMIROVLJENIKA - HSU;HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;MOST;NARODNA STRANKA - REFORMISTI - REFORMISTI, HRVATSKA SELJAČKA STRANKA BRAĆE RADIĆ - HSS BRAĆE RADIĆ, STRANKA HRVATSKIH UMIROVLJENIKA - UMIROVLJENICI - UMIROVLJENICI;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;001;"ARSLANOVCI I, ŠPORTSKA DVORANA ""GRABRIK""";POŽEGA;ANTUNA KANIŽLIĆA 14A;533;222;222;214;8;29;81;3;27;7;67
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;002;ARSLANOVCI II, PRIVATNA KUĆA ROKIĆ GORANA;POŽEGA;ARSLANOVCI 11;755;297;297;290;7;37;128;5;21;19;80
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;003;ARSLANOVCI III, PRIVATNA KUĆA LADE CIGANOVIĆ;POŽEGA;VRANDUK 3;404;160;160;152;8;13;66;5;18;4;46
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;004;"ARSLANOVCI IV, TRGOVINA ""INLES""";POŽEGA;DUBROVAČKA 115;601;253;253;244;9;37;125;5;16;4;57
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;005;CENTAR I, ZGRADA VELEUČILIŠTA;POŽEGA;VUKOVARSKA 17;841;388;388;373;15;43;138;12;47;14;119
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;006;"CENTAR II, OŠ ""ANTUNA KANIŽLIĆA""";POŽEGA;ANTUNA KANIŽLIĆA 2;325;146;146;143;3;7;51;4;25;8;48
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;007;CENTAR III I GAREVICA, OŠ DOBRIŠE CESARIĆA;POŽEGA;SLAVONSKA 8;605;296;294;282;12;40;123;6;46;8;59
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;008;CENTAR IV  I GAREVICA, OŠ DOBRIŠE CESARIĆA;POŽEGA;SLAVONSKA 8;620;258;258;248;10;23;83;10;35;9;88
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;009;"CENTAR V, ""CROATIA"" D.D.";POŽEGA;REPUBLIKE HRVATSKE 1C;335;154;154;151;3;16;65;1;12;5;52
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;010;CENTAR VI, GRADSKA KUĆA (PROSTORIJA KOMUNALNIH REDARA);POŽEGA;TRG SV. TROJSTVA 1;1121;442;441;425;16;61;176;11;38;18;121
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;011;CIGLANE I, PRIVATNA KUĆA BORE ŠIPURE;POŽEGA;PAVLA RADIĆA 23;877;396;396;381;15;40;149;7;70;17;98
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;012;CIGLANE II, TENISKI KLUB POŽEGA;POŽEGA;PAVLA RADIĆA 2A;307;124;124;119;5;6;45;3;21;6;38
