Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;IGOR ČANČAR;ZDRAVKO MANDIĆ;IGOR SMOLJANOVIĆ
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;001;"OSNOVNA ŠKOLA ""DRAGUTINA LERMANA""";BRESTOVAC;POŽEŠKA 45;673;327;327;315;12;87;148;80
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;002;VATROGASNI DOM;JAGUPLIJE;JAGUPLIJE BB;125;78;78;77;1;22;52;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;003;PRIVATNA KUĆA NEMEČEK;ZAVRŠJE;ZVONKA BRKIĆA 2;286;127;127;121;6;40;55;26
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;004;DRUŠTVENI DOM;NURKOVAC;NURKOVAC BB;227;114;114;110;4;40;58;12
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;005;DRUŠTVENI DOM;DOLAC;DOLAC BB;162;72;72;71;1;26;34;11
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;006;PODRUČNA ŠKOLA;SKENDEROVCI;SKENDEROVCI BB;152;60;60;57;3;11;36;10
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;007;DRUŠTVENI DOM;DARANOVCI;DARANOVCI BB;154;94;94;87;7;16;57;14
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;008;VATROGASNI DOM;ZAKORENJE;ZAKORENJE BB;147;90;90;89;1;5;78;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;009;DRUŠTVENI DOM;DONJI GUČANI;DONJI GUČANI BB;159;86;86;86;0;29;53;4
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;010;DRUŠTVENI DOM;BUSNOVI;BUSNOVI BB;89;44;44;43;1;8;23;12
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;011;VATROGASNI DOM;IVANDOL;IVANDOL BB;161;73;73;71;2;22;44;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;012;DRUŠTVENI DOM;VILIĆ SELO;VILIĆ SELO BB;125;72;72;71;1;14;35;22
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;013;DRUŠTVENI DOM;BORIČEVCI;BORIČEVCI BB;107;68;68;66;2;21;23;22
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;014;DRUŠTVENI DOM;PAVLOVCI;PAVLOVCI BB;158;86;86;82;4;17;42;23
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;015;DRUŠTVENI DOM;DEŽEVCI;DEŽEVCI BB;140;79;79;75;4;14;52;9
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;016;DRUŠTVENI DOM;PERENCI;PERENCI BB;88;32;32;32;0;3;12;17
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;017;VATROGASNI DOM;ORLJAVAC;ORLJAVAC BB;274;85;85;85;0;13;41;31
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;BRESTOVAC;018;DRUŠTVENI DOM;PODSREĆE;PODSREĆE BB;36;17;17;16;1;0;3;13
