Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ROBERT HOFMAN;DARIO IVKOVIĆ;DRAŽENKO KLJAJIĆ
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;001;DRUŠTVENO VATROGASNI DOM;VELIKA;S. RADIĆA 18;552;297;297;286;11;154;87;45
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;002;KNJIŽNICA VELIKA;VELIKA;TRG BANA J. JELAČIĆA 36;1109;537;537;523;14;290;178;55
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;003;DRUŠTVENI DOM;RADOVANCI;RADOVANCI 20;404;227;227;225;2;55;124;46
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;004;HRVATSKI SELJAČKI DOM;TRENKOVO;TRENKOVA 13;668;309;309;302;7;179;106;17
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;005;DRUŠTVENI DOM;ANTUNOVAC;ANTUNOVAC 5;126;35;35;33;2;11;13;9
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;006;DRUŠTVENI DOM;POTOČANI;POTOČANI BB;147;67;67;63;4;24;25;14
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;007;DRUŠTVENI DOM;TRNOVAC;TRNOVAC 12;340;150;150;143;7;62;30;51
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;008;DRUŠTVENO-VATROGASNI DOM;TORANJ;TORANJ BB;147;54;54;51;3;10;28;13
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;009;DRUŠTVENI DOM;DRAGA;DRAGA 34;198;115;115;113;2;30;59;24
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;010;"OŠ ""I. G. KOVAČIĆA"", PODRUČNI ODJEL BIŠKUPCI";BIŠKUPCI;BIŠKUPCI BB;293;131;131;129;2;48;67;14
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;011;DRUŠTVENI DOM;STRAŽEMAN;STRAŽEMAN 11;188;81;81;79;2;29;41;9
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;012;DRUŠTVENI DOM;LUČINCI;LUČINCI 26;94;30;30;27;3;14;11;2
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;013;DRUŠTVENI DOM;DOLJANCI;DOLJANCI BB;62;20;20;17;3;3;12;2
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;014;DRUŠTVENI DOM;OLJASI;OLJASI 13A;62;25;25;25;0;8;10;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;015;DRUŠTVENI DOM;MILANOVAC;MILANOVAC 20;30;21;21;19;2;11;5;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;općina;VELIKA;016;DRUŠTVENI DOM;POLJANSKA;POLJANSKA BB;124;43;43;41;2;11;26;4
