Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MARIN MANDARIĆ;MIRJANA ADRIĆ
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;001;ĐAKOVO;EKONOMSKA ŠKOLA BRAĆA RADIĆ, UČIONICA 1;VIJENAC KARDINALA ALOJZIJA STEPINCA 11;516;189;189;180;9;109;71
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;002;ĐAKOVO;EKONOMSKA ŠKOLA BRAĆA RADIĆ, UČIONICA 2;VIJENAC KARDINALA ALOJZIJA STEPINCA 11;509;198;198;186;12;117;69
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;003;ĐAKOVO;EKONOMSKA ŠKOLA BRAĆA RADIĆ, UČIONICA 3;VIJENAC KARDINALA ALOJZIJA STEPINCA 11;587;216;216;204;12;105;99
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;004;ĐAKOVO;MUZEJ ĐAKOVŠTINE;ANTE STARČEVIĆA 34;730;279;279;248;31;155;93
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;005;ĐAKOVO;POSLOVNI PROSTOR;ANTE STARČEVIĆA 157;528;203;203;192;11;114;78
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;006;ĐAKOVO;CENTAR ZA KULTURU;KRALJA TOMISLAVA 13;636;285;285;272;13;210;62
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;007;ĐAKOVO;OSNOVNA ŠKOLA IVANA GORANA KOVAČIĆA;KRALJA TOMISLAVA 25;481;177;177;158;19;105;53
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;008;ĐAKOVO;OSNOVNA ŠKOLA JOSIPA ANTUNA ĆOLNIĆA, UČIONICA 1;TRG NIKOLE ŠUBIĆA ZRINSKOG 4;688;252;252;235;17;158;77
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;009;ĐAKOVO;OSNOVNA ŠKOLA JOSIPA ANTUNA ĆOLNIĆA, UČIONICA 2;TRG NIKOLE ŠUBIĆA ZRINSKOG 4;917;366;366;345;21;262;83
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;010;ĐAKOVO;UNIVERZAL D.O.O., PROSTORIJA 1;V.NAZORA 68;755;243;243;224;19;142;82
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;011;ĐAKOVO;UNIVERZAL D.O.O., PROSTORIJA 2;V.NAZORA 68;624;204;204;190;14;126;64
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;012;ĐAKOVO;HRVATSKA AGENCIJA ZA POLJOPRIVREDU I HRANU, URED U ĐAKOVU;V.NAZORA 1;450;168;168;159;9;111;48
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;013;ĐAKOVO;POSLOVNI PROSTOR;I.G.KOVAČIĆA 5;898;322;322;305;17;197;108
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;014;ĐAKOVO;POSLOVNI PROSTOR;KRALJA TOMISLAVA 67;696;230;230;225;5;130;95
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;015;ĐAKOVAČKI PISAK;OSNOVNA ŠKOLA;ĐAKOVAČKI PISAK;254;78;78;78;0;25;53
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;016;ĐAKOVO;STARI DVD, PROSTORIJA I.;MATIJE GUPCA 30;488;175;175;165;10;100;65
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;017;ĐAKOVO;STARI DVD, PROSTORIJA II.;MATIJE GUPCA 30;851;326;326;307;19;187;120
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;018;ĐAKOVO;PROTUPOŽARNI CENTAR;SPLITSKA BB;591;201;201;187;14;103;84
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;019;ĐAKOVO;CENTAR ZA SOCIJALNU SKRB;P.PRERADOVIĆA 2;516;169;169;156;13;93;63
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;020;ĐAKOVO;HRVATSKI ZAVOD ZA ZDRAVSTVENO OSIGURANJE, PROSTORIJA 1;P.PRERADOVIĆA 15;834;306;306;285;21;157;128
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;021;ĐAKOVO;HRVATSKI ZAVOD ZA ZDRAVSTVENO OSIGURANJE, PROSTORIJA 2;P.PRERADOVIĆA 15;611;247;247;238;9;153;85
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;022;ĐAKOVO;UPRAVNA ZGRADA DOMA ZDRAVLJA;P.PRERADOVIĆA 2;835;312;312;299;13;186;113
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;023;ĐAKOVO;ŠUMARIJA;J.PALMOTIĆA 18;993;327;327;308;19;208;100
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;024;ĐAKOVO;"DJEČJI VRTIĆ ""VILA"", PROSTORIJA 1";ĐAKOVO;746;309;307;296;11;213;83
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;025;ĐAKOVO;"DJEČJI VRTIĆ ""VILA"", PROSTORIJA 2";ĐAKOVO;788;365;363;344;19;243;101
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;026;SELCI ĐAKOVAČKI;OSNOVNA ŠKOLA ĐAKOVAČKI SELCI, UČIONICA 1;SELCI ĐAKOVAČKI;839;262;262;255;7;176;79
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;027;SELCI ĐAKOVAČKI;OSNOVNA ŠKOLA ĐAKOVAČKI SELCI, UČIONICA 2;SELCI ĐAKOVAČKI;660;198;198;193;5;136;57
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;028;KUŠEVAC;PODRUČNA OSNOVNA ŠKOLA JOSIPA ANTUNA ĆOLNIĆA;KUŠEVAC;892;344;344;341;3;260;81
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;029;IVANOVCI ĐAKOVAČKI;DOM DVD-A;IVANOVCI ĐAKOVAČKI;479;195;195;188;7;124;64
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;030;ŠIROKO POLJE;MJESNI DOM;ŠIROKO POLJE;838;369;369;362;7;236;126
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;031;BUDROVCI;OSNOVNA ŠKOLA BUDROVCI, UČIONICA 1;BUDROVCI;611;207;207;201;6;128;73
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;032;BUDROVCI;OSNOVNA ŠKOLA BUDROVCI, UČIONICA 2;BUDROVCI;428;143;143;141;2;70;71
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;033;ĐURĐANCI;OSNOVNA ŠKOLA;ĐURĐANCI;355;120;120;118;2;89;29
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;034;PIŠKOREVCI;OSNOVNA ŠKOLA MATIJA GUBEC, UČIONICA 1;PIŠKOREVCI;782;296;294;283;11;158;125
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;035;PIŠKOREVCI;OSNOVNA ŠKOLA MATIJA GUBEC, UČIONICA 2;PIŠKOREVCI;807;342;342;332;10;198;134
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;036;NOVI PERKOVCI;PODRUČNA OSNOVNA ŠKOLA MATIJA GUBEC;NOVI PERKOVCI;195;97;97;96;1;70;26
