Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KARLO STARČEVIĆ;MARIO STILINOVIĆ
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;001;GOSPIĆ;PUČKO OTVORENO UČILIŠTE DR ANTE STARČEVIĆA;ULICA DR. FRANJE TUĐMANA BR. 5, GOSPIĆ;952;637;637;615;22;418;197
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;002;GOSPIĆ;ZGRADA HRVATSKE POŠTE U GOSPIĆU;KANIŠKA ULICA BR. 53, GOSPIĆ;951;679;679;619;60;422;197
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;003;GOSPIĆ;ZGRADA DOMA ZDRAVLJA U GOSPIĆU;ULICA 118. BRIGADE HRVATSKE VOJSKE 3, GOSPIĆ;1378;784;784;761;23;528;233
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;004;GOSPIĆ;ZGRADA GIMNAZIJE U GOSPIĆU;BUDAČKA ULICA BR. 24, GOSPIĆ;798;549;549;533;16;350;183
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;005;GOSPIĆ;"ZGRADA ""USLUGE"" D.O.O. U GOSPIĆU";BUŽIMSKA ULICA 10;1508;1044;1044;1013;31;687;326
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;006;GOSPIĆ;ČITAONICA KANIŽA;KANIŽA GOSPIĆKA;375;252;252;237;15;161;76
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;007;GOSPIĆ;ČITAONICA ŽABICA;ŽABICA, GOSPIĆ;163;111;111;105;6;57;48
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;008;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE LIČKI NOVI;LIČKI NOVI;242;130;130;128;2;85;43
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;009;GOSPIĆ;ZGRADA HRVATSKIH CESTA U PODOŠTRI;PODOŠTRA;157;108;108;98;10;58;40
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;010;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE BILAJ;BILAJ;273;204;204;193;11;114;79
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;011;GOSPIĆ;OBITELJSKA KUĆA MILANA GENDE RIBNIK;RIBNIK 31/1;78;50;50;44;6;28;16
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;012;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE TRNOVAC;TRNOVAC;151;94;94;94;0;49;45
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;013;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE BRUŠANE;BRUŠANE;133;77;77;74;3;36;38
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;014;GOSPIĆ;ČITAONICA BUDAK;BUDAK;118;81;81;79;2;56;23
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;015;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE MUŠALUK;MUŠALUK;168;97;97;94;3;72;22
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;016;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE LIČKI OSIK;LIČKI OSIK (NASELJE);1419;749;748;720;28;554;166
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;017;GOSPIĆ;KUĆA DRAGANA ŠOPA, LIČKI OSIK (STARI) BR 64;LIČKI OSIK (STARI);187;100;100;96;4;73;23
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;018;GOSPIĆ;ZGRADA DRUŠTVENOG DOMA  VREBAC;VREBAC;103;45;45;45;0;43;2
