Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;STJEPAN KOSTELAC;GORAN BUKOVAC
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;001;OTOČAC - PODRUČNA ŠKOLA HRVATSKO POLJE;PODRUČNA ŠKOLA HRVATSKO POLJE;HRVATSKO POLJE;150;72;72;72;0;53;19
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;002;OTOČAC - PODRUČNA ŠKOLA KOMPOLJE;PODRUČNA ŠKOLA KOMPOLJE;KOMPOLJE;494;252;252;249;3;147;102
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;003;OTOČAC - PODRUČNA ŠKOLA ŠVICA;PODRUČNA ŠKOLA ŠVICA;ŠVICA;402;285;285;283;2;147;136
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;004;OTOČAC - PODRUČNA ŠKOLA LIPOVLJE;PODRUČNA ŠKOLA LIPOVLJE;LIPOVLJE;191;92;92;92;0;31;61
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;005;OTOČAC - PODRUČNA ŠKOLA KUTEREVO;PODRUČNA ŠKOLA KUTEREVO;KUTEREVO;403;274;274;271;3;93;178
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;006;OTOČAC - AUTO-KLUB OTOČAC;AUTO KLUB OTOČAC;OTOČAC, IVE SENJANINA 12;1304;817;815;802;13;278;524
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;007;OTOČAC-OSNOVNA ŠKOLA OTOČAC;OŠ OTOČAC;OTOČAC;567;376;376;373;3;157;216
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;008;OTOČAC-ZGRADA GACKOG PUČKOG  O. UČ. (KAT);ZGRADA GACKOG  PUČKOG O. UČ.(KAT);OTOČAC;832;516;516;507;9;238;269
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;009;OTOČAC - ZGRADA GACKOG PUČKOG O. UČ (PRIZ);ZGRADA GACKOG PUČKOG O. UČ. (PRIZ);OTOČAC;1083;604;604;597;7;290;307
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;010;OTOČAC - LOVAČKI DOM DABAR;LOVAČKI DOM DABAR;DABAR;90;47;47;45;2;29;16
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;011;OTOČAC - DOM PROZOR DONJI;DOM PROZOR DONJI;PROZOR DONJI;404;282;282;282;0;166;116
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;012;OTOČAC - PODRUČNA ŠKOLA PROZOR GORNJI;PODRUČNA ŠKOLA PROZOR GORNJI;PROZOR GORNJI;338;253;253;251;2;131;120
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;013;OTOČAC - PODRUČNA ŠKOLA ČOVIĆI;PODRUČNA ŠKOLA ČOVIĆI;ČOVIĆI;497;296;295;291;4;112;179
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;014;OTOČAC - PODRUČNA ŠKOLA LIČKO LEŠĆE;PODRUČNA ŠKOLA LIČKO LEŠĆE;LIČKO LEŠĆE DONJE;349;220;220;219;1;73;146
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;015;"OTOČAC - HRVATSKI SELJAČKI DOM ""GACKA"" LIČKO LEŠĆE";"HRVATSKI SELJAČKI DOM ""GACKA""";LIČKO LEŠĆE GORNJE;224;155;155;153;2;68;85
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;016;OTOČAC - PODRUČNA ŠKOLA SINAC;PODRUČNA ŠKOLA SINAC;SINAC;458;262;262;257;5;138;119
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;017;OTOČAC - MJESNI DOM RAMLJANI;MJESNI DOM RAMLJANI;RAMLJANI;100;65;65;64;1;46;18
