Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;IVAN ÈEHOK;NEVEN BOSILJ
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;001;VARAŽDIN;PROSTORIJE GRADSKE  VIJEÆNICE (DVORANA PRIZ.LIJEVO);TRG KRALJA TOMISLAVA 1;494;234;234;222;12;114;108
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;002;VARAŽDIN;PROSTORIJE DOBROVOLJNOG VATROGASNOG DRUŠTVA VARAŽDIN (DVORIŠTE);TRENKOVA 44;738;297;297;282;15;125;157
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;003;VARAŽDIN;BIVŠE PROSTORIJE GRADSKOG DRUŠTVA CRVENOG KRIŽA VARAŽDIN;ULICA STANKA VRAZA 8;506;205;205;202;3;104;98
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;004;VARAŽDIN;PROSTORIJE II. MJESNOG ODBORA;KOLODVORSKA 3;841;372;372;355;17;179;176
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;005;VARAŽDIN;PROSTORIJE HŽ-ODRŽAVANJE PRUGA;ULAZ IZ ULICE MATICE HRVATSKE;761;345;345;333;12;124;209
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;006;VARAŽDIN;PROSTORIJE HŽ-PUTNIÈKI PRIJEVOZ (ULAZ IZA DOMA ŽELJEZNIÈARA);KOLODVORSKA 17;808;325;325;305;20;132;173
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;007;VARAŽDIN;PROSTORIJE I. OSNOVNE ŠKOLE;KRALJA P. KREŠIMIRA IV 10;625;308;308;303;5;128;175
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;008;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE III. MJESNOG ODBORA;ZAGREBAÈKA 17;909;400;400;384;16;167;217
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;009;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE III. MJESNOG ODBORA;ZAGREBAÈKA 17;972;392;392;379;13;168;211
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;010;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE DJEÈJEG VRTIÆA (LEGO DVORANA);ALEJA KRALJA ZVONIMIRA 3;666;284;284;271;13;116;155
