Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MILORAD BATINIĆ;ZDENKO ĐURAS
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;001;IVANEC - 1;SREDNJA ŠKOLA-BIRALIŠTE I;IVANEC;553;185;185;180;5;128;52
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;002;IVANEC - 2;OSNOVNA ŠKOLA-BIRALIŠTE I;IVANEC;886;355;354;344;10;224;120
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;003;IVANEC - 3;PROSTORIJE MUZEJA PLANINARSTVA IVANEC;ULICA RUDOLFA RAJTERA 5;579;251;251;249;2;189;60
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;004;IVANEC - 4;SREDNJA ŠKOLA - BIRALIŠTE II;IVANEC;629;254;254;253;1;173;80
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;005;IVANEC - 5;"PROSTORIJE NOVE RADIONICE ""PAHINSKO""";IVANEC;396;145;145;142;3;112;30
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;006;IVANEC - 6;OSNOVNA ŠKOLA- BIRALIŠTE II;IVANEC;780;314;314;307;7;202;105
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;007;IVANEC-7;KUĆA PETRE PETRINJAK;IVANEC, ULICA ŽRTAVA HRVATSKIH DOMOVINSKIH RATOVA 20 B;536;232;232;228;4;170;58
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;008;LANČIĆ;DRUŠTVENI DOM;LANČIĆ;326;125;125;124;1;88;36
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;009;VUGLOVEC;DRUŠTVENI DOM VUGLOVEC-GEČKOVEC;BIRALIŠTE VUGLOVEC;283;96;96;96;0;69;27
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;010;GEČKOVEC;DRUŠTVENI DOM VUGLOVEC-GEČKOVEC;BIRALIŠTE GEČKOVEC;104;42;42;42;0;39;3
