Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;RADIMIR ÈAÈIÆ;ANÐELKO STRIÈAK
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;001;IVANEC - 1;SREDNJA ŠKOLA-BIRALIŠTE I;IVANEC;553;185;185;167;18;96;71
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;002;IVANEC - 2;OSNOVNA ŠKOLA-BIRALIŠTE I;IVANEC;886;355;355;326;29;185;141
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;003;IVANEC - 3;PROSTORIJE MUZEJA PLANINARSTVA IVANEC;ULICA RUDOLFA RAJTERA 5;579;251;251;232;19;159;73
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;004;IVANEC - 4;SREDNJA ŠKOLA - BIRALIŠTE II;IVANEC;629;254;254;236;18;145;91
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;005;IVANEC - 5;"PROSTORIJE NOVE RADIONICE ""PAHINSKO""";IVANEC;396;145;145;141;4;102;39
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;006;IVANEC - 6;OSNOVNA ŠKOLA- BIRALIŠTE II;IVANEC;780;314;314;290;24;175;115
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;007;IVANEC-7;KUÆA PETRE PETRINJAK;IVANEC, ULICA ŽRTAVA HRVATSKIH DOMOVINSKIH RATOVA 20 B;536;232;232;222;10;140;82
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;008;LANÈIÆ;DRUŠTVENI DOM;LANÈIÆ;326;125;125;120;5;75;45
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;009;VUGLOVEC;DRUŠTVENI DOM VUGLOVEC-GEÈKOVEC;BIRALIŠTE VUGLOVEC;283;96;96;95;1;58;37
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;010;GEÈKOVEC;DRUŠTVENI DOM VUGLOVEC-GEÈKOVEC;BIRALIŠTE GEÈKOVEC;104;42;42;40;2;28;12
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;011;KANIŽA;DRUŠTVENI DOM;KANIŽA;221;87;87;83;4;62;21
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;012;BEDENEC;VATROGASNI DOM - BIRALIŠTE I;BEDENEC;335;129;129;126;3;54;72
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;013;BEDENEC;VATROGASNI DOM - BIRALIŠTE II;BEDENEC;231;88;88;85;3;52;33
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;014;JEROVEC DONJI;DRUŠTVENI DOM JEROVEC DONJI;JEROVEC 80 C;359;172;172;164;8;71;93
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;015;JEROVEC GORNJI;DRUŠTVENI DOM JEROVEC GORNJI;JEROVEC 205;321;157;157;148;9;55;93
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;016;RIBIÆ BREG;KUÆA POK. VJEKOSLAVA PAHIÆA;RIBIÆ BREG 3;125;57;57;57;0;30;27
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;017;HORVATSKO;"PROSTORIJE ""ORION""";HORVATSKO 28;139;38;38;37;1;24;13
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;018;PRIGOREC;OSNOVNA ŠKOLA;PRIGOREC;426;161;161;152;9;99;53
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;019;PUNIKVE;DRUŠTVENI DOM;PUNIKVE;352;137;137;130;7;83;47
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;020;IVANEÈKO NASELJE;"BIVŠA TISKARA ""PIMS""";IVANEÈKO NASELJE 7;214;87;87;78;9;39;39
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;021;IVANEÈKI VRHOVEC;KUÆA IVANA LONÈARA;IVANEÈKI VRHOVEC 53 A;239;73;73;71;2;26;45
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;022;VITEŠINEC;"BIVŠE IZLETIŠTE ""CRKVENJAK""";VITEŠINEC;83;36;36;34;2;22;12
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;023;GAÈICE;OSNOVNA ŠKOLA;GAÈICE;288;114;114;112;2;71;41
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;024;CERJE TUŽNO;DRUŠTVENI DOM;CERJE TUŽNO;145;58;58;53;5;32;21
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;025;SALINOVEC;OSNOVNA ŠKOLA;SALINOVEC;418;154;154;151;3;78;73
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;026;IVANEÈKA ŽELJEZNICA;DRUŠTVENI DOM;IVANEÈKA ŽELJEZNICA;297;93;93;91;2;48;43
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;027;STAŽNJEVEC;STARA ŠKOLA;STAŽNJEVEC;277;146;146;140;6;87;53
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;028;LUKAVEC;DRUŠTVENI DOM;LUKAVEC;112;60;60;57;3;38;19
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;029;MARGEÈAN;OSNOVNA ŠKOLA - BIRALIŠTE I;MARGEÈAN;329;183;183;175;8;51;124
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;030;OSEÈKA;DRUŠTVENI DOM;OSEÈKA;185;105;105;103;2;69;34
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;031;MARGEÈAN;OSNOVNA ŠKOLA - BIRALIŠTE II;MARGEÈAN;183;115;115;111;4;30;81
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;032;RADOVAN;OSNOVNA ŠKOLA - BIRALIŠTE I;RADOVAN;367;132;132;126;6;48;78
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;033;ŠKRILJEVEC;DRUŠTVENI DOM;ŠKRILJEVEC;210;89;89;83;6;37;46
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;034;RADOVAN;OSNOVNA ŠKOLA - BIRALIŠTE II;RADOVAN;384;129;129;125;4;50;75
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;001;LEPOGLAVA - 1;"UGOSTITELJSKI OBJEKT CAFFE BAR ""CIGLA""";ULICA HRVATSKIH PAVLINA 101;628;278;278;263;15;118;145
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;002;LEPOGLAVA - 2;"BIVŠA TRGOVINA ""RENOVA"" VL. TOME KOSTANJEVCA";ULICA HRVATSKIH PAVLINA 52;400;158;158;151;7;81;70
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;003;LEPOGLAVA - 3;"OSNOVNA ŠKOLA ""ANTE STARÈEVIÆ""";LEPOGLAVA;801;363;363;341;22;179;162
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;004;LEPOGLAVA - 4;VATROGASNI DOM;LEPOGLAVA;319;120;120;119;1;49;70
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;005;OÈURA;DRUŠTVENI DOM;OÈURA;397;162;162;153;9;90;63
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;006;PURGA;"UGOSTITELJSKI OBJEKT ""SPORT""";IVANA MAŽURANIÆA 2A;480;204;204;193;11;101;92
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;007;KAMENIÈKI VRHOVEC;"BIVŠI UGOST. OBJEKT ""ZELENA DOLINA""";KAMENIÈKI VRHOVEC;162;68;68;58;10;27;31
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;008;KAMENICA;"OSNOVNA ŠKOLA ""IVAN RANGER""";KAMENICA;120;65;65;62;3;36;26
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;009;CRKOVEC;KUÆA TOME ERDEC;CRKOVEC 16;135;63;63;63;0;31;32
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;010;VILETINEC;"BIVŠI UGOST. OBJEKT ""VIKTORIJA""";VILETINEC;135;45;45;42;3;22;20
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;011;VULIŠINEC;KUÆA MILICE KELEMENIÆ;VULIŠINEC 2;193;79;79;75;4;39;36
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;012;KAMENIÈKO PODGORJE - 1;PROSTORIJE NOVOG DRUŠTVENOG DOMA;KAMENIÈKO PODGORJE BB;201;99;99;99;0;39;60
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;013;KAMENIÈKO PODGORJE - 2;KUÆA KRISTIJANA GALIÆ;ŽAROVNICA 215;132;36;36;34;2;22;12
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;014;DONJA VIŠNJICA;"OSNOVNA ŠKOLA ""IZIDOR POLJAK""";VIŠNJICA;426;226;226;219;7;76;143
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;015;BEDNJICA;DRUŠTVENI DOM BEDNJICA;BEDNJICA;222;150;150;144;6;34;110
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;016;GORNJA VIŠNJICA;VATROGASNI DOM DONJA VIŠNJICA;GORNJA VIŠNJICA;373;168;168;160;8;57;103
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;017;ZLOGONJE;KUÆA ÈELIG JOSIPA;ZLOGONJE 140;357;155;155;152;3;54;98
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;018;ŽAROVNICA;PODRUÈNA ŠKOLA ŽAROVNICA;ŽAROVNICA;601;305;305;288;17;131;157
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;001;LUDBREG - 1;MEÐUGENERACIJSKI CENTAR-PROSTORIJA UDRUGE UMIROVLJENIKA;TRG SVETOGA TROJSTVA 16;1610;271;271;261;10;138;123
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;002;LUDBREG - 2;OSNOVNA ŠKOLA LUDBREG;ULICA ANDRIJE KAÈIÆA MIOŠIÆA 17;1469;340;340;315;25;186;129
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;003;VINOGRADI LUDBREŠKI;DRUŠTVENI DOM, VINOGRADI LUDBREŠKI;GORNJOGRADSKA ULICA 2;586;93;93;93;0;50;43
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;004;SIGETEC LUDBREŠKI;DRUŠTVENI DOM;SIGETEC LUDBREŠKI, ULICA BRAÆE RADIÆ 13;536;142;142;134;8;52;82
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;005;SLOKOVEC;VATROGASNI DOM;SLOKOVEC 45;209;80;80;76;4;29;47
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;006;APATIJA;DRUŠTVENI DOM;APATIJA 21A;201;66;66;65;1;24;41
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;007;SELNIK;DRUŠTVENI DOM;SELNIK, GLAVNA ULICA 1;704;169;169;162;7;86;76
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;008;KUÆAN LUDBREŠKI;DRUŠTVENI DOM;KUÆAN LUDBREŠKI 2D;149;48;48;43;5;20;23
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;009;HRASTOVSKO;DRUŠTVENI DOM, HRASTOVSKO;KALNIÈKA ULICA 3;613;143;143;131;12;95;36
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;010;GLOBOÈEC LUDBREŠKI;DRUŠTVENI DOM;GLOBOÈEC LUDBREŠKI, LUDBREŠKA ULICA 80;390;75;75;72;3;43;29
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;011;ÈUKOVEC;DRUŠTVENI DOM;ÈUKOVEC, GRACI 2;253;47;47;44;3;34;10
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;012;BOLFAN;DRUŠTVENI DOM;BOLFAN, VARAŽDINSKA ULICA 42;360;76;76;75;1;62;13
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;013;SEGOVINA;DRUŠTVENI DOM;SEGOVINA 17;36;23;23;22;1;17;5
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;014;POLJANEC;DRUŠTVENI DOM;VARAŽDINSKA ULICA 185;563;104;104;100;4;59;41
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;001;NOVI MAROF 1.;"KULTURNI CENTAR ""IVAN RABUZIN"" (MALA DVORANA)";ULICA ANTUNA MIHANOVIÆA 3;663;203;203;195;8;78;117
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;002;NOVI MAROF 2.;OSNOVNA ŠKOLA NOVI MAROF;ZAGORSKA ULICA 23;620;169;169;166;3;61;105
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;003;NOVI MAROF 3.;"U POSLOVNOM PROSTORU ""MARŠIÆ"", NOVI MAROF";VARAŽDINSKA ULICA 88;359;108;108;106;2;39;67
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;004;PURGARI;POSLOVNO-STAMBENI PROSTOR, VL. ŠTEFANIJE ZIDAR;REMETINEC 8A;248;106;106;96;10;44;52
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;005;REMETINEC 1.;DRUŠTVENI DOM REMETINEC;REMETINEC 294;629;162;162;156;6;36;120
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;006;REMETINEC 2.;DRUŠTVENI DOM REMETINEC;REMETINEC 294;378;116;116;109;7;26;83
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;007;STRMEC REMETINEÈKI;DRUŠTVENI DOM STRMEC REMETINEÈKI;STRMEC REMETINEÈKI 76;423;174;174;163;11;45;118
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;008;GORNJE PRESEÈNO;BIVŠA PODRUÈNA ŠKOLA PRESEÈNO;PRESEÈNO 35;484;144;144;128;16;32;96
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;009;KLJUÈ 1.;DOM KULTURE KLJUÈ;VIKTORA ÈOLJE 2, KLJUÈ;530;158;158;151;7;46;105
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;010;KLJUÈ 2.;PODRUÈNA ŠKOLA KLJUÈ;VIKTORA ÈOLJE 168, KLJUÈ;195;50;50;48;2;13;35
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;011;OŠTRICE;VATROGASNI DOM OŠTRICE;OŠTRICE 24;391;144;144;137;7;66;71
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;012;OREHOVEC;DRUŠTVENI DOM OREHOVEC;OREHOVEC 23 C;229;60;60;56;4;23;33
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;013;DONJE PRESEÈNO;STAMBENI OBJEKT (STARA KUÆA) VL. BOŽICE STEPAN;PRESEÈNO 184;240;52;52;51;1;21;30
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;014;MOŽÐENEC;DRUŠTVENI DOM MOŽÐENEC;MOŽÐENEC 86 A;572;95;95;92;3;33;59
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;015;GRANA;UREDSKI KONTEJNER PORED MALONOGOMETNOG IGRALIŠTA U GRANI;GRANA;455;133;133;131;2;41;90
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;016;GORNJE MAKOJIŠÆE;DRUŠTVENI DOM GORNJE MAKOJIŠÆE;GORNJE MAKOJIŠÆE 90 G;343;87;87;81;6;14;67
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;017;PAKA;"POSLOVNI PROSTOR ""PLASTILAK"" VL. FRANJE KUZMIÆA";PAKA 20;64;22;22;22;0;10;12
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;018;SUDOVEC;DRUŠTVENI DOM SUDOVEC;TRG SVETOG FLORIJANA 1, SUDOVEC;278;159;159;158;1;21;137
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;019;DONJE MAKOJIŠÆE 1.;KUÆA VL. VLADIMIRA OŠTREKA;DONJE MAKOJIŠÆE 16;101;26;26;25;1;8;17
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;020;DONJE MAKOJIŠÆE 2.;OSNOVNA ŠKOLA PODRUTE U DONJEM MAKOJIŠÆU;DONJE MAKOJIŠÆE 115;318;80;80;77;3;48;29
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;021;MAÐAREVO;PODRUÈNA ŠKOLA MAÐAREVO;MADŽAREVO 149;773;208;208;201;7;76;125
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;022;TOPLIÈICA;KUÆA VL. VLADE CESARA;TOPLIÈICA, ZLATARSKA 48;212;53;53;50;3;22;28
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;023;KRÈ;U POSLOVNOM PROSTORU VL. STJEPANA PAŽURA;KRÈ 44;360;106;106;101;5;39;62
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;024;JELENŠÈAK;KUÆA VL. NEVENKE KUZMIÆ;JELENŠÈAK 7;161;39;39;38;1;15;23
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;025;KAMENA GORICA;DRUŠTVENI DOM KAMENA GORICA;KAMENA GORICA 40 B;182;56;56;54;2;18;36
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;026;PODRUTE;ZADRUŽNI DOM PODRUTE (U PRIZEMLJU);PODRUTE 29;226;41;41;41;0;16;25
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;027;PODEVÈEVO;DRUŠTVENI DOM PODEVÈEVO;PODEVÈEVO 90;638;104;104;104;0;35;69
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;028;ZAVRŠJE PODBELSKO;PODRUÈNA ŠKOLA ZAVRŠJE PODBELSKO;ZAVRŠJE PODBELSKO 115;715;141;141;138;3;63;75
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;029;FILIPIÆI;KUÆA VL. DIJANE PISKAÈ;FILIPIÆI 2;100;20;20;19;1;8;11
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;030;GORNJE PODRUTE;DRUŠTVENI DOM GORNJE PODRUTE;PODRUTE 154 B;123;27;27;27;0;10;17
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;001;VARAŽDIN;PROSTORIJE GRADSKE  VIJEÆNICE (DVORANA PRIZ.LIJEVO);TRG KRALJA TOMISLAVA 1;494;234;234;218;16;100;118
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;002;VARAŽDIN;PROSTORIJE DOBROVOLJNOG VATROGASNOG DRUŠTVA VARAŽDIN (DVORIŠTE);TRENKOVA 44;738;297;297;268;29;160;108
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;003;VARAŽDIN;BIVŠE PROSTORIJE GRADSKOG DRUŠTVA CRVENOG KRIŽA VARAŽDIN;ULICA STANKA VRAZA 8;506;205;205;184;21;114;70
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;004;VARAŽDIN;PROSTORIJE II. MJESNOG ODBORA;KOLODVORSKA 3;841;372;372;346;26;193;153
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;005;VARAŽDIN;PROSTORIJE HŽ-ODRŽAVANJE PRUGA;ULAZ IZ ULICE MATICE HRVATSKE;761;345;345;318;27;183;135
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;006;VARAŽDIN;PROSTORIJE HŽ-PUTNIÈKI PRIJEVOZ (ULAZ IZA DOMA ŽELJEZNIÈARA);KOLODVORSKA 17;808;325;325;296;29;158;138
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;007;VARAŽDIN;PROSTORIJE I. OSNOVNE ŠKOLE;KRALJA P. KREŠIMIRA IV 10;625;308;308;277;31;165;112
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;008;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE III. MJESNOG ODBORA;ZAGREBAÈKA 17;909;400;400;362;38;212;150
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;009;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE III. MJESNOG ODBORA;ZAGREBAÈKA 17;972;392;392;346;46;199;147
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;010;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE DJEÈJEG VRTIÆA (LEGO DVORANA);ALEJA KRALJA ZVONIMIRA 3;666;284;284;267;17;167;100
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;011;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE DJEÈJEG VRTIÆA (VELIKA DVORANA);ALEJA KRALJA ZVONIMIRA 3;607;259;259;229;30;131;98
