Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;IVICA DADOVIÆ;STJEPAN IVOŠ
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;MARTINSKA VES;001;TIŠINA KAPTOLSKA;DRUŠTVENI DOM;TIŠINA KAPTOLSKA;207;96;96;90;6;29;61
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;MARTINSKA VES;002;BOK PALANJEÈKI;DRUŠTVENI DOM;BOK PALANJEÈKI;116;53;53;52;1;33;19
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;MARTINSKA VES;003;STRELEÈKO;DRUŠTVENI DOM;STRELEÈKO;169;73;73;67;6;29;38
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;MARTINSKA VES;004;STRELEÈKO NASELJE;PRIVATNA KUÆA IVICE JEZDEC;MARJANA CELJAKA P/N 47;228;90;90;86;4;40;46
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;MARTINSKA VES;005;ŽIRÈICA;VATROGASNI DOM;ŽIRÈICA;104;57;57;53;4;28;25
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;MARTINSKA VES;006;TIŠINA ERDEDSKA;DRUŠTVENI DOM;TIŠINA ERDEDSKA;223;113;113;108;5;12;96
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;MARTINSKA VES;007;SETUŠ;DRUŠTVENI DOM;SETUŠ;109;67;67;67;0;9;58
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;MARTINSKA VES;008;MAHOVO;PODRUÈNA ŠKOLA;MAHOVO;202;127;127;119;8;20;99
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;MARTINSKA VES;009;DESNA MARTINSKA VES;"DOM KULTURE ""STJEPAN RADIÆ""";DESNA MARTINSKA VES;263;134;134;127;7;76;51
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;MARTINSKA VES;010;DESNO TREBARJEVO;"SPOMEN DOM ""BRAÆA RADIÆ""";DESNO TREBARJEVO;247;123;123;118;5;44;74
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;MARTINSKA VES;011;DESNO ŽELJEZNO;DRUŠTVENI DOM;DESNO ŽELJEZNO;137;61;61;59;2;36;23
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;MARTINSKA VES;012;JEZERO POSAVSKO;DRUŠTVENI DOM;JEZERO POSAVSKO;54;27;27;27;0;17;10
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;MARTINSKA VES;013;DESNI DUBROVÈAK;DRUŠTVENI DOM;DESNI DUBROVÈAK;77;39;39;39;0;28;11
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;MARTINSKA VES;014;LIJEVA MARTINSKA VES;DRUŠTVENI DOM;LIJEVA MARTINSKA VES;248;145;145;143;2;16;127
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;MARTINSKA VES;015;LIJEVO TREBARJEVO;"PROSTORIJE MOTO UDRUGE ""WILD RIVER"", LIJEVO TREBARJEVO";LIJEVO TREBARJEVO 5;46;24;24;24;0;9;15
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;MARTINSKA VES;016;LIJEVA LUKA;DRUŠTVENI DOM;LIJEVA LUKA;164;96;96;93;3;57;36
