Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA STRANKA PRAVA - HSP, HRVATSKA KONZERVATIVNA STRANKA - HKS, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;MOST;NARODNA STRANKA - REFORMISTI - REFORMISTI, HRVATSKA SELJAÈKA STRANKA BRAÆE RADIÆ - HSS BRAÆE RADIÆ;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, CENTAR, HRVATSKI LABURISTI - STRANKA RADA - LABURISTI, HRVATSKA DEMOKRATSKA REGIONALNA STRANKA - HDRS, ZELENA ALTERNATIVA - ODRŽIVI RAZVOJ HRVATSKE - Zelena alternativa - ORaH;STRANKA UMIROVLJENIKA - SU;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  IVO ŽINIÆ
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;001;GLINA;HRVATSKI DOM;UL. STJEPANA I ANTUNA RADIÆA 10;607;337;337;311;26;30;79;28;10;20;50;13;81
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;002;GLINA;KNJIŽNICA I ÈITAONICA GLINA;UL.STJEPANA I ANTUNA RADIÆA 10;302;146;146;140;6;22;47;13;1;4;17;3;33
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;003;GLINA;DOM JUKINAC;JUKINAÈKA 41;730;424;424;398;26;59;160;25;7;10;43;9;85
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;004;GLINA;"DJEÈJI VRTIÆ ""BUBAMARA""";FRANKOPANSKA 33;559;309;309;277;32;27;88;15;9;28;50;15;45
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;005;GLINA;OSNOVNA ŠKOLA GLINA;ANTE STARÈEVIÆA 1;389;188;188;174;14;5;38;14;7;44;34;4;28
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;006;GLINA;ŠATOR 1.IZA ZGRADE DRŽAVNE GEODETSKE UPRAVE;VUKOVARSKA 39;110;62;62;55;7;4;11;5;3;15;12;1;4
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;007;GLINA;ŠATOR 2.IZA ZGRADE DRŽAVNE GEODETSKE UPRAVE;VUKOVARSKA 39;447;233;233;217;16;28;70;16;7;13;31;9;43
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;008;GLINA;PROSTORIJE UDRUGE MATICE UMIROVLJENIKA;TRG DR.FRANJE TUÐMANA 15;680;403;403;376;27;51;136;30;7;23;46;6;77
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;009;MARIN BROD;"ŠATOR ISPRED ""HRVATSKE KORABLJE"" MARINBROD";MARIN BROD 26;300;204;204;186;18;19;59;11;5;0;18;4;70
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;010;NOVO SELO GLINSKO;ŠATOR ISPRED VATROGASNOG DOMA;NOVO SELO GLINSKO;85;68;68;67;1;18;27;5;0;0;0;1;16
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;011;HAÐER;ŠATOR ISPRED DRUŠTVENOG DOMA HAÐER;HAÐER;254;187;187;184;3;16;104;19;0;0;10;1;34
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;012;GORNJI VIDUŠEVAC;PROSTORIJE OSNOVNE ŠKOLE;GORNJI VIDUŠEVAC;515;313;313;296;17;18;168;22;5;0;18;3;62
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;013;STANKOVAC;ŠATOR ISPRED DRUŠTVENOG DOMA;STANKOVAC;74;40;40;40;0;3;25;1;1;0;0;0;10
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;014;SLATINA POKUPSKA;"ŠATOR  ISPRED ""RADIO BANOVINA"" D.O.O.";SLATINA POKUPSKA 80;77;47;47;42;5;2;26;0;0;1;0;3;10
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;015;GORNJA BUÈICA;VATROGASNI DOM DVD BUÈICA;GORNJA BUÈICA 8;370;134;134;129;5;8;78;12;2;0;4;2;23
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;016;GORNJE SELIŠTE;DRUŠTVENI DOM;GORNJE SELIŠTE;241;104;104;93;11;2;10;11;4;29;24;8;5
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;017;MAJA;OSNOVNA ŠKOLA;MAJA;516;238;235;212;23;17;78;16;11;24;27;8;31
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;018;MALI GRADAC;PROSTORIJE VATROGASNOG DOMA MALI GRADAC;MALI GRADAC 76;250;112;112;91;21;9;11;7;6;29;16;6;7
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;019;DRAGOTINA;ŠATOR ISPRED STARE ZGRADE PREHRAMBENE INDUSTRIJE PETRINJA U DRAGOTINI/BLIZINA OSNOVNE ŠKOLE/;DRAGOTINA;388;161;160;101;59;1;14;3;6;44;28;3;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;001;"HRVATSKA KOSTAJNICA - ""DONJI GRAD""";PROSTORIJE MAGISTRATA;TRG N. Š. ZRINSKOG;429;200;200;190;10;15;119;6;2;13;24;10;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;002;"HRVATSKA KOSTAJNICA - ""CENTAR""";HRVATSKI DOM;ULICA VLADIMIRA NAZORA 17;510;251;251;243;8;17;163;10;3;8;36;4;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;003;"HRVATSKA KOSTAJNICA - ""GORNJI GRAD""";"PROSTORIJE SREDNJE ŠKOLE ""IVANA TRNSKOG"" HRVATSKA KOSTAJNICA";HRVATSKA KOSTAJNICA;658;245;245;237;8;20;122;12;7;35;27;5;9
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;004;ÈUKUR;PROSTORIJE MJESNOG ODBORA ÈUKUR;ÈUKUR BB;85;40;40;36;4;2;8;0;3;14;5;2;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;005;PANJANI;PROSTORIJE MJESNOG ODBORA PANJANI;PANJANI BB;113;46;46;44;2;4;24;1;2;9;4;0;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;006;ROSULJE;"PROSTORIJE ŠRU ""UNA""";ROSULJE 92;177;84;84;80;4;2;53;2;2;15;4;1;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;007;SELIŠTE KOSTAJNIÈKO;PROSTORIJE MJESNOG ODBORA SELIŠTE KOSTAJNIÈKO;SELIŠTE KOSTAJNIÈKO BB;84;57;57;56;1;6;46;0;1;0;3;0;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;HRVATSKA KOSTAJNICA;008;UTOLICA;PROSTORIJE MJESNOG ODBORA UTOLICA;UTOLICA BB;72;29;29;27;2;1;11;3;2;7;2;1;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;001;KUTINA;O.Š. STJEPAN KEFELJA - PROSTOR BR. 1;NIKOLE TESLE 1;1235;525;525;498;27;113;216;41;5;12;89;9;13
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;002;KUTINA;TEHNIÈKA ŠKOLA KUTINA - PROSTOR BR. 1;HRVATSKIH BRANITELJA 6;478;151;151;148;3;35;62;15;0;2;32;1;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;003;KUTINA;"O.Š. ""VLADIMIR VIDRIÆ"" - PROSTOR BR. 1";ŠKOLSKA 2;327;182;182;173;9;34;62;9;3;5;52;7;1
