Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;TOMISLAV BIŠĆAN;DARIO HEGEL;DRAŽEN PAVLOVIĆ
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;001;MUSTAFINA KLADA;DRUŠTVENI DOM MUSTAFINA KLADA;MUSTAFINA KLADA 37A;119;62;62;60;2;24;4;32
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;002;KOMPATOR;DRUŠTVENI DOM KOMPATOR;KOMPATOR 28A;63;39;39;38;1;6;13;19
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;003;RUŠKOVICA;DRUŠTVENI DOM RUŠKOVICA;RUŠKOVICA 27;38;27;27;27;0;7;4;16
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;004;MALA LUDINA;DRUŠTVENI DOM MALA LUDINA;MALA LUDINA, MOSLAVAČKA 46;118;65;65;62;3;16;14;32
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;005;GRABRIČINA;OSNOVNA ŠKOLA GRABRIČINA;ČAZMANSKA 15;22;8;8;8;0;6;0;2
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;006;VIDRENJAK;"SELJAČKI DOM ""MIJO STUPARIĆ""";MIJE STUPARIĆA 30;410;230;230;228;2;69;13;146
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;007;OKOLI;DRUŠTVENI DOM OKOLI;OKOLI, CRKVENA ULICA 86;230;109;109;104;5;43;5;56
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;008;VELIKA LUDINA;DRUŠTVENI DOM VELIKA LUDINA;OBRTNIČKA 3;617;377;377;366;11;127;73;166
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;009;GRABROV POTOK;DRUŠTVENI DOM GRABROV POTOK;GRABROV POTOK, ZAGREBAČKA ULICA 10;99;66;66;63;3;42;3;18
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;010;GORNJA VLAHINIČKA;DRUŠTVENI DOM GORNJA VLAHINIČKA;MOSLAVAČKA 32;218;111;111;109;2;22;28;59
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;011;LUDINICA;PRIVATNA KUĆA JOSIPA LISECA;JELENGRADSKA 21;15;8;8;7;1;2;1;4
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;012;KATOLIČKO SELIŠĆE;DRUŠTVENI DOM KATOLIČKO SELIŠĆE;MOSLAVAČKIH VINOGRADA 64;136;72;72;70;2;27;18;25
