Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DUŠAN BJELAJAC;MIRJANA OLUIĆ;MILAN VUKELIĆ
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;001;GLINA;HRVATSKI DOM;UL. STJEPANA I ANTUNA RADIĆA 10;103;54;54;50;4;31;11;8
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;002;GLINA;KNJIŽNICA I ČITAONICA GLINA;UL.STJEPANA I ANTUNA RADIĆA 10;41;14;14;14;0;9;3;2
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;003;GLINA;DOM JUKINAC;JUKINAČKA 41;58;23;23;22;1;12;5;5
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;004;GLINA;"DJEČJI VRTIĆ ""BUBAMARA""";FRANKOPANSKA 33;107;70;70;67;3;40;20;7
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;005;GLINA;OSNOVNA ŠKOLA GLINA;ANTE STARČEVIĆA 1;168;90;90;85;5;51;18;16
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;006;GLINA;ŠATOR 1.IZA ZGRADE DRŽAVNE GEODETSKE UPRAVE;VUKOVARSKA 39;59;41;41;35;6;11;14;10
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;007;GLINA;ŠATOR 2.IZA ZGRADE DRŽAVNE GEODETSKE UPRAVE;VUKOVARSKA 39;79;40;40;37;3;18;11;8
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;008;GLINA;PROSTORIJE UDRUGE MATICE UMIROVLJENIKA;TRG DR.FRANJE TUĐMANA 15;92;36;36;33;3;22;7;4
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;009;MARIN BROD;"ŠATOR ISPRED ""HRVATSKE KORABLJE"" MARINBROD";MARIN BROD 26;3;2;2;2;0;1;0;1
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;010;NOVO SELO GLINSKO;ŠATOR ISPRED VATROGASNOG DOMA;NOVO SELO GLINSKO;1;0;0;0;0;0;0;0
