Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ZLATKO BABIĆ;ANDREJA ČUTURIĆ;ŽELJKO LENART;JASMINKA MOLNAR
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;001;KUTINA;O.Š. STJEPAN KEFELJA - PROSTOR BR. 1;NIKOLE TESLE 1;1235;525;524;508;16;281;46;56;125
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;002;KUTINA;TEHNIČKA ŠKOLA KUTINA - PROSTOR BR. 1;HRVATSKIH BRANITELJA 6;478;151;151;150;1;90;17;12;31
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;003;KUTINA;"O.Š. ""VLADIMIR VIDRIĆ"" - PROSTOR BR. 1";ŠKOLSKA 2;327;182;182;177;5;88;17;17;55
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;004;KUTINA;"O.Š. ""VLADIMIR VIDRIĆ"" - PROSTOR BR. 2";ŠKOLSKA 2;837;392;381;373;8;178;41;27;127
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;005;KUTINA;VATROGASNI DOM KUTINA;LJUDEVITA POSAVSKOG 27;509;202;202;196;6;89;18;14;75
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;006;KUTINA;"DJEČJI VRTIĆ""MASLAČAK""";ANDRIJE HEBRANGA 1;711;317;317;305;12;163;32;23;87
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;007;KUTINA;ŠUMARIJA;UL. ANTUNA GUSTAVA MATOŠA;866;413;413;397;16;181;38;34;144
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;008;KUTINA;"O.Š. ""STJEPAN KEFELJA"" - PROSTOR BR. 2";NIKOLE TESLE 1;667;283;283;275;8;138;26;25;86
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;009;KUTINA;"O.Š. ""STJEPAN KEFELJA"" - PROSTOR BR. 3";NIKOLE TESLE 1;707;293;293;284;9;139;31;17;97
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;010;KUTINA;"O.Š. ""MATE LOVRAK"" - PROSTOR BR. 1";CRKVENA 59;679;262;262;253;9;166;17;13;57
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;011;KUTINA;"O.Š. ""MATE LOVRAK"" - PROSTOR BR. 2";CRKVENA 59;432;199;199;190;9;111;14;10;55
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;012;KUTINA;TEHNIČKA ŠKOLA KUTINA PROSTOR BR. 2;HRVATSKIH BRANITELJA 6;771;347;347;338;9;151;20;26;141
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;013;KUTINA;"O.Š. ""ZVONIMIR FRANK"" - PROSTOR BR. 1";SILVIJA STRAHIMIRA KRANJČEVIĆA 2;931;344;344;332;12;203;30;15;84
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;014;KUTINA;"O.Š. ""ZVONIMIR FRANK"" - PROSTOR BR. 2";SILVIJA STRAHIMIRA KRANJČEVIĆA 2;736;330;330;319;11;175;49;14;81
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;015;KUTINA;DOM RADNIČKO NASELJE;HUSAINSKA 41;316;123;123;119;4;65;20;14;20
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;016;KUTINA;DOM;ULICA STJEPANA RADIĆA;1003;452;452;442;10;278;34;55;75
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;017;DOM REPUŠNICA;DOM REPUŠNICA;REPUŠNICA, LJUDEVITA GAJA 101;842;415;415;400;15;276;34;18;72
