Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KANDIDACIJSKA LISTA GRUPE BIRAČA -  BRANKA BAKŠIĆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, DEMOKRATSKI HSS - DHSS;KANDIDACIJSKA LISTA GRUPE BIRAČA -  IVAN JANKOVIĆ;KANDIDACIJSKA LISTA GRUPE BIRAČA -  RADOMIR LONČAREVIĆ;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;001;GLINA;HRVATSKI DOM;UL. STJEPANA I ANTUNA RADIĆA 10;607;337;336;330;6;63;54;106;98;9
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;002;GLINA;KNJIŽNICA I ČITAONICA GLINA;UL.STJEPANA I ANTUNA RADIĆA 10;302;146;145;143;2;15;38;70;20;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;003;GLINA;DOM JUKINAC;JUKINAČKA 41;730;424;424;415;9;42;133;175;60;5
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;004;GLINA;"DJEČJI VRTIĆ ""BUBAMARA""";FRANKOPANSKA 33;559;309;309;297;12;64;48;112;62;11
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;005;GLINA;OSNOVNA ŠKOLA GLINA;ANTE STARČEVIĆA 1;389;197;197;193;4;86;29;43;27;8
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;006;GLINA;ŠATOR 1.IZA ZGRADE DRŽAVNE GEODETSKE UPRAVE;VUKOVARSKA 39;110;62;62;60;2;30;10;7;5;8
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;007;GLINA;ŠATOR 2.IZA ZGRADE DRŽAVNE GEODETSKE UPRAVE;VUKOVARSKA 39;447;233;233;221;12;46;63;67;40;5
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;008;GLINA;PROSTORIJE UDRUGE MATICE UMIROVLJENIKA;TRG DR.FRANJE TUĐMANA 15;680;403;403;387;16;50;85;159;84;9
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;009;MARIN BROD;"ŠATOR ISPRED ""HRVATSKE KORABLJE"" MARINBROD";MARIN BROD 26;300;204;204;199;5;9;54;87;49;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;010;NOVO SELO GLINSKO;ŠATOR ISPRED VATROGASNOG DOMA;NOVO SELO GLINSKO;85;68;68;65;3;2;18;44;1;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;011;HAĐER;ŠATOR ISPRED DRUŠTVENOG DOMA HAĐER;HAĐER;254;187;187;186;1;3;82;43;58;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;012;GORNJI VIDUŠEVAC;PROSTORIJE OSNOVNE ŠKOLE;GORNJI VIDUŠEVAC;515;313;313;305;8;9;163;100;32;1
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;013;STANKOVAC;ŠATOR ISPRED DRUŠTVENOG DOMA;STANKOVAC;74;40;40;40;0;2;34;1;3;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;014;SLATINA POKUPSKA;"ŠATOR  ISPRED ""RADIO BANOVINA"" D.O.O.";SLATINA POKUPSKA 80;77;47;47;42;5;3;34;5;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;015;GORNJA BUČICA;VATROGASNI DOM DVD BUČICA;GORNJA BUČICA 8;370;135;135;131;4;7;95;6;23;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;016;GORNJE SELIŠTE;DRUŠTVENI DOM;GORNJE SELIŠTE;241;132;132;129;3;90;9;9;7;14
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;017;MAJA;OSNOVNA ŠKOLA;MAJA;516;238;237;228;9;80;60;50;35;3
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;018;MALI GRADAC;PROSTORIJE VATROGASNOG DOMA MALI GRADAC;MALI GRADAC 76;250;111;111;106;5;73;7;3;8;15
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;019;DRAGOTINA;ŠATOR ISPRED STARE ZGRADE PREHRAMBENE INDUSTRIJE PETRINJA U DRAGOTINI/BLIZINA OSNOVNE ŠKOLE/;DRAGOTINA;388;203;203;190;13;140;8;4;9;29
