Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KANDIDACIJSKA LISTA GRUPE BIRAČA -  DENIS DIMITRIĆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA PRAVA - HSP;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;JASENOVAC;001;JASENOVAC;PRIZEMNE PROSTORIJE OPĆINE JASENOVAC (PROSTORIJE UDRUGE UMIROVLJENIKA);TRG KRALJA PETRA SVAČIĆA 19;510;370;370;361;9;129;213;19
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;JASENOVAC;002;KOŠUTARICA;PUČKI DOM;KOŠUTARICA;214;150;150;147;3;50;96;1
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;JASENOVAC;003;MLAKA;PODRUČNA ŠKOLA MLAKA;MLAKA;37;14;14;14;0;1;10;3
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;JASENOVAC;004;UŠTICA;PODRUČNA ŠKOLA UŠTICA;UŠTICA;128;78;78;76;2;26;49;1
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;JASENOVAC;005;VIŠNJICA;PUČKI DOM VIŠNJICA;VIŠNJICA;124;87;87;87;0;9;78;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;JASENOVAC;006;TANAC;PUČKI DOM TANAC;TANAC;87;74;74;74;0;18;55;1
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;JASENOVAC;007;DRENOV BOK;VATROGASNI DOM;DRENOV BOK;75;62;62;61;1;13;44;4
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;JASENOVAC;008;KRAPJE;VATROGASNI DOM;KRAPJE;106;69;69;66;3;19;47;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;JASENOVAC;009;PUSKA;VATROGASNI DOM;PUSKA;243;136;136;131;5;29;92;10
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;JASENOVAC;010;TREBEŽ;PUČKI DOM TREBEŽ;TREBEŽ;44;27;27;27;0;13;14;0
