Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;BRANKA BAKŠIĆ;BOJANA MATIJEVIĆ
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;001;GLINA;HRVATSKI DOM;UL. STJEPANA I ANTUNA RADIĆA 10;103;54;54;53;1;46;7
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;002;GLINA;KNJIŽNICA I ČITAONICA GLINA;UL.STJEPANA I ANTUNA RADIĆA 10;41;14;14;14;0;13;1
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;003;GLINA;DOM JUKINAC;JUKINAČKA 41;58;23;23;23;0;23;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;004;GLINA;"DJEČJI VRTIĆ ""BUBAMARA""";FRANKOPANSKA 33;107;70;70;70;0;63;7
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;005;GLINA;OSNOVNA ŠKOLA GLINA;ANTE STARČEVIĆA 1;168;100;100;97;3;92;5
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;006;GLINA;ŠATOR 1.IZA ZGRADE DRŽAVNE GEODETSKE UPRAVE;VUKOVARSKA 39;59;41;41;40;1;30;10
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;007;GLINA;ŠATOR 2.IZA ZGRADE DRŽAVNE GEODETSKE UPRAVE;VUKOVARSKA 39;79;40;40;38;2;34;4
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;008;GLINA;PROSTORIJE UDRUGE MATICE UMIROVLJENIKA;TRG DR.FRANJE TUĐMANA 15;92;36;36;36;0;30;6
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;009;MARIN BROD;"ŠATOR ISPRED ""HRVATSKE KORABLJE"" MARINBROD";MARIN BROD 26;3;2;2;2;0;2;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;010;NOVO SELO GLINSKO;ŠATOR ISPRED VATROGASNOG DOMA;NOVO SELO GLINSKO;1;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;011;HAĐER;ŠATOR ISPRED DRUŠTVENOG DOMA HAĐER;HAĐER;1;1;1;1;0;1;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;012;GORNJI VIDUŠEVAC;PROSTORIJE OSNOVNE ŠKOLE;GORNJI VIDUŠEVAC;4;1;1;1;0;1;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;013;STANKOVAC;ŠATOR ISPRED DRUŠTVENOG DOMA;STANKOVAC;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;014;SLATINA POKUPSKA;"ŠATOR  ISPRED ""RADIO BANOVINA"" D.O.O.";SLATINA POKUPSKA 80;0;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;015;GORNJA BUČICA;VATROGASNI DOM DVD BUČICA;GORNJA BUČICA 8;2;0;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;016;GORNJE SELIŠTE;DRUŠTVENI DOM;GORNJE SELIŠTE;207;132;132;130;2;108;22
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;017;MAJA;OSNOVNA ŠKOLA;MAJA;172;77;76;76;0;72;4
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;018;MALI GRADAC;PROSTORIJE VATROGASNOG DOMA MALI GRADAC;MALI GRADAC 76;233;137;137;133;4;116;17
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;GLINA;019;DRAGOTINA;ŠATOR ISPRED STARE ZGRADE PREHRAMBENE INDUSTRIJE PETRINJA U DRAGOTINI/BLIZINA OSNOVNE ŠKOLE/;DRAGOTINA;360;201;197;190;7;155;35
