Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;FRANJO JURANOVIĆ
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;DVOR;001;DVOR;DOM KULTURE;TRG BANA J. JELAČIĆA 9;197;78;78;65;13;65
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;DVOR;002;DVOR;OSNOVNA ŠKOLA;ANTE BRUNE BUŠIĆA 5;190;63;63;54;9;54
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;DVOR;003;MATIJEVIĆI;ZGRADA KOMUNALCA DVOR D.O.O.;ULICA EUGEN KVATERNIKA 3;42;22;22;19;3;19
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;DVOR;004;DIVUŠA;PROSTORIJE VATROGASNOG DOMA;DIVUŠA;332;151;151;140;11;140
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;DVOR;005;GORNJA ORAOVICA;ZGRADA ŠKOLE;GORNJA ORAOVICA BB;4;1;1;1;0;1
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;DVOR;006;GORNJI JAVORANJ;PROSTORIJE MJESNOG ODBORA;GORNJI JAVORANJ BB;9;1;1;1;0;1
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;DVOR;007;ZRINSKI BRĐANI;DRUŠTVENI DOM;ZRINSKI BRĐANI BB;8;6;6;6;0;6
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;DVOR;008;GRMUŠANI;PROSTORIJE DRUŠTVENOG DOMA;GRMUŠANI BB;24;8;8;5;3;5
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;DVOR;009;RUJEVAC;DRUŠTVENE PROSTORIJE U ZGRADI ŠKOLE;RUJEVAC;28;9;9;9;0;9
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;DVOR;010;DONJI ŽIROVAC;PROSTORIJE DRUŠTVENOG DOMA;DONJI ŽIROVAC BB;2;0;0;0;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;DVOR;011;DONJA STUPNICA;PROSTORIJE DRUŠTVENOG DOMA;DONJA STUPNICA;6;3;3;3;0;3
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;DVOR;012;STRUGA BANSKA;PROSTORIJE DRUŠTVENOG DOMA;STRUGA BANSKA;168;98;98;93;5;93
