Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;NARODNA STRANKA - REFORMISTI - REFORMISTI;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;DVOR;001;DVOR;DOM KULTURE;TRG BANA J. JELAČIĆA 9;629;253;253;241;12;15;41;88;97
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;DVOR;002;DVOR;OSNOVNA ŠKOLA;ANTE BRUNE BUŠIĆA 5;508;183;183;162;21;16;31;52;63
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;DVOR;003;MATIJEVIĆI;ZGRADA KOMUNALCA DVOR D.O.O.;ULICA EUGEN KVATERNIKA 3;579;295;295;281;14;8;10;60;203
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;DVOR;004;DIVUŠA;PROSTORIJE VATROGASNOG DOMA;DIVUŠA;487;199;199;191;8;24;117;24;26
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;DVOR;005;GORNJA ORAOVICA;ZGRADA ŠKOLE;GORNJA ORAOVICA BB;164;55;55;52;3;0;5;9;38
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;DVOR;006;GORNJI JAVORANJ;PROSTORIJE MJESNOG ODBORA;GORNJI JAVORANJ BB;278;133;133;127;6;3;8;31;85
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;DVOR;007;ZRINSKI BRĐANI;DRUŠTVENI DOM;ZRINSKI BRĐANI BB;241;139;139;134;5;2;2;27;103
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;DVOR;008;GRMUŠANI;PROSTORIJE DRUŠTVENOG DOMA;GRMUŠANI BB;351;161;161;157;4;9;7;53;88
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;DVOR;009;RUJEVAC;DRUŠTVENE PROSTORIJE U ZGRADI ŠKOLE;RUJEVAC;195;91;91;86;5;4;3;18;61
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;DVOR;010;DONJI ŽIROVAC;PROSTORIJE DRUŠTVENOG DOMA;DONJI ŽIROVAC BB;112;25;25;25;0;0;1;0;24
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;DVOR;011;DONJA STUPNICA;PROSTORIJE DRUŠTVENOG DOMA;DONJA STUPNICA;177;79;79;73;6;4;3;8;58
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;DVOR;012;STRUGA BANSKA;PROSTORIJE DRUŠTVENOG DOMA;STRUGA BANSKA;190;106;106;101;5;34;58;3;6
