Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KANDIDACIJSKA LISTA GRUPE BIRAČA -  IVICA DADOVIĆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SELJAČKA STRANKA - HSS
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;MARTINSKA VES;001;TIŠINA KAPTOLSKA;DRUŠTVENI DOM;TIŠINA KAPTOLSKA;207;96;96;90;6;27;63
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;MARTINSKA VES;002;BOK PALANJEČKI;DRUŠTVENI DOM;BOK PALANJEČKI;116;53;53;53;0;34;19
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;MARTINSKA VES;003;STRELEČKO;DRUŠTVENI DOM;STRELEČKO;169;73;73;67;6;31;36
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;MARTINSKA VES;004;STRELEČKO NASELJE;PRIVATNA KUĆA IVICE JEZDEC;MARJANA CELJAKA P/N 47;228;90;90;83;7;44;39
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;MARTINSKA VES;005;ŽIRČICA;VATROGASNI DOM;ŽIRČICA;104;55;55;52;3;27;25
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;MARTINSKA VES;006;TIŠINA ERDEDSKA;DRUŠTVENI DOM;TIŠINA ERDEDSKA;223;113;113;106;7;13;93
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;MARTINSKA VES;007;SETUŠ;DRUŠTVENI DOM;SETUŠ;109;67;67;66;1;11;55
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;MARTINSKA VES;008;MAHOVO;PODRUČNA ŠKOLA;MAHOVO;202;127;127;119;8;20;99
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;MARTINSKA VES;009;DESNA MARTINSKA VES;"DOM KULTURE ""STJEPAN RADIĆ""";DESNA MARTINSKA VES;263;134;134;127;7;76;51
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;MARTINSKA VES;010;DESNO TREBARJEVO;"SPOMEN DOM ""BRAĆA RADIĆ""";DESNO TREBARJEVO;247;123;123;117;6;44;73
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;MARTINSKA VES;011;DESNO ŽELJEZNO;DRUŠTVENI DOM;DESNO ŽELJEZNO;137;61;61;59;2;36;23
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;MARTINSKA VES;012;JEZERO POSAVSKO;DRUŠTVENI DOM;JEZERO POSAVSKO;54;27;27;26;1;17;9
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;MARTINSKA VES;013;DESNI DUBROVČAK;DRUŠTVENI DOM;DESNI DUBROVČAK;77;39;39;38;1;27;11
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;MARTINSKA VES;014;LIJEVA MARTINSKA VES;DRUŠTVENI DOM;LIJEVA MARTINSKA VES;248;144;144;143;1;17;126
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;MARTINSKA VES;015;LIJEVO TREBARJEVO;"PROSTORIJE MOTO UDRUGE ""WILD RIVER"", LIJEVO TREBARJEVO";LIJEVO TREBARJEVO 5;46;24;24;24;0;9;15
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;MARTINSKA VES;016;LIJEVA LUKA;DRUŠTVENI DOM;LIJEVA LUKA;164;96;96;92;4;55;37
