Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SELJAÈKA STRANKA BRAÆE RADIÆ - HSS BRAÆE RADIÆ, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;NARODNA STRANKA - REFORMISTI - REFORMISTI;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;001;NOVI MAROF 1.;"KULTURNI CENTAR ""IVAN RABUZIN"" (MALA DVORANA)";ULICA ANTUNA MIHANOVIÆA 3;665;352;352;341;11;34;156;30;121
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;002;NOVI MAROF 2.;OSNOVNA ŠKOLA NOVI MAROF;ZAGORSKA ULICA 23;619;285;285;273;12;9;172;21;71
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;003;NOVI MAROF 3.;"U POSLOVNOM PROSTORU ""MARŠIÆ"", NOVI MAROF";VARAŽDINSKA ULICA 88;359;177;177;173;4;17;89;21;46
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;004;PURGARI;POSLOVNO-STAMBENI PROSTOR, VL. ŠTEFANIJE ZIDAR;REMETINEC 8A;248;139;139;137;2;4;67;47;19
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;005;REMETINEC 1.;DRUŠTVENI DOM REMETINEC;REMETINEC 294;628;301;301;294;7;44;172;52;26
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;006;REMETINEC 2.;DRUŠTVENI DOM REMETINEC;REMETINEC 294;379;188;188;181;7;26;101;29;25
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;007;STRMEC REMETINEÈKI;DRUŠTVENI DOM STRMEC REMETINEÈKI;STRMEC REMETINEÈKI 76;423;257;257;247;10;18;191;15;23
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;008;GORNJE PRESEÈNO;BIVŠA PODRUÈNA ŠKOLA PRESEÈNO;PRESEÈNO 35;484;204;204;187;17;27;121;9;30
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;009;KLJUÈ 1.;DOM KULTURE KLJUÈ;VIKTORA ÈOLJE 2, KLJUÈ;530;262;262;254;8;20;181;11;42
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;010;KLJUÈ 2.;PODRUÈNA ŠKOLA KLJUÈ;VIKTORA ÈOLJE 168, KLJUÈ;196;83;83;81;2;7;63;6;5
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;011;OŠTRICE;VATROGASNI DOM OŠTRICE;OŠTRICE 24;392;192;192;183;9;18;120;27;18
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;012;OREHOVEC;DRUŠTVENI DOM OREHOVEC;OREHOVEC 23 C;229;109;109;106;3;19;69;3;15
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;013;DONJE PRESEÈNO;STAMBENI OBJEKT (STARA KUÆA) VL. BOŽICE STEPAN;PRESEÈNO 184;240;94;94;92;2;7;48;5;32
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;014;MOŽÐENEC;DRUŠTVENI DOM MOŽÐENEC;MOŽÐENEC 86 A;571;240;240;230;10;11;110;9;100
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;015;GRANA;UREDSKI KONTEJNER PORED MALONOGOMETNOG IGRALIŠTA U GRANI;GRANA;454;197;197;194;3;22;128;18;26
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;016;GORNJE MAKOJIŠÆE;DRUŠTVENI DOM GORNJE MAKOJIŠÆE;GORNJE MAKOJIŠÆE 90 G;343;164;164;160;4;13;116;3;28
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;017;PAKA;"POSLOVNI PROSTOR ""PLASTILAK"" VL. FRANJE KUZMIÆA";PAKA 20;64;31;31;31;0;4;18;2;7
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;018;SUDOVEC;DRUŠTVENI DOM SUDOVEC;TRG SVETOG FLORIJANA 1, SUDOVEC;278;190;190;188;2;13;143;9;23
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;019;DONJE MAKOJIŠÆE 1.;KUÆA VL. VLADIMIRA OŠTREKA;DONJE MAKOJIŠÆE 16;101;52;52;52;0;18;27;3;4
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;020;DONJE MAKOJIŠÆE 2.;OSNOVNA ŠKOLA PODRUTE U DONJEM MAKOJIŠÆU;DONJE MAKOJIŠÆE 115;317;123;123;119;4;21;55;13;30
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;021;MAÐAREVO;PODRUÈNA ŠKOLA MAÐAREVO;MADŽAREVO 149;775;385;385;378;7;52;238;23;65
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;022;TOPLIÈICA;KUÆA VL. VLADE CESARA;TOPLIÈICA, ZLATARSKA 48;212;86;86;82;4;15;35;9;23
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;023;KRÈ;U POSLOVNOM PROSTORU VL. STJEPANA PAŽURA;KRÈ 44;360;167;167;162;5;15;104;8;35
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;024;JELENŠÈAK;KUÆA VL. NEVENKE KUZMIÆ;JELENŠÈAK 7;161;67;67;67;0;11;39;2;15
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;025;KAMENA GORICA;DRUŠTVENI DOM KAMENA GORICA;KAMENA GORICA 40 B;183;86;86;85;1;13;57;5;10
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;026;PODRUTE;ZADRUŽNI DOM PODRUTE (U PRIZEMLJU);PODRUTE 29;226;79;79;76;3;9;40;8;19
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;027;PODEVÈEVO;DRUŠTVENI DOM PODEVÈEVO;PODEVÈEVO 90;638;193;193;185;8;13;146;6;20
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;028;ZAVRŠJE PODBELSKO;PODRUÈNA ŠKOLA ZAVRŠJE PODBELSKO;ZAVRŠJE PODBELSKO 115;716;208;208;204;4;7;124;19;54
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;029;FILIPIÆI;KUÆA VL. DIJANE PISKAÈ;FILIPIÆI 2;101;20;20;20;0;1;15;2;2
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;030;GORNJE PODRUTE;DRUŠTVENI DOM GORNJE PODRUTE;PODRUTE 154 B;123;47;47;47;0;6;36;0;5
