Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  DUBRAVKO BILIÆ;DOMOVINSKI POKRET - DP;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  IGOR FRANOLIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA UMIROVLJENIKA - HSU;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SELJAÈKA STRANKA BRAÆE RADIÆ - HSS BRAÆE RADIÆ, BLOK UMIROVLJENICI ZAJEDNO - BUZ;NARODNA STRANKA - REFORMISTI - REFORMISTI;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;001;LUDBREG - 1;MEÐUGENERACIJSKI CENTAR-PROSTORIJA UDRUGE UMIROVLJENIKA;TRG SVETOGA TROJSTVA 16;1612;710;710;693;17;330;58;79;55;14;63;94
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;002;LUDBREG - 2;OSNOVNA ŠKOLA LUDBREG;ULICA ANDRIJE KAÈIÆA MIOŠIÆA 17;1469;724;724;706;18;377;37;52;29;45;69;97
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;003;VINOGRADI LUDBREŠKI;DRUŠTVENI DOM, VINOGRADI LUDBREŠKI;GORNJOGRADSKA ULICA 2;586;228;228;222;6;93;11;19;21;23;21;34
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;004;SIGETEC LUDBREŠKI;DRUŠTVENI DOM;SIGETEC LUDBREŠKI, ULICA BRAÆE RADIÆ 13;536;272;272;269;3;117;20;17;54;27;21;13
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;005;SLOKOVEC;VATROGASNI DOM;SLOKOVEC 45;210;127;127;122;5;28;6;9;20;50;6;3
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;006;APATIJA;DRUŠTVENI DOM;APATIJA 21A;201;105;105;101;4;28;5;8;37;17;4;2
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;007;SELNIK;DRUŠTVENI DOM;SELNIK, GLAVNA ULICA 1;705;345;345;340;5;90;21;10;27;3;175;14
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;008;KUÆAN LUDBREŠKI;DRUŠTVENI DOM;KUÆAN LUDBREŠKI 2D;149;78;78;76;2;34;5;2;8;10;2;15
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;009;HRASTOVSKO;DRUŠTVENI DOM, HRASTOVSKO;KALNIÈKA ULICA 3;613;324;324;308;16;201;21;12;21;6;30;17
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;010;GLOBOÈEC LUDBREŠKI;DRUŠTVENI DOM;GLOBOÈEC LUDBREŠKI, LUDBREŠKA ULICA 80;390;170;170;166;4;70;6;23;16;13;29;9
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;011;ÈUKOVEC;DRUŠTVENI DOM;ÈUKOVEC, GRACI 2;253;83;83;79;4;34;6;12;5;2;15;5
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;012;BOLFAN;DRUŠTVENI DOM;BOLFAN, VARAŽDINSKA ULICA 42;361;144;144;141;3;26;7;60;1;14;23;10
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;013;SEGOVINA;DRUŠTVENI DOM;SEGOVINA 17;36;26;26;26;0;14;0;1;0;3;5;3
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;014;POLJANEC;DRUŠTVENI DOM;VARAŽDINSKA ULICA 185;564;202;202;192;10;94;10;7;15;6;36;24
