Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ŽELJKO BEDEKOVIĆ;MLADEN BELAVIĆ;DRAGICA RATKOVIĆ
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;001;VARAŽDINSKE TOPLICE;GRADSKA VIJEĆNICA;ULICA DR. FRANJE TUĐMANA 4 (RANIJA ADRESA: UL. MARŠALA TITA 4);357;186;186;178;8;53;7;118
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;002;VARAŽDINSKE TOPLICE;OSNOVNA ŠKOLA;ULICA GRADA VUKOVARA 1 (RANIJA ADRESA: UL. MARTINA PUŠTEKA);489;291;291;278;13;101;16;161
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;003;VARAŽDINSKE TOPLICE;SENZOMOTORNA DVORANA UZ DJEČJI VRTIĆ;ULICA BRAĆE RADIĆ 12;662;379;379;362;17;143;14;205
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;004;VRTLINOVEC;VATROGASNI DOM;VRTLINOVEC;339;142;142;138;4;85;15;38
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;005;ŠKARNIK;KUĆA IVICE RATKOVIĆA;ŠKARNIK 14;72;51;51;47;4;27;3;17
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;006;PIŠĆANOVEC;KUĆA RADOVANA KANEŠIĆA;PIŠĆANOVEC 16;52;32;32;30;2;16;8;6
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;007;MARTINKOVEC;KUĆA NIKOLE FOŠNJARA;MARTINKOVEC 1;86;44;44;43;1;22;2;19
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;008;JARKI HORVATIĆEVI;KUĆA ANTONIJE VUDRAG;JARKI HORVATIĆEVI 19;47;13;13;13;0;2;0;11
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;009;JALŠEVEC SVIBOVEČKI;VATROGASNI DOM;JALŠEVEC SVIBOVEČKI;247;156;156;154;2;108;6;40
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;010;SVIBOVEC;VATROGASNI DOM;SVIBOVEC;229;130;130;125;5;45;30;50
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;011;LESKOVEC TOPLIČKI;VATROGASNI DOM;LESKOVEC TOPLIČKI;397;247;247;242;5;99;13;130
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;012;DRENOVEC;VATROGASNI DOM;DRENOVEC;289;170;170;169;1;62;13;94
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;013;GORNJA POLJANA;VATROGASNI DOM;GORNJA POLJANA;209;126;126;125;1;83;2;40
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;014;DONJA POLJANA;VATROGASNI DOM;DONJA POLJANA;339;217;217;215;2;166;1;48
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;015;GREŠĆEVINA;VATROGASNI DOM;GREŠĆEVINA;147;93;93;92;1;41;6;45
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;016;TUHOVEC;DRUŠTVENI DOM;TUHOVEC;618;362;362;354;8;158;16;180
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;017;PETKOVEC TOPLIČKI;PODRUČNA ŠKOLA;PETKOVEC TOPLIČKI;208;132;132;126;6;35;43;48
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;018;ČRNILE;DRUŠTVENI DOM;ČRNILE;129;96;96;92;4;27;27;38
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;019;HRASTOVEC TOPLIČKI;KUĆA ROBERTA MRVČIĆA;HRASTOVEC TOPLIČKI 2A;189;137;137;134;3;57;8;69
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;020;ČURILOVEC;KUĆA STJEPANA DVEKARA;ČURILOVEC 22;108;63;63;62;1;10;6;46
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;021;LOVRENTOVEC;DRUŠTVENI DOM;LOVRENTOVEC;91;64;64;64;0;40;3;21
