Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;SNJEŽANA CERJAN;MARIJAN FATIGA;MARIO KLAPŠA;RENATO PODBOJEC;DAMIR ŠPREM
05;VARAŽDINSKA ŽUPANIJA;opæina;MARUŠEVEC;001;DONJE LADANJE;DRUŠTVENI DOM;DONJE LADANJE;906;441;441;427;14;65;24;132;87;119
05;VARAŽDINSKA ŽUPANIJA;opæina;MARUŠEVEC;002;ÈALINEC;DOM KULTURE;ÈALINEC;314;137;137;136;1;14;16;40;53;13
05;VARAŽDINSKA ŽUPANIJA;opæina;MARUŠEVEC;003;CERJE NEBOJSE;DRUŠTVENI DOM;CERJE NEBOJSE;357;193;193;188;5;18;11;142;6;11
05;VARAŽDINSKA ŽUPANIJA;opæina;MARUŠEVEC;004;MARUŠEVEC - 1;DRUŠTVENI DOM;MARUŠEVEC;373;188;188;185;3;15;44;20;34;72
05;VARAŽDINSKA ŽUPANIJA;opæina;MARUŠEVEC;005;ÈALINEC;"OSNOVNA ŠKOLA ""GUSTAV KRKLEC""";ÈALINEC;485;247;247;244;3;16;20;61;115;32
05;VARAŽDINSKA ŽUPANIJA;opæina;MARUŠEVEC;006;MARUŠEVEC - 2;ZDRAVSTVENA AMBULANTA;MARUŠEVEC;275;130;129;126;3;23;21;32;23;27
05;VARAŽDINSKA ŽUPANIJA;opæina;MARUŠEVEC;007;GREDA;DRUŠTVENI DOM;GREDA;428;193;193;185;8;16;33;66;47;23
05;VARAŽDINSKA ŽUPANIJA;opæina;MARUŠEVEC;008;JURKETINEC;DRUŠTVENI DOM;JURKETINEC;351;201;201;198;3;31;16;62;41;48
05;VARAŽDINSKA ŽUPANIJA;opæina;MARUŠEVEC;009;BIKOVEC;DRUŠTVENI DOM;BIKOVEC;186;94;94;92;2;12;16;21;30;13
05;VARAŽDINSKA ŽUPANIJA;opæina;MARUŠEVEC;010;NOVAKI;DRUŠTVENI DOM;NOVAKI;440;210;209;206;3;25;26;81;14;60
05;VARAŽDINSKA ŽUPANIJA;opæina;MARUŠEVEC;011;DRUŠKOVEC - 1;DRUŠTVENI DOM;DRUŠKOVEC;297;113;113;112;1;21;9;37;13;32
05;VARAŽDINSKA ŽUPANIJA;opæina;MARUŠEVEC;012;DRUŠKOVEC - 2;PODRUÈNA ŠKOLA;DRUŠKOVEC;185;68;68;65;3;9;2;41;1;12
05;VARAŽDINSKA ŽUPANIJA;opæina;MARUŠEVEC;013;BRODAROVEC;KUÆA ŽELJKA IVANÈEVIÆA;BRODAROVEC 14;167;60;60;58;2;18;4;14;7;15
05;VARAŽDINSKA ŽUPANIJA;opæina;MARUŠEVEC;014;KORENJAK;KUÆA SUZANE PIŽETA;KORENJAK 34;66;44;44;44;0;17;5;7;6;9
05;VARAŽDINSKA ŽUPANIJA;opæina;MARUŠEVEC;015;SELNIK;KUÆA ANDRIJE KORPARA;SELNIK 127;318;131;131;130;1;31;21;43;23;12
