Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ROBERT DUKARIĆ;VJERAN JEŽEK;HRVOJE KOVAČ;ROBERT MAČEK;MARIJAN ŠKVARIĆ;ŽELJKO ŠOŠTARIĆ
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;001;LEPOGLAVA - 1;"UGOSTITELJSKI OBJEKT CAFFE BAR ""CIGLA""";ULICA HRVATSKIH PAVLINA 101;630;335;335;331;4;25;58;72;1;102;73
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;002;LEPOGLAVA - 2;"BIVŠA TRGOVINA ""RENOVA"" VL. TOME KOSTANJEVCA";ULICA HRVATSKIH PAVLINA 52;400;220;220;217;3;5;56;61;4;46;45
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;003;LEPOGLAVA - 3;"OSNOVNA ŠKOLA ""ANTE STARČEVIĆ""";LEPOGLAVA;802;440;440;433;7;26;38;161;7;129;72
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;004;LEPOGLAVA - 4;VATROGASNI DOM;LEPOGLAVA;321;163;163;160;3;13;13;46;2;33;53
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;005;OČURA;DRUŠTVENI DOM;OČURA;397;211;211;210;1;12;10;39;1;84;64
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;006;PURGA;"UGOSTITELJSKI OBJEKT ""SPORT""";IVANA MAŽURANIĆA 2A;481;233;233;229;4;12;16;65;4;43;89
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;007;KAMENIČKI VRHOVEC;"BIVŠI UGOST. OBJEKT ""ZELENA DOLINA""";KAMENIČKI VRHOVEC;162;107;107;107;0;5;7;43;1;31;20
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;008;KAMENICA;"OSNOVNA ŠKOLA ""IVAN RANGER""";KAMENICA;120;76;76;72;4;3;1;10;15;41;2
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;009;CRKOVEC;KUĆA TOME ERDEC;CRKOVEC 16;135;64;64;64;0;4;14;17;3;22;4
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;010;VILETINEC;"BIVŠI UGOST. OBJEKT ""VIKTORIJA""";VILETINEC;135;38;38;38;0;9;2;11;1;11;4
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;011;VULIŠINEC;KUĆA MILICE KELEMENIĆ;VULIŠINEC 2;193;91;91;86;5;8;8;29;7;19;15
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;012;KAMENIČKO PODGORJE - 1;PROSTORIJE NOVOG DRUŠTVENOG DOMA;KAMENIČKO PODGORJE BB;201;109;109;107;2;37;12;9;3;46;0
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;013;KAMENIČKO PODGORJE - 2;KUĆA KRISTIJANA GALIĆ;ŽAROVNICA 215;132;45;45;43;2;1;2;6;8;22;4
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;014;DONJA VIŠNJICA;"OSNOVNA ŠKOLA ""IZIDOR POLJAK""";VIŠNJICA;426;220;220;214;6;131;1;16;9;47;10
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;015;BEDNJICA;DRUŠTVENI DOM BEDNJICA;BEDNJICA;221;145;145;142;3;130;1;2;1;0;8
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;016;GORNJA VIŠNJICA;VATROGASNI DOM DONJA VIŠNJICA;GORNJA VIŠNJICA;373;175;175;173;2;135;2;12;5;12;7
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;017;ZLOGONJE;KUĆA ČELIG JOSIPA;ZLOGONJE 140;357;158;158;155;3;106;0;8;6;13;22
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;018;ŽAROVNICA;PODRUČNA ŠKOLA ŽAROVNICA;ŽAROVNICA;602;331;331;327;4;62;19;46;13;148;39
