Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SELJAČKA STRANKA BRAĆE RADIĆ - HSS BRAĆE RADIĆ, BLOK UMIROVLJENICI ZAJEDNO - BUZ;NARODNA STRANKA - REFORMISTI - REFORMISTI;KANDIDACIJSKA LISTA GRUPE BIRAČA -  DARKO VUGRINSKI
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;001;BEDNJA;OSNOVNA ŠKOLA;LJUDEVITA GAJA 15;783;475;475;466;9;364;12;59;31
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;002;PLEŠ;ŠPORTSKO REKREATIVNI CENTAR;PLEŠ BB;354;170;170;165;5;110;6;33;16
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;003;ŠAŠA;KUĆA MARICE KREŠ;ŠAŠA 49;157;77;77;77;0;50;2;5;20
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;004;ŠINKOVICA BEDNJANSKA;DRUŠTVENI DOM;ŠINKOVICA BEDNJANSKA BB;112;52;52;51;1;40;0;1;10
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;005;RINKOVEC;DRUŠTVENI DOM;RINKOVEC BB;312;139;139;137;2;90;9;16;22
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;006;BENKOVEC;KUĆA ANICE PRAVICA;BENKOVEC 33 D;158;91;91;88;3;55;3;3;27
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;007;PREBUKOVJE;KUĆA U VLASNIŠTVU OPĆINE BEDNJA;PREBUKOVJE 81;127;60;60;56;4;52;0;3;1
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;008;VRBNO;OSNOVNA ŠKOLA VRBNO;VRBNO 22A;466;269;269;264;5;165;15;19;65
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;009;CVETLIN;OSNOVNA ŠKOLA;CVETLIN BB;632;269;269;263;6;178;10;49;26
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;010;BREZOVA GORA;KUĆA ZDENKE GRABROVEC;BREZOVA GORA 11;76;37;37;36;1;34;2;0;0
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;011;JAMNO;ETNO KUĆA JAMNO;JAMNO BB;118;64;64;61;3;38;0;19;4
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;012;MELJAN;KUĆA GABRIJELA ŠTEFANCA;MELJAN 24;168;76;76;74;2;62;3;4;5
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;013;JEŽOVEC GORNJI;DRUŠTVENI DOM;JEŽOVEC BB;141;66;66;65;1;44;4;5;12
