Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KANDIDACIJSKA LISTA GRUPE BIRAČA -  MILORAD BATINIĆ;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA UMIROVLJENIKA - HSU;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SELJAČKA STRANKA BRAĆE RADIĆ - HSS BRAĆE RADIĆ, BLOK UMIROVLJENICI ZAJEDNO - BUZ;HRVATSKA SELJAČKA STRANKA - HSS;NARODNA STRANKA - REFORMISTI - REFORMISTI;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;001;IVANEC - 1;SREDNJA ŠKOLA-BIRALIŠTE I;IVANEC;554;218;218;214;4;91;7;37;8;6;10;55
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;002;IVANEC - 2;OSNOVNA ŠKOLA-BIRALIŠTE I;IVANEC;887;402;402;385;17;132;7;98;22;11;21;94
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;003;IVANEC - 3;PROSTORIJE MUZEJA PLANINARSTVA IVANEC;ULICA RUDOLFA RAJTERA 5;578;256;256;248;8;134;6;31;22;3;17;35
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;004;IVANEC - 4;SREDNJA ŠKOLA - BIRALIŠTE II;IVANEC;629;274;274;264;10;115;7;51;15;8;28;40
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;005;IVANEC - 5;"PROSTORIJE NOVE RADIONICE ""PAHINSKO""";IVANEC;396;177;177;174;3;87;7;14;16;8;14;28
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;006;IVANEC - 6;OSNOVNA ŠKOLA- BIRALIŠTE II;IVANEC;780;346;346;340;6;136;7;76;18;11;37;55
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;007;IVANEC-7;KUĆA PETRE PETRINJAK;IVANEC, ULICA ŽRTAVA HRVATSKIH DOMOVINSKIH RATOVA 20 B;535;253;253;248;5;111;6;42;14;8;16;51
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;008;LANČIĆ;DRUŠTVENI DOM;LANČIĆ;326;134;134;128;6;58;4;28;4;2;5;27
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;009;VUGLOVEC;DRUŠTVENI DOM VUGLOVEC-GEČKOVEC;BIRALIŠTE VUGLOVEC;283;108;108;103;5;54;1;30;1;2;6;9
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;010;GEČKOVEC;DRUŠTVENI DOM VUGLOVEC-GEČKOVEC;BIRALIŠTE GEČKOVEC;104;51;51;49;2;30;0;4;1;2;0;12
