Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DUBRAVKO BILIĆ;KREŠIMIR HORVAT;GORAN KRIŽANIĆ;BOŽICA MAKAR;SINIŠA MARKULINČIĆ
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;001;LUDBREG - 1;MEĐUGENERACIJSKI CENTAR-PROSTORIJA UDRUGE UMIROVLJENIKA;TRG SVETOGA TROJSTVA 16;1612;712;712;688;24;438;107;51;23;69
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;002;LUDBREG - 2;OSNOVNA ŠKOLA LUDBREG;ULICA ANDRIJE KAČIĆA MIOŠIĆA 17;1469;724;724;701;23;479;82;33;52;55
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;003;VINOGRADI LUDBREŠKI;DRUŠTVENI DOM, VINOGRADI LUDBREŠKI;GORNJOGRADSKA ULICA 2;586;228;228;222;6;132;33;21;20;16
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;004;SIGETEC LUDBREŠKI;DRUŠTVENI DOM;SIGETEC LUDBREŠKI, ULICA BRAĆE RADIĆ 13;536;272;272;268;4;137;23;59;24;25
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;005;SLOKOVEC;VATROGASNI DOM;SLOKOVEC 45;210;127;127;123;4;37;9;19;53;5
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;006;APATIJA;DRUŠTVENI DOM;APATIJA 21A;201;105;105;105;0;31;8;43;18;5
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;007;SELNIK;DRUŠTVENI DOM;SELNIK, GLAVNA ULICA 1;705;346;346;342;4;109;193;19;1;20
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;008;KUĆAN LUDBREŠKI;DRUŠTVENI DOM;KUĆAN LUDBREŠKI 2D;149;78;78;74;4;53;3;8;4;6
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;009;HRASTOVSKO;DRUŠTVENI DOM, HRASTOVSKO;KALNIČKA ULICA 3;613;324;324;312;12;235;31;15;6;25
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;010;GLOBOČEC LUDBREŠKI;DRUŠTVENI DOM;GLOBOČEC LUDBREŠKI, LUDBREŠKA ULICA 80;390;170;170;166;4;88;40;19;13;6
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;011;ČUKOVEC;DRUŠTVENI DOM;ČUKOVEC, GRACI 2;253;83;83;82;1;49;23;3;1;6
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;012;BOLFAN;DRUŠTVENI DOM;BOLFAN, VARAŽDINSKA ULICA 42;361;144;144;140;4;49;59;2;21;9
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;013;SEGOVINA;DRUŠTVENI DOM;SEGOVINA 17;36;26;26;26;0;16;6;1;3;0
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;014;POLJANEC;DRUŠTVENI DOM;VARAŽDINSKA ULICA 185;564;201;201;188;13;123;37;14;6;8
