Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;NEVEN BOSILJ;IVAN ÈEHOK;ZDRAVKA GRÐAN;GORAN HABUŠ;DUBRAVKA NOVAK;DAVOR PATAFTA;RONALD REÐEP;ALEN RUNAC
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;001;VARAŽDIN;PROSTORIJE GRADSKE  VIJEÆNICE (DVORANA PRIZ.LIJEVO);TRG KRALJA TOMISLAVA 1;494;248;248;240;8;31;58;14;12;38;24;9;54
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;002;VARAŽDIN;PROSTORIJE DOBROVOLJNOG VATROGASNOG DRUŠTVA VARAŽDIN (DVORIŠTE);TRENKOVA 44;739;318;318;309;9;66;83;19;9;54;24;11;43
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;003;VARAŽDIN;BIVŠE PROSTORIJE GRADSKOG DRUŠTVA CRVENOG KRIŽA VARAŽDIN;ULICA STANKA VRAZA 8;506;213;213;209;4;46;67;20;5;22;14;3;32
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;004;VARAŽDIN;PROSTORIJE II. MJESNOG ODBORA;KOLODVORSKA 3;841;414;414;397;17;82;93;21;8;87;38;12;56
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;005;VARAŽDIN;PROSTORIJE HŽ-ODRŽAVANJE PRUGA;ULAZ IZ ULICE MATICE HRVATSKE;762;358;358;347;11;54;84;33;13;84;22;3;54
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;006;VARAŽDIN;PROSTORIJE HŽ-PUTNIÈKI PRIJEVOZ (ULAZ IZA DOMA ŽELJEZNIÈARA);KOLODVORSKA 17;808;339;339;329;10;57;60;22;6;65;47;17;55
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;007;VARAŽDIN;PROSTORIJE I. OSNOVNE ŠKOLE;KRALJA P. KREŠIMIRA IV 10;625;310;310;304;6;75;80;16;4;65;21;5;38
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;008;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE III. MJESNOG ODBORA;ZAGREBAÈKA 17;910;403;403;390;13;115;86;16;10;70;31;11;51
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;009;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE III. MJESNOG ODBORA;ZAGREBAÈKA 17;973;420;420;408;12;88;103;39;8;80;26;16;48
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;010;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE DJEÈJEG VRTIÆA (LEGO DVORANA);ALEJA KRALJA ZVONIMIRA 3;666;275;275;268;7;77;66;12;3;57;18;10;25
