Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;JAKOV VETMA
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;KLIS;001;BIRAČKO MJESTO 1. KLIS-VAROŠ;MJESNI ODBOR  KLIS-VAROŠ;KNEZA TRPIMIRA 229;353;210;210;188;22;188
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;KLIS;002;BIRAČKO MJESTO 2. KLIS-DONJA RUPOTINA;PROSTORIJE MJESNOG ODBORA DONJA RUPOTINA;KNEZA TRPIMIRA 90;1320;461;460;360;100;360
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;KLIS;003;BIRAČKO MJESTO 3. KLIS-BRDO;OŠ. PETAR KRUŽIĆ;VJEKOSLAVA PARAĆA 7;274;140;140;121;19;121
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;KLIS;004;BIRAČKO MJESTO 4. KLIS - MEGDAN;"DOM KULTURE ""JOZO BULIGA""";IZA GRADA 2;379;221;221;162;59;162
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;KLIS;005;BIRAČKO MJESTO 5. KLIS - KOSA;"DOM KULTURE ""ZDRAVKO UVODIĆ""";SV. JURE 48;371;166;166;132;34;132
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;KLIS;006;BIRAČKO MJESTO 6. KLIS - OZRNA;"PROSTORIJE LOVAČKE UDRUGE ""SVEČURJE""";STARE RERE 34;118;77;77;66;11;66
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;KLIS;007;BIRAČKO MJESTO 7. KONJSKO;MO KONJSKO;DOMOVINSKOG RATA 45;237;113;113;88;25;88
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;KLIS;008;BIRAČKO MJESTO 8. BROČANAC;MO BROČANAC;DOMOVINSKOG RATA 146;163;75;75;74;1;74
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;KLIS;009;BIRAČKO MJESTO 9. DUGOBABE;MO DUGOBABE;DOMOVINSKOG RATA 168;108;59;59;49;10;49
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;KLIS;010;BIRAČKO MJESTO 10. VUČEVICA;MO VUČEVICA;ZVONIMIROVA 5;46;20;20;20;0;20
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;KLIS;011;BIRAČKO MJESTO 11. KORUŠCE;PROSTORIJE MJESNOG ODBORA KORUŠCE;PUT ŠKOLE 13;75;27;27;27;0;27
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;KLIS;012;BIRAČKO MJESTO 12. BRŠTANOVO;MO BRŠTANOVO;HRVATSKIH VELIKANA 12;231;121;121;108;13;108
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;KLIS;013;BIRAČKO MJESTO 13. NISKO;MO NISKO;HRVATSKIH VELIKANA 88;176;86;86;85;1;85
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;KLIS;014;BIRAČKO MJESTO 14. PRUGOVO;MO PRUGOVO;IVANA PAVLA II 100;476;169;169;149;20;149
