Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA STRANKA PRAVA - HSP;HRVATSKA STRANKA UMIROVLJENIKA - HSU;MOST;KANDIDACIJSKA LISTA GRUPE BIRAČA - IVAN ŠIPIĆ
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;001;BIRAČKO MJESTO 1. BUDIMIRI;OŠ BUDIMIRI;BUDIMIRI;112;63;63;58;5;24;1;0;6;27
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;002;BIRAČKO MJESTO 2. UGLJANE;O.Š. UGLJANE;UGLJANE;311;168;168;167;1;34;8;7;59;59
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;003;BIRAČKO MJESTO 3. NOVA SELA;OŠ NOVA SELA (STARA ŠKOLA);NOVA SELA;103;64;64;62;2;17;5;1;10;29
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;004;BIRAČKO MJESTO 4. ČAPORICE;OŠ ČAPORICE;ČAPORICE;318;198;198;196;2;106;5;14;14;57
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;005;BIRAČKO MJESTO 5. STRMENDOLAC;KUĆA MIŠE MARASOVIĆA - STRMENDOLAC;STRMENDOLAC;156;89;89;87;2;32;6;5;10;34
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;006;BIRAČKO MJESTO 6. VEDRINE;OŠ VEDRINE;VEDRINE;733;498;498;493;5;131;22;12;43;285
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;007;BIRAČKO MJESTO 7.TRILJ;KINO DVORANA TRILJ;TRILJ;667;428;428;416;12;161;19;19;32;185
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;008;BIRAČKO MJESTO 8.BISKO;OŠ BISKO;BISKO;312;193;193;187;6;105;7;3;12;60
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;009;BIRAČKO MJESTO 9. VOJNIĆ;OŠ VOJNIĆ;VOJNIĆ;446;242;242;240;2;78;22;9;33;98
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;010;BIRAČKO MJESTO 10. GARDUN;OŠ GARDUN;GARDUN;69;38;38;35;3;11;6;5;4;9
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;011;BIRAČKO MJESTO 11.TRILJ;OŠ TRILJ;TRILJ;1160;746;745;738;7;265;31;50;95;297
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;012;BIRAČKO MJESTO 12. KOŠUTE;OŠ KOŠUTE;KOŠUTE;1507;934;934;920;14;240;77;20;225;358
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;013;BIRAČKO MJESTO 13. GRAB;OŠ GRAB;GRAB;688;472;472;449;23;293;15;18;44;79
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;014;BIRAČKO MJESTO 14. JABUKA;OŠ JABUKA;JABUKA;224;145;145;141;4;70;1;9;30;31
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;015;BIRAČKO MJESTO 15. VELIĆ;OŠ VELIĆ;VELIĆ;253;168;168;163;5;90;6;3;41;23
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;016;BIRAČKO MJESTO 16. VRPOLJE;OŠ VRPOLJE;VRPOLJE;104;53;53;53;0;18;11;1;10;13
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;017;BIRAČKO MJESTO 17.STRIZIREP;O.Š STRIZIREP, STRIZIREP;STRIZIREP;42;17;17;15;2;12;3;0;0;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;018;BIRAČKO MJESTO 18. TIJARICA;OŠ TIJARICA;TIJARICA;457;194;194;190;4;75;11;4;13;87
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;019;BIRAČKO MJESTO 19. KAMENSKO;O.Š. KAMENSKO, KAMENSKO;KAMENSKO;124;42;42;42;0;33;2;0;2;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;020;BIRAČKO MJESTO 20. ROŽE;KUĆA VLASNIKA MARIJANA PAVLINUŠIĆA;ROŽE;48;17;17;17;0;12;2;0;1;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;021;BIRAČKO MJESTO 21. VOŠTANE;ŽUPNA KUĆA;VOŠTANE;126;34;34;34;0;18;0;0;3;13
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;022;BIRAČKO MJESTO 22. ČAČVINA;OŠ ČAČVINA;ČAČVINA;66;37;37;35;2;13;6;2;1;13
