Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DOMOVINSKI POKRET - DP, HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA PRAVA - HSP;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  MIA KOVAÈIÆ;MOST;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  IVO TOMASOVIÆ;ŽELJKO KERUM - HRVATSKA GRAÐANSKA STRANKA - HGS
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;001;PRIKO I;PROSTORIJE ILIRSKOG SJEMENIŠTA;OMIŠ, GLAGOLJAŠKA 11;1675;830;829;810;19;54;244;15;80;60;333;24
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;002;PRIKO II;PROSTORIJE ILIRSKOG SJEMENIŠTA;OMIŠ, GLAGOLJAŠKA 11;1015;568;567;560;7;18;107;18;79;37;286;15
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;003;PUNTA - STARI GRAD;MJESNI ODBOR;FOŠAL BROJ 6 - OMIŠ;1125;579;579;567;12;34;115;15;66;49;278;10
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;004;MLIJA;SAMOSTAN SESTARA SLUŽAVKI MALOG ISUSA;VANGRAD 5;1473;772;772;756;16;49;151;25;60;99;357;15
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;005;BORAK;PROSTORIJE NIKŠE ÈEÈUKA;BORAK, PUT BORKA 67;151;97;97;94;3;2;9;0;11;15;56;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;006;BRZET;PROSTORIJE   HOTELSKOG NASELJA BRZET;OMIŠ;145;69;69;66;3;1;15;2;11;6;27;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;007;NEMIRA;"PROSTORIJE MJESNOG ODBORA NEMIRA ""IGRALIŠTE"" U NEMIRI";PUT NEMIRE;422;178;178;175;3;12;43;4;16;10;84;6
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;008;ÈELINA-STANIÆI;MJESNI ODBOR;STANIÆI;763;279;279;272;7;16;93;9;32;15;98;9
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;009;LOKVA ROGOZNICA;PROSTORIJE MJESNOG ODBORA;LOKVA ROGOZNICA, IVAŠNJAK 3;506;195;195;190;5;11;55;3;15;17;88;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;010;MIMICE;PROSTORIJE TURIST BIROA;MIMICE;262;122;122;120;2;8;52;3;12;3;39;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;011;MARUŠIÆI;SPOMEN DOM U MARUŠIÆIMA, PROSTORIJE MJESNOG ODBORA;MARUŠIÆI, PUT DVORA 35;212;82;82;80;2;10;22;0;4;6;36;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;012;PISAK;PROSTORIJE BIVŠE OSNOVNE ŠKOLE U PISKU;PISAK;245;72;72;72;0;4;15;0;5;12;34;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;013;SEOCA;PROSTORIJE ZADRUŽNOG DOMA U SEOCIMA;SEOCA;120;79;79;79;0;6;48;2;6;0;14;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;014;KOSTANJE;PROSTORIJE U ZADRUŽNOM DOMU U KOSTANJAMA;KOSTANJE;532;284;284;269;15;11;166;0;26;7;54;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;015;PODGRAÐE;PROSTORIJE OSNOVNE ŠKOLE U PODGRAÐU;PODGRAÐE;233;137;137;136;1;4;49;1;16;2;57;7
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;016;SLIME;PROSTORIJE OSNOVNE ŠKOLE U SLIMENU;SLIME;252;103;103;101;2;2;27;0;23;6;34;9
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;017;KUÈIÆE;PROSTORIJE OSNOVNE ŠKOLE;KUÈIÆE;583;323;323;319;4;13;92;9;46;8;143;8
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;018;SVINIŠÆE;PROSTORIJE ZADRUŽNOG DOMA;SVINIŠÆE;116;63;63;63;0;3;14;1;3;2;37;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;019;ZVEÈANJE;PROSTORIJE MJESNOG ODBORA U ZVEÈANJU;ZVEÈANJE;226;117;117;114;3;12;46;0;17;6;32;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;020;OSTRVICA DONJA;PROSTORIJE MJESNOG ODBORA (ANTONSKA KUÆA);OSTRVICA DONJA;105;55;55;51;4;2;32;1;6;0;7;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;021;OSTRVICA GORNJA;PROSTORIJE HPT-A U OSTRVICI GORNJOJ;OSTRVICA GORNJA;60;36;36;34;2;1;20;0;0;0;11;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;022;ÈIŠLA;PROSTORIJE OSNOVNE ŠKOLE;ÈIŠLA;256;109;109;106;3;21;34;3;10;5;29;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;023;GATA;PROSTORIJE  DOMA KULTURE;GATA;486;261;261;257;4;12;79;6;45;29;81;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;024;ZAKUÈAC;PROSTORIJE MJESNOG ODBORA;ZAKUÈAC;126;55;55;52;3;2;13;4;9;4;18;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;025;NAKLICE;PROSTORIJE OSNOVNE ŠKOLE;NAKLICE;205;139;139;139;0;3;53;2;7;0;72;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;026;TUGARE  -DOÈINE;PROSTORIJE ZADRUŽNOG DOMA U DOÈINAMA;TUGARE-DOÈINE;372;201;201;194;7;12;95;7;9;22;45;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;027;TUGARE - PODUME-RAÈNIK;PROSTORIJE MJESNOG ODBORA TUGARE-PODUME-RAÈNIK;TUGARE;325;185;185;179;6;19;97;7;12;3;32;9
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;028;TUGARE   - ÈAŽIN DOLAC;PROSTORIJE MJESNOG ODBORA U ÈAŽIN DOCU;TUGARE;84;49;49;49;0;5;22;2;6;1;9;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;029;DUBRAVA;PROSTORIJE OSNOVNE ŠKOLE;DUBRAVA;255;108;108;102;6;3;60;1;9;1;20;8
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;030;BLATO NA CETINI;PROSTORIJE MJESNOG ODBORA (IZNAD POŠTE);BLATO NA CETINI;407;190;190;187;3;19;102;3;12;5;41;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;031;NOVA SELA;PROSTORIJE MJESNOG ODBORA U NOVIM SELIMA;NOVA SELA;175;70;70;66;4;7;35;1;7;0;13;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;032;TRNBUSI;PROSTORIJE BIVŠE OSNOVNE ŠKOLE U TRNBUSIMA;TRNBUSI 86;143;62;62;61;1;7;20;0;4;1;26;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;033;SRIJANE I -ZIDINE;PROSTORIJE MJESNOG ODBORA U SRIJANIMA;SRIJANE;30;17;17;16;1;1;6;1;2;1;5;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;034;SRIJANE  II -NEÈAJ;PROSTORIJE OSNOVNE ŠKOLE U SRIJANIMA;SRIJANE;183;78;78;77;1;15;9;1;5;4;40;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;035;GORNJI DOLAC;PROSTORIJE OSNOVNE ŠKOLE U GORNJEM DOCU;GORNJI DOLAC;113;56;56;52;4;5;21;1;2;1;19;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;036;DONJI DOLAC I - RUPA;PROSTORIJE BIVŠE O.Š. RUPA-DONJI DOLAC;DONJI DOLAC;151;86;86;80;6;4;46;0;2;2;17;9
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;037;DONJI DOLAC II  - SMAJIÆI;PROSTORIJE BIVŠE O.Š. SMAJIÆI-DONJI DOLAC;DONJI DOLAC;70;34;34;32;2;0;19;0;1;1;7;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;038;DONJI DOLAC III -ROŠCA;OBITELJSKA KUÆA POK.ŽELJKA ŠOŠIÆA, DONJI DOLAC 173B, ROŠCA;DONJI DOLAC;78;33;33;30;3;7;13;0;1;0;6;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;OMIŠ;039;PUTIŠIÆI;PROSTORIJE MJESNOG ODBORA U PUTIŠIÆIMA;PUTIŠIÆI;35;25;25;25;0;2;6;0;0;1;15;1
