Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;KANDIDACIJSKA LISTA GRUPE BIRAČA - ANTE MAMUT;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP;ŽELJKO KERUM - HRVATSKA GRAĐANSKA STRANKA - HGS
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MARINA;001;BIRAČKO MJESTO 1. MARINA;OSNOVNA ŠKOLA IVAN DUKNOVIĆ;DON FRANE MACANOVIĆA 1, MARINA;1080;546;546;533;13;120;330;40;43
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MARINA;002;BIRAČKO MJESTO 2. SVINCA;MJESNI DOM;SVINCA BB;109;85;85;82;3;37;36;4;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MARINA;003;BIRAČKO MJESTO 3. GORNJE VINIŠĆE;PROSTOR MJESNOG ODBORA DUBRAVE;DUBRAVE BB;147;75;75;71;4;27;27;7;10
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MARINA;004;BIRAČKO MJESTO 4. DONJE VINIŠĆE;MJESNI DOM;VINIŠĆE;603;286;286;277;9;100;128;31;18
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MARINA;005;BIRAČKO MJESTO 5. SEVID;ZGRADA MJESNOG ODBORA - NOVA;SEVID;305;137;137;132;5;46;66;17;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MARINA;006;BIRAČKO MJESTO 6. VRSINE;PROSTOR PODRUČNE OSNOVNE ŠKOLE IVAN DUKNOVIĆ MARINA;VRSINE, VRSINSKA CESTA 7;307;206;206;191;15;48;79;14;50
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MARINA;007;BIRAČKO MJESTO 7. POLJICA;"""RESTORAN KAČINA""";POLJICA, OBALA 145;662;360;360;337;23;108;134;33;62
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MARINA;008;BIRAČKO MJESTO 8. NAJEVI;MJESNI DOM;NAJEVI BB;40;25;25;24;1;13;7;4;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MARINA;009;BIRAČKO MJESTO 9. GUSTIRNA;OŠ IVAN DUKNOVIĆ PODRUČNA ŠKOLA GUSTIRNA;GUSTIRNA, GUSTIRNA III 17;317;191;191;178;13;50;97;26;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MARINA;010;BIRAČKO MJESTO 10. DOGRADE;MJESNI DOM;DOGRADE BB;172;97;97;92;5;31;50;4;7
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MARINA;011;BIRAČKO MJESTO 11. POZORAC;DJEČJI VRTIĆ KRIJESNICA;POZORAC, POZORAC 4;133;70;70;68;2;15;44;3;6
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MARINA;012;BIRAČKO MJESTO 12. BLIZNA GORNJA;MJESNI DOM;BLIZNA GORNJA;77;53;53;52;1;8;39;3;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MARINA;013;BIRAČKO MJESTO 13. BLIZNA DONJA;OŠ BLIZNA DONJA;BLIZNA DONJA;205;137;137;134;3;17;108;4;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MARINA;014;BIRAČKO MJESTO 14. MITLO;MJESNI DOM;MITLO BB;57;40;40;37;3;6;28;0;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MARINA;015;BIRAČKO MJESTO 15. VINOVAC;MJESNI DOM;VINOVAC BB;64;44;44;43;1;7;28;3;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MARINA;016;BIRAČKO MJESTO 16. RASTOVAC;MJESNI DOM;RASTOVAC, PODBOBOVAC 8;80;60;60;58;2;16;41;1;0
