Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;IVAN BUGARIN;MILJENKO MARIĆ;IVAN ŠIPIĆ
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;001;BIRAČKO MJESTO 1. BUDIMIRI;OŠ BUDIMIRI;BUDIMIRI;112;63;63;61;2;24;4;33
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;002;BIRAČKO MJESTO 2. UGLJANE;O.Š. UGLJANE;UGLJANE;311;168;168;165;3;37;56;72
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;003;BIRAČKO MJESTO 3. NOVA SELA;OŠ NOVA SELA (STARA ŠKOLA);NOVA SELA;103;65;65;60;5;18;8;34
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;004;BIRAČKO MJESTO 4. ČAPORICE;OŠ ČAPORICE;ČAPORICE;318;198;198;194;4;109;17;68
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;005;BIRAČKO MJESTO 5. STRMENDOLAC;KUĆA MIŠE MARASOVIĆA - STRMENDOLAC;STRMENDOLAC;156;89;89;86;3;25;13;48
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;006;BIRAČKO MJESTO 6. VEDRINE;OŠ VEDRINE;VEDRINE;733;500;500;495;5;140;32;323
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;007;BIRAČKO MJESTO 7.TRILJ;KINO DVORANA TRILJ;TRILJ;667;430;430;422;8;180;22;220
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;008;BIRAČKO MJESTO 8.BISKO;OŠ BISKO;BISKO;312;193;193;188;5;99;12;77
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;009;BIRAČKO MJESTO 9. VOJNIĆ;OŠ VOJNIĆ;VOJNIĆ;446;242;242;236;6;83;34;119
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;010;BIRAČKO MJESTO 10. GARDUN;OŠ GARDUN;GARDUN;69;38;38;35;3;20;5;10
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;011;BIRAČKO MJESTO 11.TRILJ;OŠ TRILJ;TRILJ;1160;746;745;728;17;305;83;340
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;012;BIRAČKO MJESTO 12. KOŠUTE;OŠ KOŠUTE;KOŠUTE;1507;935;935;915;20;261;232;422
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;013;BIRAČKO MJESTO 13. GRAB;OŠ GRAB;GRAB;688;472;472;464;8;348;31;85
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;014;BIRAČKO MJESTO 14. JABUKA;OŠ JABUKA;JABUKA;224;141;141;139;2;83;22;34
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;015;BIRAČKO MJESTO 15. VELIĆ;OŠ VELIĆ;VELIĆ;253;168;168;164;4;103;31;30
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;016;BIRAČKO MJESTO 16. VRPOLJE;OŠ VRPOLJE;VRPOLJE;104;53;53;53;0;26;11;16
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;017;BIRAČKO MJESTO 17.STRIZIREP;O.Š STRIZIREP, STRIZIREP;STRIZIREP;42;17;17;16;1;10;2;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;018;BIRAČKO MJESTO 18. TIJARICA;OŠ TIJARICA;TIJARICA;457;194;194;190;4;85;15;90
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;019;BIRAČKO MJESTO 19. KAMENSKO;O.Š. KAMENSKO, KAMENSKO;KAMENSKO;124;42;42;42;0;35;1;6
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;020;BIRAČKO MJESTO 20. ROŽE;KUĆA VLASNIKA MARIJANA PAVLINUŠIĆA;ROŽE;48;17;17;17;0;13;0;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;021;BIRAČKO MJESTO 21. VOŠTANE;ŽUPNA KUĆA;VOŠTANE;126;34;34;34;0;19;2;13
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TRILJ;022;BIRAČKO MJESTO 22. ČAČVINA;OŠ ČAČVINA;ČAČVINA;66;37;37;37;0;18;2;17
