Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ANTE BILIĆ;SINIŠA STOJAN;IVAN ŠUSTIĆ
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;001;BIRAČKO MJESTO BROJ 1. U PLANOM;"DJEČJI VRTIĆ TROGIR, MATIČNI DJEČJI VRTIĆ ""LEPTIRIĆ""";CESTA PLANO 70;580;357;357;346;11;209;101;36
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;002;BIRAČKO MJESTO BROJ 2. U TROGIRU, TRAVARICA I;"SŠ ""IVAN LUCIĆ""";PUT MULINA 2B;1256;682;682;666;16;408;160;98
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;003;BIRAČKO MJESTO BROJ 3. U TROGIRU, TRAVARICA II;"SŠ ""IVAN LUCIĆ""";PUT MULINA 2B;813;434;434;422;12;307;71;44
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;004;BIRAČKO MJESTO BROJ 4. U TROGIRU, TRAVARICA III;"SŠ ""IVAN LUCIĆ""";PUT MULINA 2B;733;415;415;403;12;283;81;39
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;005;BIRAČKO MJESTO BROJ 5. U TROGIRU, TRAVARICA IV;"SŠ ""IVAN LUCIĆ""";PUT MULINA 2B;710;384;384;367;17;256;69;42
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;006;BIRAČKO MJESTO BROJ 6. U TROGIRU, TRAVARICA V;"SSŠ ""BLAŽ JURJEV TROGIRANIN""";FRANJE TUĐMANA 1;779;446;446;428;18;294;75;59
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;007;BIRAČKO MJESTO BROJ 7. U TROGIRU, TRAVARICA VI;"SSŠ ""BLAŽ JURJEV TROGIRANIN""";FRANJE TUĐMANA 1;791;421;421;392;29;224;111;57
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;008;BIRAČKO MJESTO BROJ 8. U TROGIRU, TRAVARICA VII;"SSŠ ""BLAŽ JURJEV TROGIRANIN""";FRANJE TUĐMANA 1;918;528;528;514;14;352;97;65
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;009;BIRAČKO MJESTO BROJ 9. U TROGIRU (GRAD);"OŠ ""PETAR BERISLAVIĆ""";OBALA BANA BERISLAVIĆA 16;719;385;385;373;12;253;72;48
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;010;BIRAČKO MJESTO BROJ 10. U TROGIRU,ČIOVO I;"DJEČJI VRTIĆ TROGIR, PODRUČNI DJEČJI VRTIĆ ""MASLINA""";SV. PETRA 8;954;460;460;452;8;326;76;50
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;011;BIRAČKO MJESTO BROJ 11. U TROGIRU, ČIOVO II;PROSTOR LOVAČKE UDRUGE TROGIR;OBALA KRALJA ZVONIMIRA 16;407;238;238;232;6;169;27;36
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;012;BIRAČKO MJESTO BROJ 12. ČIOVO III;KUĆA PUOVIĆ;OBALA KRALJA ZVONIMIRA 15;840;463;463;449;14;315;87;47
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;013;BIRAČKO MJESTO BROJ 13. U TROGIRU, ČIOVO IV;KUĆA PUOVIĆ;OBALA KRALJA ZVONIMIRA 15;893;408;408;391;17;229;110;52
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;014;BIRAČKO MJESTO BROJ 14. U ŽEDNOM;DRUŠTVENI DOM ŽEDNO;ŽEDNO;130;74;74;74;0;54;14;6
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;015;BIRAČKO MJESTO BROJ 15. U MASTRINCI;HOTEL SV. KRIŽ;DOMOVINSKE ZAHVALNOSTI 1;1006;423;423;406;17;250;105;51
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;016;BIRAČKO MJESTO BROJ 16. U ARBANIJI;MJESNI ODBOR;ARBANIJA;421;229;229;218;11;125;64;29
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;017;BIRAČKO MJESTO BROJ 17. U DRVENIKU MALOM;BIVŠA OŠ DRVENIK MALI;DRVENIK MALI;163;90;90;89;1;59;25;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;018;BIRAČKO MJESTO BROJ 18. U DRVENIKU VELIKOM;MJESNI ODBOR;TOĆ, DRVENIK VELIKI;255;106;106;99;7;52;35;12
