Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DARIJO GALIĆ;MILE HERCEG;MARKO KALAJŽIĆ
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;001;PRAPATNICE;OSNOVNA ŠKOLA;PRAPATNICE;154;109;109;107;2;2;72;33
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;002;PODPROLOG;OSNOVNA ŠKOLA;PODPROLOG;330;205;205;197;8;4;104;89
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;003;BANJA;KUĆA DRINKA GRANIĆA;BANJA 61;198;135;135;133;2;6;75;52
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;004;ORAH;OSNOVNA ŠKOLA;ORAH;225;141;141;141;0;2;86;53
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;005;VELIKI PROLOG;OSNOVNA ŠKOLA;VELIKI PROLOG;242;192;192;191;1;0;79;112
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;006;KOKORIĆI;OSNOVNA ŠKOLA;KOKORIĆI;117;85;85;85;0;4;64;17
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;007;DUSINA;ZGRADA OSNOVNE ŠKOLE;DUSINA;419;332;332;325;7;2;95;228
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;008;VRGORAC;ZGRADA GRADA VRGORCA-MALA VIJEĆNICA;VRGORAC;1878;1255;1255;1232;23;49;786;397
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;009;VLAKA;KUĆA NENE OKUKA;VLAKA 9;34;21;21;21;0;0;11;10
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;010;UMČANI;OSNOVNA ŠKOLA;UMČANI;177;119;119;113;6;3;87;23
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;011;MILOŠIĆI;KUĆA IVICE ERCEGA (TUĆO);VELIKI PROLOG 98A;129;85;85;85;0;0;55;30
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;012;KOTEZI;"ZGRADA BIVŠE OSNOVNE ŠKOLE (KLUB ZA OBARANJE RUKE ""MUSE""";KOTEZI;223;162;161;155;6;2;119;34
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;013;RAŠĆANE;ZGRADA MJESNOG ODBORA RAŠĆANE (PORED IGRALIŠTA);RAŠĆANE 115;97;58;58;54;4;1;35;18
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;014;POLJICA;ZGRADA LOVAČKE UDRUGE (PORED ŠKOLE);POLJICA;57;30;30;30;0;4;14;12
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;015;DUGE NJIVE;OSNOVNA ŠKOLA;DUGE NJIVE;77;50;50;45;5;0;33;12
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;016;KOZICA;ZADRUŽNI DOM;KOZICA;53;22;22;21;1;2;11;8
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;017;ŽLIBINA;KUĆA ZORE VULETIĆA;POLJICA KOZIČKA 148;75;37;37;35;2;3;2;30
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;018;DRAGLJANE;OSNOVNA ŠKOLA;DRAGLJANE;43;32;32;31;1;3;23;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;019;KLJENAK;KUĆA ANTE NIZIĆA;KLJENAK 9;50;30;30;29;1;1;25;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;020;DRAŽEVITIĆI;ZADRUŽNI DOM;DRAŽEVITIĆI;155;107;107;105;2;2;58;45
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;021;ZAVOJANE;ZADRUŽNI DOM;ZAVOJANE;173;117;117;116;1;3;54;59
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;022;MAJIĆI;KUĆA MIRA ŽIDIĆA - BLOKETARA;ZAVOJANE 18;55;44;44;43;1;1;33;9
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;023;MIJACA;OSNOVNA ŠKOLA;MIJACA;43;26;26;26;0;1;8;17
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;024;STILJA;OSNOVNA ŠKOLA;STILJA;260;176;176;167;9;1;79;87
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;025;VINA;KUĆA IVANA FRANIĆA POK. MARKA;VINA;99;73;73;72;1;1;28;43
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;026;RAVČA;OSNOVNA ŠKOLA;RAVČA;128;83;83;81;2;0;67;14
