Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KANDIDACIJSKA LISTA GRUPE BIRAČA -  DARIJO GALIĆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SELJAČKA STRANKA - HSS;NEZAVISNA LISTA MLADIH - NLM;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;001;PRAPATNICE;OSNOVNA ŠKOLA;PRAPATNICE;154;109;109;106;3;0;33;4;65;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;002;PODPROLOG;OSNOVNA ŠKOLA;PODPROLOG;330;205;205;192;13;4;98;6;75;9
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;003;BANJA;KUĆA DRINKA GRANIĆA;BANJA 61;198;135;135;131;4;4;56;0;65;6
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;004;ORAH;OSNOVNA ŠKOLA;ORAH;225;141;141;141;0;0;52;0;84;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;005;VELIKI PROLOG;OSNOVNA ŠKOLA;VELIKI PROLOG;242;192;192;189;3;0;113;0;76;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;006;KOKORIĆI;OSNOVNA ŠKOLA;KOKORIĆI;117;85;85;85;0;2;22;1;56;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;007;DUSINA;ZGRADA OSNOVNE ŠKOLE;DUSINA;419;331;331;326;5;2;206;8;109;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;008;VRGORAC;ZGRADA GRADA VRGORCA-MALA VIJEĆNICA;VRGORAC;1878;1255;1255;1236;19;63;410;24;657;82
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;009;VLAKA;KUĆA NENE OKUKA;VLAKA 9;34;21;21;21;0;0;7;0;14;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;010;UMČANI;OSNOVNA ŠKOLA;UMČANI;177;119;119;115;4;0;26;2;72;15
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;011;MILOŠIĆI;KUĆA IVICE ERCEGA (TUĆO);VELIKI PROLOG 98A;129;85;85;84;1;1;26;0;52;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;012;KOTEZI;"ZGRADA BIVŠE OSNOVNE ŠKOLE (KLUB ZA OBARANJE RUKE ""MUSE""";KOTEZI;223;162;162;158;4;1;39;5;97;16
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;013;RAŠĆANE;ZGRADA MJESNOG ODBORA RAŠĆANE (PORED IGRALIŠTA);RAŠĆANE 115;97;58;58;55;3;0;23;1;28;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;014;POLJICA;ZGRADA LOVAČKE UDRUGE (PORED ŠKOLE);POLJICA;57;30;30;30;0;2;13;1;13;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;015;DUGE NJIVE;OSNOVNA ŠKOLA;DUGE NJIVE;77;50;50;45;5;0;11;0;23;11
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;016;KOZICA;ZADRUŽNI DOM;KOZICA;53;22;22;22;0;1;11;1;6;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;017;ŽLIBINA;KUĆA ZORE VULETIĆA;POLJICA KOZIČKA 148;75;37;37;35;2;1;33;0;1;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;018;DRAGLJANE;OSNOVNA ŠKOLA;DRAGLJANE;43;32;32;31;1;1;3;0;22;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;019;KLJENAK;KUĆA ANTE NIZIĆA;KLJENAK 9;50;30;30;29;1;0;3;1;23;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;020;DRAŽEVITIĆI;ZADRUŽNI DOM;DRAŽEVITIĆI;155;106;106;104;2;0;34;0;47;23
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;021;ZAVOJANE;ZADRUŽNI DOM;ZAVOJANE;173;117;117;114;3;1;60;1;45;7
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;022;MAJIĆI;KUĆA MIRA ŽIDIĆA - BLOKETARA;ZAVOJANE 18;55;44;44;44;0;1;6;0;35;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;023;MIJACA;OSNOVNA ŠKOLA;MIJACA;43;26;26;25;1;0;15;1;8;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;024;STILJA;OSNOVNA ŠKOLA;STILJA;260;176;176;170;6;0;92;0;70;8
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;025;VINA;KUĆA IVANA FRANIĆA POK. MARKA;VINA;99;73;73;72;1;1;39;2;23;7
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;VRGORAC;026;RAVČA;OSNOVNA ŠKOLA;RAVČA;128;83;83;83;0;1;10;5;64;3
