Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;TIHOMIR BEČKO;VEDRAN DUVNJAK;MARIO JAMAN;JOSIP KERUM;DAVOR MIKAS;DALIBOR NINČEVIĆ
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;001;CENTAR I;PROSTORIJE ZGRADE GRADSKE UPRAVE GRADA SOLINA;STJEPANA RADIĆA 42, SOLIN;947;398;398;387;11;27;123;31;23;19;164
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;002;CENTAR II;PROSTORIJE CRVENOG KRIŽA GRADA SOLINA;KRALJA ZVONIMIRA  117 D;579;255;255;246;9;24;59;24;8;19;112
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;003;CENTAR III;OŠ DON LOVRE KATIĆA;PUT MAJDANA 3, SOLIN;556;208;208;203;5;12;56;18;2;14;101
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;004;CENTAR IV;OSNOVNA ŠKOLA DON LOVRE KATIĆA;PUT MAJDANA 3, SOLIN;432;186;186;180;6;17;56;26;4;16;61
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;005;CENTAR V;PROSTORIJE O.Š. DON LOVRE KATIĆA;PUT MAJDANA 3;457;210;209;207;2;19;67;14;9;15;83
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;006;KUČINE;PROSTORIJE DRUŠTVENOG DOMA KUČINE;DRAGE MARKOVIĆA 35, SOLIN;900;455;455;441;14;28;168;27;12;46;160
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;007;MRAVINCE I;"PROSTORIJE OSNOVNE ŠKOLE ""KRALJICE JELENE""";GAJEVA ULICA 45, MRAVINCE;984;470;470;448;22;53;110;28;8;44;205
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;008;MRAVINCE II;"OSNOVNA ŠKOLA ""KRALJICE JELENE """;GAJEVA ULICA 45, MRAVINCE;467;230;230;226;4;24;58;15;5;17;107
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;009;PRIKO VODA I;"PROSTORIJA OSNOVE ŠKOLU""KRALJICE JELENE";SOLIN, PUT MIRA 3;896;380;379;371;8;19;90;15;12;59;176
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;010;PRIKO VODE II;O.Š. KRALJICE JELENE;PUT MIRA 3, SOLIN;1106;414;414;403;11;46;97;12;15;80;153
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;011;PRIKO VODE III;"PROSTORIJE OSNOVNE ŠKOLE ""KRALJICE JELENE""";PUT MIRA  3 SOLIN;1157;451;451;443;8;40;127;26;21;62;167
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;012;PRIKO VODE IV;"PROSTORIJE OSNOVNE ŠKOLE ""KRALJICE JELENE""";PUT MIRA 3, SOLIN;931;363;363;354;9;35;106;9;13;50;141
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;013;PRIKO VODE V;"PROSTORIJE OSNOVNE ŠKOLE ""KRALJICE JELENE""";PUT MIRA 3, SOLIN;909;375;374;365;9;44;97;13;15;39;157
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;014;PRIKO VODE VI;"PROSTORIJE OSNOVNE ŠKOLE ""KRALJICE JELENE""";PUT MIRA 3, SOLIN;1005;351;351;349;2;34;89;19;8;44;155
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;015;VRANJIC;KULTURNI CENTAR DON F. BULIĆA;OBALA POMORACA 77, VRANJIC;950;530;530;506;24;82;103;26;15;62;218
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;016;RUPOTINA I;OŠ DON LOVRE KATIĆA - PODRUČNA ŠKOLA RUPOTINA;ANTE STARČEVIĆA 143;488;164;164;159;5;17;56;8;8;6;64
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;017;RUPOTINA II;OŠ DON LOVRE KATIĆA PODRUČNA ŠKOLA RUPOTINA;ANTE STARČEVIĆA 143;784;365;365;358;7;64;117;20;8;5;144
