Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA STRANKA PRAVA - HSP;MOST;KANDIDACIJSKA LISTA GRUPE BIRAČA -  GORAN PITEŠA;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKI LABURISTI - STRANKA RADA - LABURISTI;KANDIDACIJSKA LISTA GRUPE BIRAČA -  ANTE ŠKROBICA;ŽELJKO KERUM - HRVATSKA GRAĐANSKA STRANKA - HGS
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;001;BIRAČKO MJESTO BROJ 1. U PLANOM;"DJEČJI VRTIĆ TROGIR, MATIČNI DJEČJI VRTIĆ ""LEPTIRIĆ""";CESTA PLANO 70;580;357;357;346;11;8;104;1;17;11;171;19;15
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;002;BIRAČKO MJESTO BROJ 2. U TROGIRU, TRAVARICA I;"SŠ ""IVAN LUCIĆ""";PUT MULINA 2B;1256;682;682;666;16;25;150;4;29;48;309;65;36
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;003;BIRAČKO MJESTO BROJ 3. U TROGIRU, TRAVARICA II;"SŠ ""IVAN LUCIĆ""";PUT MULINA 2B;813;434;434;422;12;14;74;2;22;29;248;24;9
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;004;BIRAČKO MJESTO BROJ 4. U TROGIRU, TRAVARICA III;"SŠ ""IVAN LUCIĆ""";PUT MULINA 2B;733;415;415;403;12;10;88;5;16;20;225;29;10
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;005;BIRAČKO MJESTO BROJ 5. U TROGIRU, TRAVARICA IV;"SŠ ""IVAN LUCIĆ""";PUT MULINA 2B;710;384;384;374;10;15;49;3;34;30;201;27;15
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;006;BIRAČKO MJESTO BROJ 6. U TROGIRU, TRAVARICA V;"SSŠ ""BLAŽ JURJEV TROGIRANIN""";FRANJE TUĐMANA 1;779;446;446;438;8;14;73;2;18;43;237;35;16
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;007;BIRAČKO MJESTO BROJ 7. U TROGIRU, TRAVARICA VI;"SSŠ ""BLAŽ JURJEV TROGIRANIN""";FRANJE TUĐMANA 1;791;421;421;412;9;21;109;13;26;45;143;39;16
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;008;BIRAČKO MJESTO BROJ 8. U TROGIRU, TRAVARICA VII;"SSŠ ""BLAŽ JURJEV TROGIRANIN""";FRANJE TUĐMANA 1;918;528;528;515;13;17;82;21;40;29;265;33;28
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;009;BIRAČKO MJESTO BROJ 9. U TROGIRU (GRAD);"OŠ ""PETAR BERISLAVIĆ""";OBALA BANA BERISLAVIĆA 16;719;385;385;375;10;5;60;4;21;25;188;51;21
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;010;BIRAČKO MJESTO BROJ 10. U TROGIRU,ČIOVO I;"DJEČJI VRTIĆ TROGIR, PODRUČNI DJEČJI VRTIĆ ""MASLINA""";SV. PETRA 8;954;460;460;453;7;16;69;9;23;28;264;36;8
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;011;BIRAČKO MJESTO BROJ 11. U TROGIRU, ČIOVO II;PROSTOR LOVAČKE UDRUGE TROGIR;OBALA KRALJA ZVONIMIRA 16;407;238;238;227;11;7;26;4;7;3;144;31;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;012;BIRAČKO MJESTO BROJ 12. ČIOVO III;KUĆA PUOVIĆ;OBALA KRALJA ZVONIMIRA 15;840;463;463;449;14;8;87;4;27;16;248;35;24
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;013;BIRAČKO MJESTO BROJ 13. U TROGIRU, ČIOVO IV;KUĆA PUOVIĆ;OBALA KRALJA ZVONIMIRA 15;893;408;408;389;19;18;99;9;11;31;165;29;27
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;014;BIRAČKO MJESTO BROJ 14. U ŽEDNOM;DRUŠTVENI DOM ŽEDNO;ŽEDNO;130;74;74;74;0;4;14;1;3;2;45;2;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;015;BIRAČKO MJESTO BROJ 15. U MASTRINCI;HOTEL SV. KRIŽ;DOMOVINSKE ZAHVALNOSTI 1;1006;423;422;408;14;9;104;10;27;22;185;37;14
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;016;BIRAČKO MJESTO BROJ 16. U ARBANIJI;MJESNI ODBOR;ARBANIJA;421;229;229;222;7;14;63;1;5;19;104;12;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;017;BIRAČKO MJESTO BROJ 17. U DRVENIKU MALOM;BIVŠA OŠ DRVENIK MALI;DRVENIK MALI;163;90;90;88;2;0;23;2;3;2;50;3;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;TROGIR;018;BIRAČKO MJESTO BROJ 18. U DRVENIKU VELIKOM;MJESNI ODBOR;TOĆ, DRVENIK VELIKI;255;106;106;104;2;6;29;3;4;1;40;8;13
