Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;MOST, HRVATSKA STRANKA PRAVA - HSP;KANDIDACIJSKA LISTA GRUPE BIRAČA - FILIP STUPALO
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MUĆ;001;BIRAČKO MJESTO 1.NEORIĆ;OŠ NEORIĆ-SUTINA;NEORIĆ, NEORIĆ 43;726;341;341;335;6;23;47;66;199
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MUĆ;002;BIRAČKO MJESTO 2. SUTINA;PROSTORIJE BRATSKE KUĆE SUTINA;SUTINA,CESTA NEORIĆ 1;268;122;122;119;3;5;53;32;29
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MUĆ;003;BIRAČKO MJESTO 3. GIZDAVAC;PROSTORIJE DRUŠTVENOG DOMA;GIZDAVAC, SVETOG LUKE 12;91;34;34;32;2;8;5;8;11
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MUĆ;004;BIRAČKO MJESTO 4. DONJI MUĆ;OŠ KNEZA BRANAIMIRA;DONJI MUĆ 218;463;255;255;245;10;184;14;2;45
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MUĆ;005;BIRAČKO MJESTO 5. GORNJI MUĆ;PROSTORIJE OŠ KNEZ BRANIMIR;GORNJI MUĆ, BEBIĆI 2;396;158;158;153;5;59;32;7;55
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MUĆ;006;BIRAČKO MJESTO 6. CRIVAC;OŠ BRAĆE RADIĆ PODRUČNA ŠKOLA CRIVAC;CRIVAC, GORNJE POLJE 9;289;142;142;139;3;113;8;3;15
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MUĆ;007;BIRAČKO MJESTO 7. DONJE OGORJE;DRUŠTVENI DOM;DONJE OGORJE , RAĐE 3;404;183;183;176;7;93;26;8;49
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MUĆ;008;BIRAČKO MJESTO 8. BRAČEVIĆI;DRUŠTVENI DOM;BRAČEVIĆ, KROZ BRAČEVIĆ 15;146;44;44;40;4;26;2;3;9
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MUĆ;009;BIRAČKO MJESTO 9 GORNJE POSTINJE;DRUŠTVENI DOM;GORNJE POSTINJE, GORNJE POSTINJE 48;184;117;117;112;5;63;6;16;27
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;MUĆ;010;BIRAČKO MJESTO 10. RAMLJANE;DRUŠTVENI DOM;RAMLJANE, KROZ RAMLJANE 17;112;36;36;36;0;7;2;11;16
