Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ALTERNATIVA 101 - ALTERNATIVA, AKCIJA MLADIH - AM;CENTAR;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA PRAVA - HSP;HRVATSKA DEMOKRŠĆANSKA STRANKA - HDS, HRVATSKA SELJAČKA STRANKA - STJEPAN RADIĆ - HSS - SR, STRANKA UMIROVLJENIKA - SU;KANDIDACIJSKA LISTA GRUPE BIRAČA -  TOMISLAV MAMIĆ;MOST;NEZAVISNA LISTA MLADIH - NLM, PAMETNO ZA SPLIT I DALMACIJU, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;RADNIČKA FRONTA - RF, SOCIJALISTIČKA RADNIČKA PARTIJA HRVATSKE - SRP;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP;ŽELJKO KERUM - HRVATSKA GRAĐANSKA STRANKA - HGS
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;HVAR;001;HVAR;ARSENAL;HVAR, OBALA RIVA 1;1047;549;549;522;27;20;46;23;123;3;7;53;56;4;150;37
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;HVAR;002;HVAR;ARSENAL;HVAR, OBALA RIVA 1;883;452;452;429;23;14;51;15;118;4;7;45;57;2;89;27
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;HVAR;003;HVAR;OSNOVNA ŠKOLA;HVAR, ULICA KROZ BURAK 81;1750;724;722;687;35;17;46;22;211;12;14;69;80;3;151;62
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;HVAR;004;MILNA;DOM SV. TEODORA;MILNA BB;136;91;91;89;2;2;2;3;34;4;5;6;10;1;15;7
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;HVAR;005;BRUSJE;MJESNI ODBOR;BRUSJE, MOLA BONDA 3;178;81;81;80;1;1;1;1;25;2;1;7;9;1;26;6
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;HVAR;006;SV. NEDJELJA;POLJOPRIVREDNA ZADRUGA;SV. NEDJELJA, PJACA DON ANTE MEŽNARA 2;180;83;83;81;2;0;3;8;40;1;2;7;6;1;10;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;IMOTSKI;001;IMOTSKI;"OŠ ""STJEPAN RADIĆ""";IMOTSKI;1350;672;672;649;23;10;15;66;339;7;3;144;19;3;9;34
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;IMOTSKI;002;IMOTSKI;"OŠ ""STJEPAN RADIĆ""";IMOTSKI;1380;637;637;611;26;3;23;93;287;4;7;113;28;3;22;28
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;IMOTSKI;003;IMOTSKI;"OŠ ""STJEPAN RADIĆ""";IMOTSKI;1738;881;881;844;37;6;24;75;374;5;11;260;34;3;9;43
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;IMOTSKI;004;VINJANI GORNJI;"OŠ ""KUKAVICE""";VINJANI GORNJI;624;307;307;294;13;1;6;27;153;5;0;67;18;0;3;14
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;IMOTSKI;005;VINJANI GORNJI;"OŠ ""KUTLEŠA""";VINJANI GORNJI;286;126;126;123;3;2;1;13;62;0;1;27;8;2;2;5
