Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA STRANKA PRAVA - HSP;MOST;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA SELJAČKA STRANKA - HSS
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;PODSTRANA;001;STROŽANAC;OSNOVNA ŠKOLA STROŽANAC;BLATO 1;980;385;385;370;15;49;137;42;116;26
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;PODSTRANA;002;STROŽANAC;OSNOVNA ŠKOLA STROŽANAC;BLATO 1;891;337;337;329;8;27;132;25;120;25
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;PODSTRANA;003;STROŽANAC;OSNOVNA ŠKOLA STROŽANAC;BLATO 1;836;227;227;222;5;39;59;26;78;20
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;PODSTRANA;004;STROŽANAC;OSNOVNA ŠKOLA STROŽANAC;BLATO 1;659;279;279;274;5;40;105;29;82;18
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;PODSTRANA;005;STROŽANAC;OSNOVNA ŠKOLA STROŽANAC;BLATO 1;711;260;260;254;6;47;85;25;81;16
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;PODSTRANA;006;STROŽANAC;OSNOVNA ŠKOLA STROŽANAC;BLATO 1;746;293;293;285;8;26;110;19;106;24
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;PODSTRANA;007;PODSTRANA - GRLJEVAC;ZGRADA OPĆINE;TRG FRANJE  TUĐMANA 3;859;376;375;365;10;35;149;91;63;27
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;PODSTRANA;008;PODSTRANA-GRLJEVAC;ZGRADA OPĆINE;TRG FRANJE TUĐMANA 3;733;331;331;326;5;48;161;37;66;14
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;PODSTRANA;009;PODSTRANA-GRLJEVAC;ZGRADA OPĆINE;TRG FRANJE TUĐMANA 3;786;280;280;275;5;27;127;26;85;10
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;PODSTRANA;010;PODSTRANA;ZGRADA OPĆINE;TRG FRANJE TUĐMANA 3;713;281;280;275;5;44;106;40;57;28
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;PODSTRANA;011;PODSTRANA;ZGRADA OPĆINE;TRG FRANJE TUĐMANA 3;706;258;257;247;10;24;97;29;66;31
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;PODSTRANA;012;PODSTRANA;ZGRADA OPĆINE;TRG FRANJE TUĐMANA 3;695;268;268;261;7;35;110;33;55;28
