Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;BLAŽENKO BOBAN;TONI JURIŠIĆ-SOKIĆ;IVICA KUKAVICA;RANKO OSTOJIĆ;ANTE PRANIĆ;MATE ŠIMUNDIĆ
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;HVAR;001;HVAR;ARSENAL;HVAR, OBALA RIVA 1;1047;549;549;510;39;159;25;33;197;71;25
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;HVAR;002;HVAR;ARSENAL;HVAR, OBALA RIVA 1;883;452;452;424;28;147;18;34;131;75;19
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;HVAR;003;HVAR;OSNOVNA ŠKOLA;HVAR, ULICA KROZ BURAK 81;1750;724;722;684;38;262;34;55;203;100;30
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;HVAR;004;MILNA;DOM SV. TEODORA;MILNA BB;136;91;91;88;3;40;3;5;18;13;9
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;HVAR;005;BRUSJE;MJESNI ODBOR;BRUSJE, MOLA BONDA 3;178;81;81;80;1;30;2;6;30;11;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;HVAR;006;SV. NEDJELJA;POLJOPRIVREDNA ZADRUGA;SV. NEDJELJA, PJACA DON ANTE MEŽNARA 2;180;83;83;82;1;44;4;2;18;7;7
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;IMOTSKI;001;IMOTSKI;"OŠ ""STJEPAN RADIĆ""";IMOTSKI;1350;678;675;661;14;345;7;236;17;17;39
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;IMOTSKI;002;IMOTSKI;"OŠ ""STJEPAN RADIĆ""";IMOTSKI;1380;637;636;614;22;285;2;217;23;28;59
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;IMOTSKI;003;IMOTSKI;"OŠ ""STJEPAN RADIĆ""";IMOTSKI;1738;881;881;849;32;318;9;423;11;36;52
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;IMOTSKI;004;VINJANI GORNJI;"OŠ ""KUKAVICE""";VINJANI GORNJI;624;307;307;296;11;143;4;123;4;11;11
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;IMOTSKI;005;VINJANI GORNJI;"OŠ ""KUTLEŠA""";VINJANI GORNJI;286;126;126;123;3;48;3;52;1;8;11
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;IMOTSKI;006;VINJANI GORNJI;"OŠ ""LONČARI""";VINJANI GORNJI;298;136;136;134;2;52;0;55;3;7;17
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;IMOTSKI;007;VINJANI DONJI;OŠ DONJI VINJANI (NOVA ŠKOLA);VINJANI DONJI;1459;786;786;765;21;316;17;362;11;23;36
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;IMOTSKI;008;VINJANI DONJI;DVORANA KOD SV. ROKA;VINJANI DONJI;279;142;142;137;5;81;2;36;2;8;8
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;IMOTSKI;009;GLAVINA DONJA;OŠ  GLAVINA DONJA  (NOVA ŠKOLA);GLAVINA DONJA;1488;771;768;751;17;349;8;284;29;27;54
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;001;BIRAČKO MJESTO 1. KAŠTEL SUĆURAC;"KINO ""SV. JURAJ""";DR. A.ALFIREVIĆA 20;1160;366;366;345;21;147;16;41;50;30;61
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;002;BIRAČKO MJESTO 2. KAŠTEL SUĆURAC;MJESNI ODBOR;DR. A.ALFIREVIĆA 20;1064;393;393;373;20;153;21;29;74;39;57
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;003;BIRAČKO MJESTO 3. KAŠTEL SUĆURAC;"OŠ ""KNEZ MISLAV""";BRAĆE RADIĆ 6;2412;807;806;759;47;361;28;99;116;77;78
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;004;BIRAČKO MJESTO 4. KAŠTEL SUĆURAC;"UDRUGA ""PUTALJ"" (STARA ŠKOLA)";MATICE HRVATSKE 1;1232;433;433;411;22;223;0;33;77;27;51
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;005;BIRAČKO MJESTO 5. KAŠTEL GOMILICA;MJESNI ODBOR;CESTA DR. FRANJE TUĐMANA 434A;1442;583;582;570;12;248;20;64;95;66;77
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;006;BIRAČKO MJESTO 6. KAŠTEL GOMILICA;"Š.C. ""GOŠK ADRIACHEM""";A.B. ŠIMIĆA 21;1400;539;539;525;14;301;15;50;59;49;51
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;007;BIRAČKO MJESTO 7.  KAŠTEL GOMILICA;"Š.C. ""GOŠK ADRIACHEM""";A.B. ŠIMIĆA 21;1568;571;569;552;17;279;17;58;77;61;60
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;008;BIRAČKO MJESTO 8. KAŠTEL KAMBELOVAC;PROSTORIJE BRATSKE KUĆE;BRCE 23;1621;557;557;530;27;239;13;68;82;74;54
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;009;BIRAČKO MJESTO 9. KAŠTEL KAMBELOVAC;PROSTORIJE BRATSKE KUĆE;BRCE 23;1630;559;559;527;32;238;27;70;66;56;70
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;010;BIRAČKO MJESTO 10. KAŠTEL KAMBELOVAC;"PROSTORIJE BRATSKE KUĆE - UDRUGA UMIROVLJENIKA ""LAŽANI""";BRCE 23;1476;470;470;457;13;195;9;80;56;60;57
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;KAŠTELA;011;BIRAČKO MJESTO 11. KAŠTEL LUKŠIĆ;"OŠ ""OSTROG""";PUT SV.LOVRE 2;1443;472;472;464;8;209;16;57;49;50;83
