Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA PRAVA - HSP;KANDIDACIJSKA LISTA GRUPE BIRAÈA - MATE NEJAŠMIÆ
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;ŠESTANOVAC;001;GRABOVAC CENTAR;OBITELJSKA KUÆA IVANA ŠARIÆA POK. MIRA;GRABOVAC-CENTAR 129;217;119;119;113;6;46;60;7
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;ŠESTANOVAC;002;GRABOVAC GORIÈAJ;PROSTORIJE OSNOVNE ŠKOLE, GRABOVAC;GRABOVAC GORIÈAJ;122;64;64;56;8;9;42;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;ŠESTANOVAC;003;ŽEŽEVICA-PRIVIJA;BIVŠI ZADRUŽNI DOM U VLASNIŠTVU M.B.PRINT D.O.O.;ŽEŽEVICA PRIVIJA;148;76;76;75;1;30;33;12
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;ŠESTANOVAC;004;ŽEŽEVICA-ORJE;PROSTORIJE OSNOVNE ŠKOLE, ŽEŽEVICA ORJE;ŽEŽEVICA ORJE;191;101;101;98;3;31;58;9
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;ŠESTANOVAC;005;ŠESTANOVAC;PROSTORIJE OSNOVNE ŠKOLE;ŠESTANOVAC;405;225;225;215;10;53;114;48
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;ŠESTANOVAC;006;KREŠEVO POLJE;PROSTORIJE OSNOVNE ŠKOLE, KREŠEVO POLJE;KREŠEVO POLJE;112;77;77;75;2;25;35;15
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;ŠESTANOVAC;007;KATUNI POLJE;OBITELJSKA KUÆA TONKE MANDUŠIÆ Ž. JOŠKA;KATUNI, RADOBILJSKA CESTA 20;248;146;146;142;4;22;65;55
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;ŠESTANOVAC;008;KREŠEVO BRDO;"PROSTORIJE ""KUD-A RADOBILJA"", KREŠEVO BRDO";MASLOVLJEVA LOKVA 3, KREŠEVO BRDO;131;83;83;81;2;40;32;9
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;ŠESTANOVAC;009;KATUNI BRDO;"PROSTORIJE OSNOVNE ŠKOLE ""BALIÆI"", KATUNI BRDO";KATUNI BRDO;93;70;70;70;0;9;60;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;opæina;ŠESTANOVAC;010;KATUNI PRPUŠA;OBITELJSKA KUÆA MATE VUKUŠIÆA SIN VLADIMIRA;KATUNI PRPUŠA, DR.FRANJE TUÐMANA 6;162;101;101;97;4;14;75;8
