Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KANDIDACIJSKA LISTA GRUPE BIRAČA -  LUKIN BELIĆ;KANDIDACIJSKA LISTA GRUPE BIRAČA -  EVA MARIJA ČURIN;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA SELJAČKA STRANKA - HSS
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;JELSA;001;JELSA;OPĆINSKI DOM U JELSI;JELSA 404;860;594;594;576;18;41;56;57;178;244
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;JELSA;002;JELSA;OPĆINSKI DOM U JELSI;JELSA, TRG TOME GAMULINA 1;795;509;509;486;23;50;39;32;135;230
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;JELSA;003;SVIRČE;"PROSTORIJE ""PZ SVIRČE""";SVIRČE;384;236;236;232;4;20;20;24;82;86
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;JELSA;004;VRISNIK;ČITAONICA;VRISNIK;174;103;103;102;1;7;9;8;26;52
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;JELSA;005;PITVE;SELJAČKI DOM U PITVAMA;PITVE;83;47;47;46;1;10;2;2;16;16
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;JELSA;006;ZAVALA;ZADRUŽNI DOM U ZAVALI;ZAVALA;201;117;117;112;5;4;26;4;32;46
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;JELSA;007;VRBOSKA;DOM KULTURE;VRBOSKA;594;368;367;357;10;2;24;81;137;113
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;JELSA;008;POLJICA;"PROSTORIJE ""PZ POLJICA""";POLJICA;58;42;42;40;2;1;1;3;13;22
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;JELSA;009;ZASTRAŽIŠĆE;"PROSTORIJE ""PZ ZASTRAŽIŠĆE""";ZASTRAŽIŠĆE;190;111;111;108;3;7;31;6;28;36
17;SPLITSKO-DALMATINSKA ŽUPANIJA;općina;JELSA;010;GDINJ;PROSTORIJE TURISTIČKOG UREDA;GDINJ;183;96;96;94;2;4;57;1;18;14
