Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;IVO DUJMIĆ;FERNANDO KIRIGIN
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;001;OPATIJA;(PROSTORIJE MJESNOG ODBORA OPATIJA - TOŠINA);GIUSEPPE VERDI 23;839;388;388;375;13;171;204
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;002;OPATIJA;DOM LIBURNIJA (PROSTORIJE MOHO CENTRA);ANDRIJE ŠTANGERA 48;636;343;343;339;4;133;206
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;003;OPATIJA;(PROSTORIJE MJESNOG ODBORA  OPATIJA - KOSOVO);KOSIĆEVO 7;822;421;420;412;8;182;230
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;004;POBRI;(PROSTORIJE MJESNOG ODBORA POBRI);POBARSKA CESTA 3;1035;445;445;430;15;213;217
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;005;IKA;(DRUŠTVENI DOM IKA, PROSTORIJE MJESNOG ODBORA IKA);PRIMORSKA ULICA BB;1001;472;472;458;14;284;174
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;006;DOBREĆ;(ŠKOLA, PROSTORIJE MJESNOG ODBORA DOBREĆ);DOBREĆ BR. 20/C;352;153;153;150;3;107;43
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;007;VEPRINAC;(ETNO ZBIRKA VEPRINAC);VEPRINAC - STARI GRAD 5;937;467;467;459;8;281;178
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;008;POLJANE;(DRUŠTVENI DOM, PROSTORIJE MJESNOG ODBORA POLJANE);POLJANE 67;501;264;264;263;1;130;133
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;009;IČIĆI;(OSNOVNA ŠKOLA, PROSTORIJE MJESNOG ODBORA IČIĆI);LIBURNIJSKA CESTA 30;789;392;392;385;7;225;160
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;010;OPATIJA;(PROSTORIJE DJEČJEG VRTIĆA PUNTA KOLOVA);ANTONA MIHIĆA 5/A;404;180;180;179;1;100;79
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;011;OPATIJA;(VILLA ANTONIO MEĐUNARODNI CENTAR ZA OBRAZOVANJE NOVINARA);NAZOROVA  BR. 2;910;440;439;427;12;154;273
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;012;OPATIJA;(PROSTORIJE MJESNOG ODBORA);J. RAKOVCA 15;603;283;283;277;6;117;160
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;013;OPATIJA;(PROSTORIJE MJESNOG ODBORA OPATIJA-CENTAR II);VRUTKI 6;849;384;384;379;5;154;225
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;014;OPATIJA;(GRADSKA VIJEĆNICA);M. TITA 3;679;354;354;350;4;133;217
