Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;VEDRAN KINKELA;ENI ŠEBALJ
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;001;MATULJI;"OŠ ""ANDRIJE MOHOROVIČIĆ"" - LIJEVO";ŠETALIŠTE DRAGA GERVAISA 1;982;381;381;372;9;269;103
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;002;MATULJI;"OŠ ""ANDRIJE MOHOROVIČIĆ"" - DESNO";ŠETALIŠTE DRAGA GERVAISA 1;1097;399;399;389;10;264;125
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;003;BREGI;DOM BREGI;POŠČIĆI 57;632;257;257;253;4;154;99
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;004;MATULJI;OPĆINA MATULJI, ZGRADA OPĆINE MATULJI;TRG M. TITA 11;966;314;314;309;5;212;97
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;005;MATULJI;PROSTORIJE AMK-MATULJI;KASTAVSKA CESTA 4;1080;334;334;321;13;211;110
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;006;JUŠIĆI;DRUŠTVENI DOM;JUŠIĆI 42;776;306;306;299;7;174;125
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;007;RUKAVAC;"PODRUČNA ŠKOLA ""RUKAVAC""";RUKAVAC BB;1071;355;355;349;6;168;181
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;008;JURDANI;MJESNI URED JURDANI;JURDANI 64;563;204;204;203;1;111;92
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;009;KUĆELI;DOM BIŠKUPI;BIŠKUPI;112;52;52;51;1;39;12
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;010;PERMANI;DOM PERMANI;PERMANI 1;523;231;231;223;8;142;81
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;011;BREŠCA;"OŠ ""DRAGO GERVAIS""-BREŠCA";BREŠCA 6;324;130;130;121;9;83;38
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;012;VELI BRGUD;DOM VELI BRGUD;VELI BRGUD 62;475;187;187;185;2;135;50
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;013;ZVONEĆA;"PODRUČNA ŠKOLA ""ZVONEĆA""";ZVONEĆA 40;221;85;85;83;2;72;11
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;014;VELE MUNE;PROSTORIJE BIVŠE MJESNE ZAJEDNICE;VELE MUNE 2;222;89;89;87;2;62;25
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;015;RUPA;DRUŠTVENI DOM RUPA;RUPA 29;288;122;122;113;9;71;42
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;016;PASJAK;"KUD ""DANICA""";PASJAK 6O;118;48;48;45;3;28;17
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;017;ŠAPJANE;DOM ŠAPJANE;ŠAPJANE;161;97;97;93;4;54;39
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;018;BRDCE;ZGRADA BROJ  2;BRDCE;59;14;14;13;1;11;2
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;019;LIPA;MUZEJ LIPA;LIPA 35;113;54;54;53;1;38;15
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;020;ŽEJANE;PODRUČNA ŠKOLA ŽEJANE;ŽEJANE 1;107;47;47;47;0;26;21
