Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DRAŽEN MUFIĆ;SAŠA BURIĆ
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;001;BIRAČKO MJESTO BR. 1;DOM KULTURE JABLAN;ULICA JABLAN;157;85;85;85;0;49;36
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;002;BIRAČKO MJESTO BR. 2;PODRUČNA ŠKOLA SENJSKO;VRBOVSKO, SENJSKO 108;387;229;229;224;5;163;61
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;003;BIRAČKO MJESTO BR. 3;ZGRADA ŠUMARIJE VRBOVSKO;VRBOVSKO, IVANA GORANA KOVAČIĆA 19;508;238;238;232;6;149;83
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;004;BIRAČKO MJESTO BR. 4;PROSTORIJE OSNOVNE ŠKOLE IVANA GORANA KOVAČIĆA U VRBOVSKOM;VRBOVSKO, KRALJA TOMISLAVA 18;703;393;393;377;16;245;132
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;005;BIRAČKO MJESTO BR. 5;VATROGASNI DOM BLAŽEVCI;BLAŽEVCI;117;71;71;71;0;41;30
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;006;BIRAČKO MJESTO BR. 6;DOM KULTURE LUKOVDOL;LUKOVDOL;234;103;103;98;5;60;38
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;007;BIRAČKO MJESTO BR. 7;PODRUČNA ŠKOLA SEVERIN NA KUPI;SEVERIN NA KUPI 4;398;193;193;187;6;112;75
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;008;BIRAČKO MJESTO BR. 8;PODRUČNA ŠKOLA VELIKI JADRČ;VELIKI JADRČ;161;93;93;92;1;69;23
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;009;BIRAČKO MJESTO BR. 9;PODRUČNA ŠKOLA GOMIRJE;GOMIRJE, ULICA JOVE MAMULE;544;216;216;214;2;104;110
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;010;BIRAČKO MJESTO BR. 10;DOM KULTURE  /DVORANA TZK/ MORAVICE;ULICA MARKA VUČKOVIĆA 2 MORAVICE;664;296;296;294;2;104;190
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;011;BIRAČKO MJESTO BR. 11;PODRUČNA ŠKOLA MORAVICE;MORAVICE, ULICA DOKMANOVIĆI;293;106;106;104;2;31;73
