Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;SANJA UDOVIĆ;MARINA TOMIĆ PUJIĆ
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;VIŠKOVO;001;MARINIĆI;"""DOM MARINIĆI""";MARINIĆI 9;1134;283;283;276;7;179;97
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;VIŠKOVO;002;MARINIĆI;"""DOM MARINIĆI""";MARINIĆI 9;1136;288;288;281;7;176;105
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;VIŠKOVO;003;MARINIĆI;"""DOM MARINIĆI""";MARINIĆI 9;1193;338;338;332;6;239;93
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;VIŠKOVO;004;VIŠKOVO;"OŠ ""SVETI MATEJ""";VOZIŠĆE 13;1400;376;376;364;12;222;142
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;VIŠKOVO;005;VIŠKOVO;"OŠ ""SVETI MATEJ""";VOZIŠĆE 13;1341;370;370;361;9;228;133
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;VIŠKOVO;006;VIŠKOVO;"OŠ ""SVETI MATEJ""";VOZIŠĆE 13;1686;418;418;399;19;183;216
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;VIŠKOVO;007;SROKI;"""VATROGASNI DOM""";GORNJI SROKI 53;1412;360;360;350;10;211;139
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;VIŠKOVO;008;SROKI;"""VATROGASNI DOM""";GORNJI SROKI 53;1246;303;303;296;7;167;129
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;VIŠKOVO;009;MARČELJI;"""STARA ŠKOLA MARČELJI""";MARČELJI 89;1066;305;305;295;10;133;162
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;VIŠKOVO;010;MARČELJI;"""STARA ŠKOLA MARČELJI""";MARČELJI 89;1122;352;352;342;10;171;171
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;VIŠKOVO;011;SARŠONI;"""STARA ŠKOLA SARŠONI""";SARŠONI BB;1520;440;440;424;16;259;165
